flag,gid,role,cluster_id,priority_score,metric_value,meaning,evidence,attention
cycle,100000003016635100,distributor,5,0.825536,13.0,узел входит в направленный возвратный поток,"Признаки распределения: 73 получателей против 8 плательщиков, исходящий поток 9,414,081 KZT.",возвратный поток с seed (13 цикл.); повторная пересылка за ≤2 дня (8 маршр.); 3 плательщиков в один день; повтор одной суммы ×5; 23 входов у порога 5–10 тыс.
cycle,100000007639767100,distributor,1,0.817671,60.0,узел входит в направленный возвратный поток,"Признаки распределения: 10 получателей против 4 плательщиков, исходящий поток 822,244 KZT.",возвратный поток с seed (60 цикл.)
cycle,100000008324800100,transit,72,0.814073,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 97% видимого входа; 3→1 связей, быстрый выход 76%.",возвратный поток (1 цикл.); повтор одной суммы ×5
cycle,100000007593823100,coordinator,1,0.813527,4.0,узел входит в направленный возвратный поток,"Гипотеза координации: достижим из 4 seed, 3 плательщиков, мост 0.0002.",возвратный поток (4 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×10
cycle,100000003004487100,consolidator,32,0.804744,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 4 плательщиков, 2 получателей, входящий поток 183,703 KZT.",возвратный поток (1 цикл.)
cycle,100000005665181100,distributor,6,0.803261,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 11 получателей против 4 плательщиков, исходящий поток 181,915 KZT.",возвратный поток (1 цикл.); 4 входов у порога 5–10 тыс.
cycle,100000007055802100,consolidator,1,0.802891,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 6 плательщиков, 1 получателей, входящий поток 2,024,999 KZT.",возвратный поток (1 цикл.); повторная пересылка за ≤2 дня (1 маршр.); 4 плательщиков в один день
cycle,100000004390333100,distributor,1,0.795774,16.0,узел входит в направленный возвратный поток,"Признаки распределения: 9 получателей против 2 плательщиков, исходящий поток 506,500 KZT.",возвратный поток с seed (16 цикл.); повтор одной суммы ×4
cycle,100000006069103100,transit,55,0.789976,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 118% видимого входа; 3→3 связей, быстрый выход 67%.",возвратный поток (1 цикл.); звено сквозной цепочки (1)
cycle,100000007629096100,consolidator,1,0.785863,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 4 плательщиков, 1 получателей, входящий поток 1,075,170 KZT.",возвратный поток (1 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000008466579100,distributor,3,0.777513,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 17 получателей против 2 плательщиков, исходящий поток 1,933,000 KZT.",возвратный поток (1 цикл.)
cycle,100000008710843100,distributor,22,0.776842,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 13 получателей против 2 плательщиков, исходящий поток 1,985,500 KZT.",возвратный поток (1 цикл.)
cycle,100000003946524100,transit,4,0.77571,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 108% видимого входа; 2→2 связей, быстрый выход 0%.",возвратный поток (1 цикл.)
cycle,100000005048668100,distributor,7,0.76577,2.0,узел входит в направленный возвратный поток,"Признаки распределения: 8 получателей против 2 плательщиков, исходящий поток 159,400 KZT.",возвратный поток (2 цикл.); звено сквозной цепочки (2)
cycle,100000008413748100,distributor,17,0.75843,6.0,узел входит в направленный возвратный поток,"Признаки распределения: 18 получателей против 2 плательщиков, исходящий поток 1,377,320 KZT.",возвратный поток с seed (6 цикл.); звено сквозной цепочки (2)
cycle,100000005382566100,consolidator,20,0.751553,1.0,узел входит в направленный возвратный поток,"Признаки консолидации: 7 плательщиков, 1 получателей, входящий поток 393,066 KZT.",возвратный поток с seed (1 цикл.)
cycle,100000004150593100,distributor,5,0.743794,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 11 получателей против 1 плательщиков, исходящий поток 871,165 KZT.",возвратный поток с seed (1 цикл.); звено сквозной цепочки (2)
cycle,100000000291906100,transit,51,0.731549,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 117% видимого входа; 2→2 связей, быстрый выход 100%.",возвратный поток (1 цикл.)
cycle,100000001526235100,distributor,27,0.727602,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 8 получателей против 3 плательщиков, исходящий поток 432,750 KZT.",возвратный поток (3 цикл.)
cycle,100000008465789100,distributor,3,0.717004,2.0,узел входит в направленный возвратный поток,"Признаки распределения: 16 получателей против 1 плательщиков, исходящий поток 1,858,100 KZT.",возвратный поток (2 цикл.); повтор одной суммы ×5
cycle,100000004820260100,transit,16,0.712458,2.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 92% видимого входа; 1→3 связей, быстрый выход 75%.",возвратный поток (2 цикл.)
cycle,100000005519998100,transit,35,0.710319,8.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 103% видимого входа; 3→3 связей, быстрый выход 60%.",возвратный поток (8 цикл.)
cycle,100000005074393100,peripheral,14,0.708802,3.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 4 плательщиков, 6 получателей, колено 1.",возвратный поток (3 цикл.)
cycle,100000003213473100,distributor,1,0.703359,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 11 получателей против 1 плательщиков, исходящий поток 240,000 KZT.",возвратный поток с seed (3 цикл.)
cycle,100000008686313100,peripheral,1,0.702449,42.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 6 плательщиков, 7 получателей, колено 1.",возвратный поток с seed (42 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000002578405100,distributor,2,0.700712,2.0,узел входит в направленный возвратный поток,"Признаки распределения: 116 получателей против 2 плательщиков, исходящий поток 3,108,352 KZT.",возвратный поток (2 цикл.); звено сквозной цепочки (1); повтор одной суммы ×8
cycle,100000007442518100,peripheral,31,0.699855,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 5 плательщиков, 9 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000008086440100,transit,1,0.698903,5.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 81% видимого входа; 1→5 связей, быстрый выход 100%.",возвратный поток (5 цикл.)
cycle,100000003701161100,peripheral,24,0.6871,4.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 4 плательщиков, 3 получателей, колено 1.",возвратный поток (4 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000002741024100,peripheral,1,0.685816,3.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 5 плательщиков, 6 получателей, колено 2.",возвратный поток (3 цикл.)
cycle,100000006707582100,distributor,12,0.684786,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 14 получателей против 2 плательщиков, исходящий поток 961,138 KZT.",возвратный поток (1 цикл.)
cycle,100000005171642100,transit,9,0.681338,2.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 98% видимого входа; 2→1 связей, быстрый выход 40%.",возвратный поток (2 цикл.)
cycle,100000005782781100,peripheral,11,0.674628,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 6 плательщиков, 10 получателей, колено 2.",возвратный поток (1 цикл.); 3 плательщиков в один день
cycle,100000008258083100,peripheral,31,0.670223,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 2 получателей, колено 2.",возвратный поток (2 цикл.)
cycle,100000004159526100,peripheral,15,0.669345,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 4 плательщиков, 4 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000005339662100,peripheral,16,0.669312,3.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 4 плательщиков, 4 получателей, колено 1.",возвратный поток (3 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000001660397100,transit,1,0.667155,19.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 101% видимого входа; 2→3 связей, быстрый выход 100%.",возвратный поток с seed (19 цикл.)
cycle,100000004336312100,transit,35,0.665358,8.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 80% видимого входа; 3→2 связей, быстрый выход 43%.",возвратный поток (8 цикл.); 3 плательщиков в один день
cycle,100000001899164100,peripheral,13,0.664257,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 4 плательщиков, 3 получателей, колено 1.",возвратный поток (2 цикл.)
cycle,100000008512552100,peripheral,17,0.662848,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 4 плательщиков, 6 получателей, колено 2.",возвратный поток (2 цикл.); звено сквозной цепочки (3)
cycle,100000003880331100,distributor,7,0.661355,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 16 получателей против 1 плательщиков, исходящий поток 3,904,908 KZT.",возвратный поток (3 цикл.); повторная пересылка за ≤2 дня (2 маршр.); повтор одной суммы ×12
cycle,100000001697501100,distributor,2,0.659253,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 38 получателей против 3 плательщиков, исходящий поток 1,482,606 KZT.",возвратный поток с seed (3 цикл.); повтор одной суммы ×6
cycle,100000008748914100,distributor,4,0.654437,1.0,узел входит в направленный возвратный поток,"Признаки распределения: 13 получателей против 2 плательщиков, исходящий поток 4,471,847 KZT.",возвратный поток (1 цикл.)
cycle,100000004135268100,transit,53,0.653167,3.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 81% видимого входа; 2→3 связей, быстрый выход 100%.",возвратный поток с seed (3 цикл.); повторная пересылка за ≤2 дня (1 маршр.)
cycle,100000006274203100,peripheral,18,0.652027,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 3.",возвратный поток (1 цикл.)
cycle,100000003809101100,peripheral,12,0.651882,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 2 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000003390036100,peripheral,12,0.644832,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 2 получателей, колено 2.",возвратный поток (2 цикл.); звено сквозной цепочки (1)
cycle,100000005473151100,peripheral,8,0.643389,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 4 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000002217161100,peripheral,36,0.639461,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 7 получателей, колено 2.",возвратный поток (1 цикл.)
cycle,100000006111439100,transit,6,0.636369,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 117% видимого входа; 3→4 связей, быстрый выход 0%.",возвратный поток (1 цикл.); 3 входов у порога 5–10 тыс.
cycle,100000003299365100,transit,4,0.635334,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 100% видимого входа; 1→1 связей, быстрый выход 100%.",возвратный поток с seed (1 цикл.)
cycle,100000008011159100,peripheral,43,0.631492,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 5 получателей, колено 2.",возвратный поток (1 цикл.)
cycle,100000004679953100,peripheral,7,0.629215,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 3 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000003718221100,peripheral,24,0.624383,4.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 4 получателей, колено 2.",возвратный поток (4 цикл.); звено сквозной цепочки (1)
cycle,100000002267998100,peripheral,24,0.620385,4.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 2.",возвратный поток (4 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×4
cycle,100000004160650100,distributor,26,0.619362,12.0,узел входит в направленный возвратный поток,"Признаки распределения: 10 получателей против 2 плательщиков, исходящий поток 1,489,827 KZT.",возвратный поток с seed (12 цикл.); повтор одной суммы ×12
cycle,100000004386258100,peripheral,13,0.616659,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 3 получателей, колено 2.",возвратный поток (2 цикл.)
cycle,100000000667713100,peripheral,5,0.615012,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 6 получателей, колено 1.",возвратный поток с seed (2 цикл.); звено сквозной цепочки (2)
cycle,100000000076451100,peripheral,16,0.612394,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 4 получателей, колено 2.",возвратный поток (2 цикл.)
cycle,100000006579678100,peripheral,5,0.612203,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 6 получателей, колено 1.",возвратный поток с seed (2 цикл.)
cycle,100000002175422100,peripheral,32,0.611902,3.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 6 получателей, колено 2.",возвратный поток (3 цикл.); повтор одной суммы ×4
cycle,100000004188160100,peripheral,5,0.611465,4.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 5 получателей, колено 1.",возвратный поток с seed (4 цикл.)
cycle,100000003796063100,distributor,6,0.610376,9.0,узел входит в направленный возвратный поток,"Признаки распределения: 15 получателей против 1 плательщиков, исходящий поток 959,150 KZT.",возвратный поток с seed (9 цикл.); звено сквозной цепочки (2)
cycle,100000008213966100,peripheral,29,0.608422,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 1 получателей, колено 2.",возвратный поток (1 цикл.)
cycle,100000002293421100,transit,1,0.604854,2.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 115% видимого входа; 2→2 связей, быстрый выход 50%.",возвратный поток (2 цикл.); 4 входов у порога 5–10 тыс.
cycle,100000008637537100,peripheral,41,0.602789,4.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 3 получателей, колено 0.",возвратный поток с seed (4 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×8
cycle,100000004479404100,peripheral,46,0.5999,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 2.",возвратный поток (1 цикл.)
cycle,100000002193259100,peripheral,13,0.598966,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 2.",возвратный поток (2 цикл.)
cycle,100000004677680100,peripheral,12,0.596764,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000002781227100,transit,64,0.596729,1.0,узел входит в направленный возвратный поток,"Признаки транзита: отдал 111% видимого входа; 2→3 связей, быстрый выход 62%.",возвратный поток (1 цикл.)
cycle,100000002941114100,peripheral,12,0.595592,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 1.",возвратный поток (1 цикл.); звено сквозной цепочки (1); 11 входов у порога 5–10 тыс.
cycle,100000000706545100,peripheral,5,0.593928,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 1 получателей, колено 1.",возвратный поток (1 цикл.)
cycle,100000001049200100,peripheral,18,0.592377,3.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 4 получателей, колено 1.",возвратный поток с seed (3 цикл.)
cycle,100000004330371100,peripheral,5,0.591517,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 2 получателей, колено 1.",возвратный поток с seed (2 цикл.)
cycle,100000003360542100,peripheral,12,0.589694,3.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 2 получателей, колено 2.",возвратный поток (3 цикл.); звено сквозной цепочки (1)
cycle,100000002692750100,peripheral,9,0.589213,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 1 получателей, колено 2.",возвратный поток (1 цикл.); повтор одной суммы ×5
cycle,100000002224132100,peripheral,25,0.587779,8.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 5 плательщиков, 4 получателей, колено 2.",возвратный поток (8 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×7
cycle,100000008389800100,peripheral,5,0.586705,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 7 получателей, колено 2.",возвратный поток (2 цикл.)
cycle,100000004140487100,distributor,4,0.584308,3.0,узел входит в направленный возвратный поток,"Признаки распределения: 10 получателей против 1 плательщиков, исходящий поток 262,600 KZT.",возвратный поток (3 цикл.); звено сквозной цепочки (2); повтор одной суммы ×4
cycle,100000001732159100,peripheral,41,0.582587,4.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 4 получателей, колено 0.",возвратный поток с seed (4 цикл.); повторная пересылка за ≤2 дня (1 маршр.); повтор одной суммы ×5
cycle,100000008636603100,peripheral,5,0.581642,2.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 2 плательщиков, 6 получателей, колено 2.",возвратный поток с seed (2 цикл.); звено сквозной цепочки (3)
cycle,100000008104567100,peripheral,8,0.581005,1.0,узел входит в направленный возвратный поток,"Недостаточно признаков роли: 3 плательщиков, 3 получателей, колено 2.",возвратный поток (1 цикл.)
