cluster_id,n_nodes,n_seed,internal_kzt,cross_in_kzt,cross_out_kzt,cross_net_kzt,cross_in_edges,cross_out_edges,cross_in_tx,cross_out_tx,top_in_clusters,top_out_clusters
27,15,0,850450.0,13070.0,0.0,13070.0,1,0,1,0,5:13070.00,
46,6,0,2540000.0,12000.0,0.0,12000.0,1,0,2,0,1:12000.00,
42,7,0,1765600.0,9613.0,0.0,9613.0,1,0,1,0,1:9613.00,
61,4,0,332709.0,9500.0,0.0,9500.0,1,0,1,0,6:9500.00,
51,5,0,1189154.0,8000.0,0.0,8000.0,1,0,1,0,1:8000.00,
28,15,0,3626010.0,5300.0,0.0,5300.0,1,0,1,0,7:5300.00,
39,7,0,143000.0,5132.0,0.0,5132.0,1,0,1,0,5:5132.00,
52,5,0,172000.0,5000.0,0.0,5000.0,1,0,1,0,4:5000.00,
68,2,0,761255.0,5000.0,0.0,5000.0,1,0,1,0,14:5000.00,
64,3,1,390167.62,0.0,13420.0,-13420.0,0,2,0,2,,3:13420.00
2,270,1,10178044.0,0.0,0.0,0.0,0,0,0,0,,
26,17,1,2977887.0,0.0,0.0,0.0,0,0,0,0,,
30,13,1,1392916.0,0.0,0.0,0.0,0,0,0,0,,
44,6,1,1615030.0,0.0,0.0,0.0,0,0,0,0,,
45,6,1,1527967.0,0.0,0.0,0.0,0,0,0,0,,
47,6,1,275885.0,0.0,0.0,0.0,0,0,0,0,,
50,6,1,383300.0,0.0,0.0,0.0,0,0,0,0,,
53,5,1,2809200.0,0.0,0.0,0.0,0,0,0,0,,
54,5,2,108007.0,0.0,0.0,0.0,0,0,0,0,,
57,4,1,1404980.0,0.0,0.0,0.0,0,0,0,0,,
60,4,1,79050.0,0.0,0.0,0.0,0,0,0,0,,
62,3,1,450000.0,0.0,0.0,0.0,0,0,0,0,,
66,3,1,450816.0,0.0,0.0,0.0,0,0,0,0,,
69,2,1,30000.0,0.0,0.0,0.0,0,0,0,0,,
70,2,1,81465.0,0.0,0.0,0.0,0,0,0,0,,
73,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
74,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
75,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
76,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
77,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
78,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
79,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
80,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
81,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
82,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
83,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
84,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
85,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
86,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
87,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
88,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
89,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
90,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
91,1,1,0.0,0.0,0.0,0.0,0,0,0,0,,
