route_id,kind,hop,src,dst,src_role,dst_role,src_cluster,dst_cluster,sum_kzt,n_tx,path
58,chain,1,100000008086440100,100000008603629100,transit,coordinator,1,7,63900.0,2,100000008086440100 → 100000008603629100 → 100000004847758100 → 100000003684369100
58,chain,2,100000008603629100,100000004847758100,coordinator,distributor,7,4,25612.0,1,100000008086440100 → 100000008603629100 → 100000004847758100 → 100000003684369100
58,chain,3,100000004847758100,100000003684369100,distributor,distributor,4,4,56000.0,3,100000008086440100 → 100000008603629100 → 100000004847758100 → 100000003684369100
59,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006530134100
59,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006530134100
59,chain,3,100000000331309100,100000006530134100,coordinator,terminal,6,6,121240.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006530134100
60,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003242795100
60,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003242795100
60,chain,3,100000000331309100,100000003242795100,coordinator,terminal,6,6,111000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003242795100
61,chain,1,100000002723538100,100000008603629100,distributor,coordinator,7,7,85000.0,2,100000002723538100 → 100000008603629100 → 100000005357705100 → 100000008337304100
61,chain,2,100000008603629100,100000005357705100,coordinator,peripheral,7,7,52595.0,1,100000002723538100 → 100000008603629100 → 100000005357705100 → 100000008337304100
61,chain,3,100000005357705100,100000008337304100,peripheral,peripheral,7,7,105465.0,2,100000002723538100 → 100000008603629100 → 100000005357705100 → 100000008337304100
62,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001530983100
62,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001530983100
62,chain,3,100000000331309100,100000001530983100,coordinator,distributor,6,5,104000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001530983100
63,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000004889043100
63,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000004889043100
63,chain,3,100000000331309100,100000004889043100,coordinator,terminal,6,1,100000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000004889043100
64,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006734214100
64,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006734214100
64,chain,3,100000000331309100,100000006734214100,coordinator,peripheral,6,6,280000.0,3,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000006734214100
65,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000000810551100
65,chain,2,100000003880331100,100000003684369100,distributor,distributor,7,4,402000.0,4,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000000810551100
65,chain,3,100000003684369100,100000000810551100,distributor,peripheral,4,4,100000.0,1,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000000810551100
66,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000008739887100
66,chain,2,100000003880331100,100000008603629100,distributor,coordinator,7,7,598000.0,6,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000008739887100
66,chain,3,100000008603629100,100000008739887100,coordinator,peripheral,7,7,141000.0,2,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000008739887100
67,chain,1,100000008346837100,100000005910114100,coordinator,coordinator,14,1,92009.0,1,100000008346837100 → 100000005910114100 → 100000006866783100 → 100000003102157100
67,chain,2,100000005910114100,100000006866783100,coordinator,distributor,1,1,241712.0,8,100000008346837100 → 100000005910114100 → 100000006866783100 → 100000003102157100
67,chain,3,100000006866783100,100000003102157100,distributor,terminal,1,1,96746.0,2,100000008346837100 → 100000005910114100 → 100000006866783100 → 100000003102157100
68,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000003215448100
68,chain,2,100000003880331100,100000008603629100,distributor,coordinator,7,7,598000.0,6,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000003215448100
68,chain,3,100000008603629100,100000003215448100,coordinator,peripheral,7,7,91309.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000003215448100
69,chain,1,100000006866783100,100000007055802100,distributor,consolidator,1,1,200000.0,3,100000006866783100 → 100000007055802100 → 100000004299488100 → 100000004674799100
69,chain,2,100000007055802100,100000004299488100,consolidator,consolidator,1,1,605000.0,7,100000006866783100 → 100000007055802100 → 100000004299488100 → 100000004674799100
69,chain,3,100000004299488100,100000004674799100,consolidator,terminal,1,1,140000.0,5,100000006866783100 → 100000007055802100 → 100000004299488100 → 100000004674799100
70,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000002983879100
70,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000002983879100
70,chain,3,100000000331309100,100000002983879100,coordinator,terminal,6,4,85950.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000002983879100
71,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000004217419100
71,chain,2,100000003880331100,100000008603629100,distributor,coordinator,7,7,598000.0,6,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000004217419100
71,chain,3,100000008603629100,100000004217419100,coordinator,peripheral,7,7,80000.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000004217419100
72,chain,1,100000003796063100,100000000331309100,distributor,coordinator,6,6,233200.0,2,100000003796063100 → 100000000331309100 → 100000004299488100 → 100000007055802100
72,chain,2,100000000331309100,100000004299488100,coordinator,consolidator,6,1,360000.0,3,100000003796063100 → 100000000331309100 → 100000004299488100 → 100000007055802100
72,chain,3,100000004299488100,100000007055802100,consolidator,consolidator,1,1,204999.0,9,100000003796063100 → 100000000331309100 → 100000004299488100 → 100000007055802100
73,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003035737100
73,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003035737100
73,chain,3,100000000331309100,100000003035737100,coordinator,peripheral,6,6,453600.0,2,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000003035737100
74,chain,1,100000000437046100,100000001279272100,coordinator,peripheral,1,1,250000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001835625100
74,chain,2,100000001279272100,100000000331309100,peripheral,coordinator,1,6,130000.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001835625100
74,chain,3,100000000331309100,100000001835625100,coordinator,terminal,6,6,75130.0,1,100000000437046100 → 100000001279272100 → 100000000331309100 → 100000001835625100
75,chain,1,100000004351795100,100000000437046100,coordinator,coordinator,1,1,542000.0,9,100000004351795100 → 100000000437046100 → 100000006165886100 → 100000003834495100
75,chain,2,100000000437046100,100000006165886100,coordinator,peripheral,1,1,80414.0,1,100000004351795100 → 100000000437046100 → 100000006165886100 → 100000003834495100
75,chain,3,100000006165886100,100000003834495100,peripheral,peripheral,1,1,75000.0,1,100000004351795100 → 100000000437046100 → 100000006165886100 → 100000003834495100
76,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000002723538100
76,chain,2,100000003880331100,100000008603629100,distributor,coordinator,7,7,598000.0,6,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000002723538100
76,chain,3,100000008603629100,100000002723538100,coordinator,distributor,7,7,70647.0,1,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000002723538100
77,chain,1,100000000331309100,100000004077081100,coordinator,peripheral,6,4,140000.0,1,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000005079754100
77,chain,2,100000004077081100,100000003684369100,peripheral,distributor,4,4,110000.0,2,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000005079754100
77,chain,3,100000003684369100,100000005079754100,distributor,peripheral,4,4,70000.0,1,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000005079754100
78,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000005079754100
78,chain,2,100000003880331100,100000003684369100,distributor,distributor,7,4,402000.0,4,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000005079754100
78,chain,3,100000003684369100,100000005079754100,distributor,peripheral,4,4,70000.0,1,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000005079754100
79,chain,1,100000003242289100,100000008304139100,coordinator,distributor,17,4,93570.0,1,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000005079754100
79,chain,2,100000008304139100,100000003684369100,distributor,distributor,4,4,454000.0,10,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000005079754100
79,chain,3,100000003684369100,100000005079754100,distributor,peripheral,4,4,70000.0,1,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000005079754100
80,chain,1,100000008748914100,100000000331309100,distributor,coordinator,4,6,242000.0,1,100000008748914100 → 100000000331309100 → 100000004077081100 → 100000003684369100
80,chain,2,100000000331309100,100000004077081100,coordinator,peripheral,6,4,140000.0,1,100000008748914100 → 100000000331309100 → 100000004077081100 → 100000003684369100
80,chain,3,100000004077081100,100000003684369100,peripheral,distributor,4,4,110000.0,2,100000008748914100 → 100000000331309100 → 100000004077081100 → 100000003684369100
81,chain,1,100000000331309100,100000007055802100,coordinator,consolidator,6,1,450000.0,3,100000000331309100 → 100000007055802100 → 100000004299488100 → 100000004674799100
81,chain,2,100000007055802100,100000004299488100,consolidator,consolidator,1,1,605000.0,7,100000000331309100 → 100000007055802100 → 100000004299488100 → 100000004674799100
81,chain,3,100000004299488100,100000004674799100,consolidator,terminal,1,1,140000.0,5,100000000331309100 → 100000007055802100 → 100000004299488100 → 100000004674799100
82,chain,1,100000008632060100,100000004400305100,distributor,distributor,1,1,40000.0,2,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000002398779100
82,chain,2,100000004400305100,100000002645993100,distributor,peripheral,1,1,35650.0,3,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000002398779100
82,chain,3,100000002645993100,100000002398779100,peripheral,consolidator,1,1,54150.0,5,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000002398779100
83,chain,1,100000000331309100,100000004077081100,coordinator,peripheral,6,4,140000.0,1,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000001554432100
83,chain,2,100000004077081100,100000003684369100,peripheral,distributor,4,4,110000.0,2,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000001554432100
83,chain,3,100000003684369100,100000001554432100,distributor,terminal,4,4,53920.0,1,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000001554432100
84,chain,1,100000001857829100,100000003880331100,coordinator,distributor,7,7,100000.0,1,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000001554432100
