rank,gid,role,priority_score,why,attention
61,100000004071080100,consolidator,0.825979,"Признаки консолидации: 9 плательщиков, 2 получателей, входящий поток 238,600 KZT. Приоритет: 9 плательщиков, 238,600 KZT входа, 2 получателей, достижим из 2 seed, мост 0.0000; итог 0.826.",возвратный поток (1 цикл.); плательщиков больше 99% узлов колена 1
62,100000003016635100,distributor,0.825536,"Признаки распределения: 73 получателей против 8 плательщиков, исходящий поток 9,414,081 KZT. Приоритет: 8 плательщиков, 586,981 KZT входа, 73 получателей, достижим из 4 seed, мост 0.0020; итог 0.826.",возвратный поток с seed (13 цикл.); 3 плательщиков в один день; повтор одной суммы ×5; 23 входов у порога 5–10 тыс.
63,100000007639767100,distributor,0.817671,"Признаки распределения: 10 получателей против 4 плательщиков, исходящий поток 822,244 KZT. Приоритет: 4 плательщиков, 90,913 KZT входа, 10 получателей, достижим из 2 seed, мост 0.0008; итог 0.818.",возвратный поток с seed (60 цикл.)
64,100000008324800100,transit,0.814073,"Признаки транзита: отдал 97% видимого входа; 3→1 связей, быстрый выход 76%. Приоритет: 3 плательщиков, 526,500 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0000; итог 0.814.",возвратный поток (1 цикл.); повтор одной суммы ×5
65,100000007593823100,coordinator,0.813527,"Гипотеза координации: достижим из 4 seed, 3 плательщиков, мост 0.0002. Приоритет: 3 плательщиков, 25,000 KZT входа, 13 получателей, достижим из 4 seed, мост 0.0002; итог 0.814.",возвратный поток (4 цикл.); повтор одной суммы ×10
66,100000008692291100,transit,0.810768,"Признаки транзита: отдал 98% видимого входа; 3→3 связей, быстрый выход 67%. Приоритет: 3 плательщиков, 160,000 KZT входа, 3 получателей, достижим из 3 seed, мост 0.0000; итог 0.811.",нет
67,100000003159641100,consolidator,0.805166,"Признаки консолидации: 4 плательщиков, 1 получателей, входящий поток 64,000 KZT. Приоритет: 4 плательщиков, 64,000 KZT входа, 1 получателей, достижим из 4 seed, мост 0.0000; итог 0.805.",4 входов у порога 5–10 тыс.
68,100000003004487100,consolidator,0.804744,"Признаки консолидации: 4 плательщиков, 2 получателей, входящий поток 183,703 KZT. Приоритет: 4 плательщиков, 183,703 KZT входа, 2 получателей, достижим из 2 seed, мост 0.0001; итог 0.805.",возвратный поток (1 цикл.)
69,100000005665181100,distributor,0.803261,"Признаки распределения: 11 получателей против 4 плательщиков, исходящий поток 181,915 KZT. Приоритет: 4 плательщиков, 45,498 KZT входа, 11 получателей, достижим из 3 seed, мост 0.0002; итог 0.803.",возвратный поток (1 цикл.); 4 входов у порога 5–10 тыс.
70,100000000490383100,distributor,0.803077,"Признаки распределения: 8 получателей против 3 плательщиков, исходящий поток 461,375 KZT. Приоритет: 3 плательщиков, 62,600 KZT входа, 8 получателей, достижим из 3 seed, мост 0.0000; итог 0.803.",нет
71,100000007055802100,consolidator,0.802891,"Признаки консолидации: 6 плательщиков, 1 получателей, входящий поток 2,024,999 KZT. Приоритет: 6 плательщиков, 2,024,999 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0000; итог 0.803.",возвратный поток (1 цикл.); 4 плательщиков в один день
72,100000001126374100,consolidator,0.798928,"Признаки консолидации: 4 плательщиков, 2 получателей, входящий поток 182,500 KZT. Приоритет: 4 плательщиков, 182,500 KZT входа, 2 получателей, достижим из 2 seed, мост 0.0000; итог 0.799.",нет
73,100000000343175100,distributor,0.797961,"Признаки распределения: 31 получателей против 8 плательщиков, исходящий поток 4,000,039 KZT. Приоритет: 8 плательщиков, 178,712 KZT входа, 31 получателей, достижим из 5 seed, мост 0.0005; итог 0.798.",нет
74,100000004390333100,distributor,0.795774,"Признаки распределения: 9 получателей против 2 плательщиков, исходящий поток 506,500 KZT. Приоритет: 2 плательщиков, 64,558 KZT входа, 9 получателей, достижим из 2 seed, мост 0.0000; итог 0.796.",возвратный поток с seed (16 цикл.); повтор одной суммы ×4
75,100000006069103100,transit,0.789976,"Признаки транзита: отдал 118% видимого входа; 3→3 связей, быстрый выход 67%. Приоритет: 3 плательщиков, 228,818 KZT входа, 3 получателей, достижим из 2 seed, мост 0.0000; итог 0.790.",возвратный поток (1 цикл.)
76,100000004707703100,transit,0.787536,"Признаки транзита: отдал 97% видимого входа; 2→5 связей, быстрый выход 67%. Приоритет: 2 плательщиков, 239,300 KZT входа, 5 получателей, достижим из 2 seed, мост 0.0000; итог 0.788.",нет
77,100000007629096100,consolidator,0.785863,"Признаки консолидации: 4 плательщиков, 1 получателей, входящий поток 1,075,170 KZT. Приоритет: 4 плательщиков, 1,075,170 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0000; итог 0.786.",возвратный поток (1 цикл.)
78,100000003249054100,consolidator,0.785098,"Признаки консолидации: 7 плательщиков, 1 получателей, входящий поток 99,700 KZT. Приоритет: 7 плательщиков, 99,700 KZT входа, 1 получателей, достижим из 3 seed, мост 0.0000; итог 0.785.",7 входов у порога 5–10 тыс.
79,100000005830339100,consolidator,0.781139,"Признаки консолидации: 5 плательщиков, 1 получателей, входящий поток 476,341 KZT. Приоритет: 5 плательщиков, 476,341 KZT входа, 1 получателей, достижим из 2 seed, мост 0.0000; итог 0.781.",плательщиков больше 99% узлов колена 3
80,100000008466579100,distributor,0.777513,"Признаки распределения: 17 получателей против 2 плательщиков, исходящий поток 1,933,000 KZT. Приоритет: 2 плательщиков, 36,952 KZT входа, 17 получателей, достижим из 2 seed, мост 0.0002; итог 0.778.",возвратный поток (1 цикл.)
81,100000008710843100,distributor,0.776842,"Признаки распределения: 13 получателей против 2 плательщиков, исходящий поток 1,985,500 KZT. Приоритет: 2 плательщиков, 33,944 KZT входа, 13 получателей, достижим из 3 seed, мост 0.0006; итог 0.777.",возвратный поток (1 цикл.)
82,100000003946524100,transit,0.77571,"Признаки транзита: отдал 108% видимого входа; 2→2 связей, быстрый выход 0%. Приоритет: 2 плательщиков, 133,757 KZT входа, 2 получателей, достижим из 4 seed, мост 0.0000; итог 0.776.",возвратный поток (1 цикл.)
83,100000004486525100,consolidator,0.773733,"Признаки консолидации: 8 плательщиков, 2 получателей, входящий поток 360,924 KZT. Приоритет: 8 плательщиков, 360,924 KZT входа, 2 получателей, достижим из 3 seed, мост 0.0000; итог 0.774.",5 плательщиков в один день
84,100000005048668100,distributor,0.76577,"Признаки распределения: 8 получателей против 2 плательщиков, исходящий поток 159,400 KZT. Приоритет: 2 плательщиков, 16,668 KZT входа, 8 получателей, достижим из 4 seed, мост 0.0004; итог 0.766.",возвратный поток (2 цикл.)
85,100000008413748100,distributor,0.75843,"Признаки распределения: 18 получателей против 2 плательщиков, исходящий поток 1,377,320 KZT. Приоритет: 2 плательщиков, 26,480 KZT входа, 18 получателей, достижим из 2 seed, мост 0.0001; итог 0.758.",возвратный поток с seed (6 цикл.)
86,100000005382566100,consolidator,0.751553,"Признаки консолидации: 7 плательщиков, 1 получателей, входящий поток 393,066 KZT. Приоритет: 7 плательщиков, 393,066 KZT входа, 1 получателей, достижим из 12 seed, мост 0.0000; итог 0.752.",возвратный поток с seed (1 цикл.)
87,100000008723830100,transit,0.749562,"Признаки транзита: отдал 99% видимого входа; 2→1 связей, быстрый выход 50%. Приоритет: 2 плательщиков, 459,785 KZT входа, 1 получателей, достижим из 2 seed, мост 0.0000; итог 0.750.",нет
88,100000004150593100,distributor,0.743794,"Признаки распределения: 11 получателей против 1 плательщиков, исходящий поток 871,165 KZT. Приоритет: 1 плательщиков, 57,000 KZT входа, 11 получателей, достижим из 3 seed, мост 0.0001; итог 0.744.",возвратный поток с seed (1 цикл.)
89,100000007544358100,transit,0.740434,"Признаки транзита: отдал 109% видимого входа; 2→1 связей, быстрый выход 50%. Приоритет: 2 плательщиков, 322,500 KZT входа, 1 получателей, достижим из 2 seed, мост 0.0000; итог 0.740.",нет
90,100000000291906100,transit,0.731549,"Признаки транзита: отдал 117% видимого входа; 2→2 связей, быстрый выход 100%. Приоритет: 2 плательщиков, 388,000 KZT входа, 2 получателей, достижим из 1 seed, мост 0.0000; итог 0.732.",возвратный поток (1 цикл.)
91,100000001526235100,distributor,0.727602,"Признаки распределения: 8 получателей против 3 плательщиков, исходящий поток 432,750 KZT. Приоритет: 3 плательщиков, 82,000 KZT входа, 8 получателей, достижим из 1 seed, мост 0.0001; итог 0.728.",возвратный поток (3 цикл.)
92,100000002718366100,consolidator,0.721764,"Признаки консолидации: 6 плательщиков, 0 получателей, входящий поток 2,525,000 KZT. Приоритет: 6 плательщиков, 2,525,000 KZT входа, 0 получателей, достижим из 5 seed, мост 0.0000; итог 0.722.",3 плательщиков в один день
93,100000001282143100,consolidator,0.71905,"Признаки консолидации: 5 плательщиков, 0 получателей, входящий поток 1,700,000 KZT. Приоритет: 5 плательщиков, 1,700,000 KZT входа, 0 получателей, достижим из 5 seed, мост 0.0000; итог 0.719.",4 плательщиков в один день; плательщиков больше 99% узлов колена 3
94,100000002894076100,consolidator,0.718383,"Признаки консолидации: 4 плательщиков, 0 получателей, входящий поток 1,122,782 KZT. Приоритет: 4 плательщиков, 1,122,782 KZT входа, 0 получателей, достижим из 7 seed, мост 0.0000; итог 0.718.",3 плательщиков в один день
95,100000008465789100,distributor,0.717004,"Признаки распределения: 16 получателей против 1 плательщиков, исходящий поток 1,858,100 KZT. Приоритет: 1 плательщиков, 30,099 KZT входа, 16 получателей, достижим из 3 seed, мост 0.0003; итог 0.717.",возвратный поток (2 цикл.); повтор одной суммы ×5
96,100000003404627100,consolidator,0.7126,"Признаки консолидации: 4 плательщиков, 0 получателей, входящий поток 877,700 KZT. Приоритет: 4 плательщиков, 877,700 KZT входа, 0 получателей, достижим из 5 seed, мост 0.0000; итог 0.713.",3 плательщиков в один день
97,100000004820260100,transit,0.712458,"Признаки транзита: отдал 92% видимого входа; 1→3 связей, быстрый выход 75%. Приоритет: 1 плательщиков, 234,200 KZT входа, 3 получателей, достижим из 3 seed, мост 0.0000; итог 0.712.",возвратный поток (2 цикл.)
98,100000005519998100,transit,0.710319,"Признаки транзита: отдал 103% видимого входа; 3→3 связей, быстрый выход 60%. Приоритет: 3 плательщиков, 182,000 KZT входа, 3 получателей, достижим из 1 seed, мост 0.0000; итог 0.710.",возвратный поток (8 цикл.)
99,100000005074393100,peripheral,0.708802,"Недостаточно признаков роли: 4 плательщиков, 6 получателей, колено 1. Приоритет: 4 плательщиков, 563,026 KZT входа, 6 получателей, достижим из 6 seed, мост 0.0001; итог 0.709.",возвратный поток (3 цикл.)
100,100000008144528100,consolidator,0.707173,"Признаки консолидации: 5 плательщиков, 0 получателей, входящий поток 1,068,203 KZT. Приоритет: 5 плательщиков, 1,068,203 KZT входа, 0 получателей, достижим из 4 seed, мост 0.0000; итог 0.707.",нет
