cycle_id,length,path,bottleneck_kzt,n_seed
28,2,100000003635170100 → 100000004209339100 → 100000003635170100,138500.0,0
29,2,100000004820260100 → 100000005339662100 → 100000004820260100,135850.0,0
30,2,100000000661912100 → 100000003131016100 → 100000000661912100,126000.0,0
31,2,100000001380054100 → 100000006232815100 → 100000001380054100,120000.0,1
32,2,100000003701161100 → 100000003718221100 → 100000003701161100,120000.0,0
33,3,100000002267998100 → 100000003701161100 → 100000003718221100 → 100000002267998100,120000.0,0
34,3,100000002267998100 → 100000003718221100 → 100000003701161100 → 100000002267998100,120000.0,0
35,3,100000000673868100 → 100000007442518100 → 100000008258083100 → 100000000673868100,115000.0,0
36,2,100000003016635100 → 100000005287097100 → 100000003016635100,110723.0,1
37,2,100000003001661100 → 100000007382543100 → 100000003001661100,110000.0,0
38,2,100000001857829100 → 100000003880331100 → 100000001857829100,100000.0,0
39,2,100000004407753100 → 100000007382543100 → 100000004407753100,100000.0,0
40,3,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000001857829100,100000.0,0
41,3,100000002224132100 → 100000004603109100 → 100000004892144100 → 100000002224132100,100000.0,0
42,2,100000001732159100 → 100000008314203100 → 100000001732159100,95000.0,2
43,3,100000000594783100 → 100000004603109100 → 100000002224132100 → 100000000594783100,92500.0,0
44,4,100000000594783100 → 100000004603109100 → 100000004892144100 → 100000002224132100 → 100000000594783100,92500.0,0
45,2,100000008748914100 → 100000008762832100 → 100000008748914100,85000.0,0
46,2,100000003923946100 → 100000003977183100 → 100000003923946100,82000.0,1
47,2,100000008659445100 → 100000008736940100 → 100000008659445100,77300.0,1
48,3,100000008193577100 → 100000008736940100 → 100000008659445100 → 100000008193577100,77300.0,1
49,2,100000001677929100 → 100000002394199100 → 100000001677929100,76777.0,0
50,2,100000001697501100 → 100000002578405100 → 100000001697501100,73700.0,0
51,3,100000008659445100 → 100000008751429100 → 100000008736940100 → 100000008659445100,72600.0,1
52,4,100000008193577100 → 100000008751429100 → 100000008736940100 → 100000008659445100 → 100000008193577100,72600.0,1
53,2,100000004330371100 → 100000006534886100 → 100000004330371100,71700.0,0
54,2,100000002723538100 → 100000008603629100 → 100000002723538100,70647.0,0
55,2,100000001616816100 → 100000004015047100 → 100000001616816100,69195.0,1
56,2,100000008193577100 → 100000008736940100 → 100000008193577100,67300.0,0
57,3,100000008193577100 → 100000008751429100 → 100000008736940100 → 100000008193577100,67300.0,0
58,4,100000000437046100 → 100000004070318100 → 100000006866783100 → 100000004351795100 → 100000000437046100,66404.0,1
59,2,100000004070318100 → 100000006866783100 → 100000004070318100,64725.0,1
60,2,100000003988112100 → 100000004403675100 → 100000003988112100,64000.0,0
61,2,100000008547844100 → 100000008547948100 → 100000008547844100,61000.0,0
62,4,100000004070318100 → 100000008346837100 → 100000005910114100 → 100000006866783100 → 100000004070318100,60059.0,1
63,2,100000000031787100 → 100000000267734100 → 100000000031787100,60000.0,0
64,2,100000000594783100 → 100000002224132100 → 100000000594783100,60000.0,0
65,2,100000001965374100 → 100000005820746100 → 100000001965374100,60000.0,0
66,2,100000008314203100 → 100000008637537100 → 100000008314203100,60000.0,2
67,3,100000001732159100 → 100000008637537100 → 100000008314203100 → 100000001732159100,60000.0,3
68,3,100000000552584100 → 100000004603109100 → 100000002224132100 → 100000000552584100,57500.0,0
69,4,100000000552584100 → 100000004603109100 → 100000004892144100 → 100000002224132100 → 100000000552584100,57500.0,0
70,2,100000008193577100 → 100000008659445100 → 100000008193577100,56190.0,1
71,3,100000008193577100 → 100000008659445100 → 100000008736940100 → 100000008193577100,56190.0,1
72,4,100000008193577100 → 100000008659445100 → 100000008751429100 → 100000008736940100 → 100000008193577100,56190.0,1
73,2,100000008603629100 → 100000008686313100 → 100000008603629100,55500.0,0
74,2,100000001382002100 → 100000005584222100 → 100000001382002100,55000.0,0
75,2,100000001616816100 → 100000001937767100 → 100000001616816100,53000.0,1
76,2,100000004017410100 → 100000004336312100 → 100000004017410100,52650.0,0
77,2,100000004041163100 → 100000005382566100 → 100000004041163100,50000.0,2
78,2,100000003242289100 → 100000008512552100 → 100000003242289100,49000.0,0
79,2,100000006169033100 → 100000008011159100 → 100000006169033100,49000.0,0
80,2,100000007511163100 → 100000008389800100 → 100000007511163100,49000.0,0
81,4,100000003242289100 → 100000008304139100 → 100000006866783100 → 100000004351795100 → 100000003242289100,49000.0,1
82,2,100000006866783100 → 100000008686313100 → 100000006866783100,48100.0,1
83,4,100000000437046100 → 100000008686313100 → 100000006866783100 → 100000004351795100 → 100000000437046100,48100.0,1
84,4,100000004351795100 → 100000008603629100 → 100000008686313100 → 100000006866783100 → 100000004351795100,48100.0,1
85,4,100000000331309100 → 100000008686313100 → 100000006866783100 → 100000004403675100 → 100000000331309100,47187.0,1
86,2,100000002781227100 → 100000002796853100 → 100000002781227100,46167.62,0
87,2,100000004390333100 → 100000006866783100 → 100000004390333100,45751.0,1
88,4,100000000437046100 → 100000004070318100 → 100000006866783100 → 100000004390333100 → 100000000437046100,45751.0,1
89,4,100000000437046100 → 100000008686313100 → 100000006866783100 → 100000004390333100 → 100000000437046100,45751.0,1
90,4,100000004390333100 → 100000008603629100 → 100000008686313100 → 100000006866783100 → 100000004390333100,45751.0,1
91,3,100000006866783100 → 100000008137435100 → 100000008686313100 → 100000006866783100,43906.0,1
92,2,100000003016635100 → 100000006579678100 → 100000003016635100,42930.0,1
93,2,100000004569484100 → 100000005704413100 → 100000004569484100,41000.0,0
94,2,100000000297649100 → 100000001899164100 → 100000000297649100,40000.0,0
95,2,100000000933075100 → 100000002193259100 → 100000000933075100,40000.0,0
96,2,100000001138283100 → 100000008603629100 → 100000001138283100,40000.0,0
97,2,100000002175422100 → 100000003004487100 → 100000002175422100,40000.0,0
98,2,100000002731501100 → 100000004160650100 → 100000002731501100,40000.0,0
99,4,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000003178549100 → 100000001857829100,40000.0,0
100,4,100000004390333100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000004390333100,40000.0,1
101,2,100000001808684100 → 100000003509750100 → 100000001808684100,37700.0,0
102,2,100000008736940100 → 100000008751429100 → 100000008736940100,37500.0,0
103,3,100000004569484100 → 100000005578559100 → 100000005704413100 → 100000004569484100,36834.67,0
104,2,100000006385877100 → 100000006443391100 → 100000006385877100,36602.93,0
105,2,100000003616818100 → 100000004005964100 → 100000003616818100,35000.0,0
106,2,100000003796063100 → 100000008111003100 → 100000003796063100,35000.0,0
107,3,100000003616818100 → 100000004160650100 → 100000004005964100 → 100000003616818100,35000.0,0
108,4,100000002306369100 → 100000008111003100 → 100000003796063100 → 100000006866783100 → 100000002306369100,35000.0,1
109,4,100000002306369100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000002306369100,35000.0,1
110,4,100000003796063100 → 100000008346837100 → 100000005910114100 → 100000008111003100 → 100000003796063100,35000.0,0
111,4,100000003796063100 → 100000008477350100 → 100000005910114100 → 100000008111003100 → 100000003796063100,35000.0,0
112,4,100000002723538100 → 100000003242289100 → 100000008304139100 → 100000008603629100 → 100000002723538100,33000.0,0
113,2,100000004569484100 → 100000005933757100 → 100000004569484100,32607.0,0
114,2,100000003115284100 → 100000003360542100 → 100000003115284100,30500.0,0
115,2,100000000076451100 → 100000007131370100 → 100000000076451100,30000.0,0
116,2,100000002391278100 → 100000004221668100 → 100000002391278100,30000.0,0
117,2,100000002527114100 → 100000003942602100 → 100000002527114100,30000.0,1
118,2,100000002733905100 → 100000005342513100 → 100000002733905100,30000.0,0
119,2,100000005473151100 → 100000008545727100 → 100000005473151100,30000.0,0
120,2,100000008489922100 → 100000008547948100 → 100000008489922100,30000.0,0
121,4,100000008465789100 → 100000008466579100 → 100000008547948100 → 100000008547844100 → 100000008465789100,30000.0,0
122,4,100000000437046100 → 100000004070318100 → 100000008346837100 → 100000004351795100 → 100000000437046100,29511.0,0
123,2,100000000437046100 → 100000008686313100 → 100000000437046100,29200.0,0
124,4,100000000331309100 → 100000008686313100 → 100000000437046100 → 100000001279272100 → 100000000331309100,29200.0,0
125,4,100000000437046100 → 100000004070318100 → 100000006866783100 → 100000008686313100 → 100000000437046100,29200.0,1
126,2,100000003616818100 → 100000004160650100 → 100000003616818100,28000.0,0
127,2,100000000437046100 → 100000007639767100 → 100000000437046100,27868.0,0
128,4,100000000437046100 → 100000007639767100 → 100000008603629100 → 100000008686313100 → 100000000437046100,27868.0,0
129,2,100000001857829100 → 100000008603629100 → 100000001857829100,26000.0,0
130,3,100000001857829100 → 100000008603629100 → 100000003178549100 → 100000001857829100,26000.0,0
131,4,100000000437046100 → 100000008686313100 → 100000008477350100 → 100000008086440100 → 100000000437046100,25800.0,0
132,4,100000003968044100 → 100000008603629100 → 100000008686313100 → 100000008477350100 → 100000003968044100,25800.0,0
133,4,100000005910114100 → 100000006866783100 → 100000008686313100 → 100000008477350100 → 100000005910114100,25800.0,1
134,4,100000005910114100 → 100000008603629100 → 100000008686313100 → 100000008477350100 → 100000005910114100,25800.0,0
135,4,100000008086440100 → 100000008603629100 → 100000008686313100 → 100000008477350100 → 100000008086440100,25800.0,0
136,2,100000004847758100 → 100000008603629100 → 100000004847758100,25612.0,0
137,2,100000001166289100 → 100000002733905100 → 100000001166289100,25000.0,0
138,2,100000001697501100 → 100000002527114100 → 100000001697501100,25000.0,1
139,2,100000001697501100 → 100000006612238100 → 100000001697501100,25000.0,0
140,4,100000000437046100 → 100000004070318100 → 100000008477350100 → 100000008086440100 → 100000000437046100,25000.0,0
141,4,100000004070318100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000004070318100,25000.0,1
142,4,100000001660397100 → 100000006866783100 → 100000004351795100 → 100000008603629100 → 100000001660397100,24000.0,1
143,4,100000001660397100 → 100000006866783100 → 100000004390333100 → 100000008603629100 → 100000001660397100,24000.0,1
144,4,100000001660397100 → 100000006866783100 → 100000008686313100 → 100000008603629100 → 100000001660397100,24000.0,1
145,2,100000007639767100 → 100000008603629100 → 100000007639767100,23722.0,0
146,4,100000000437046100 → 100000008686313100 → 100000008603629100 → 100000007639767100 → 100000000437046100,23722.0,0
147,2,100000006866783100 → 100000008304139100 → 100000006866783100,23567.0,1
148,3,100000006866783100 → 100000008304139100 → 100000008587459100 → 100000006866783100,23567.0,1
149,4,100000000437046100 → 100000004070318100 → 100000006866783100 → 100000008304139100 → 100000000437046100,23567.0,1
150,4,100000000437046100 → 100000008686313100 → 100000006866783100 → 100000008304139100 → 100000000437046100,23567.0,1
151,4,100000001660397100 → 100000006866783100 → 100000008304139100 → 100000008603629100 → 100000001660397100,23567.0,1
152,4,100000005910114100 → 100000006866783100 → 100000008304139100 → 100000008477350100 → 100000005910114100,23567.0,1
153,4,100000006866783100 → 100000008304139100 → 100000008603629100 → 100000008686313100 → 100000006866783100,23567.0,1
154,4,100000000437046100 → 100000004070318100 → 100000008603629100 → 100000007639767100 → 100000000437046100,23126.0,0
155,4,100000000437046100 → 100000004070318100 → 100000008603629100 → 100000008686313100 → 100000000437046100,23126.0,0
156,4,100000001660397100 → 100000006866783100 → 100000004070318100 → 100000008603629100 → 100000001660397100,23126.0,1
157,4,100000004070318100 → 100000008603629100 → 100000008686313100 → 100000006866783100 → 100000004070318100,23126.0,1
158,4,100000000437046100 → 100000004070318100 → 100000006866783100 → 100000007639767100 → 100000000437046100,23018.0,1
159,4,100000000437046100 → 100000008686313100 → 100000006866783100 → 100000007639767100 → 100000000437046100,23018.0,1
160,4,100000001660397100 → 100000006866783100 → 100000007639767100 → 100000008603629100 → 100000001660397100,23018.0,1
161,4,100000006866783100 → 100000007639767100 → 100000008603629100 → 100000008686313100 → 100000006866783100,23018.0,1
162,2,100000005660203100 → 100000006518161100 → 100000005660203100,23000.0,0
163,2,100000004351795100 → 100000008603629100 → 100000004351795100,22418.0,0
164,4,100000000437046100 → 100000004070318100 → 100000008603629100 → 100000004351795100 → 100000000437046100,22418.0,0
165,4,100000000437046100 → 100000007639767100 → 100000008603629100 → 100000004351795100 → 100000000437046100,22418.0,0
166,4,100000000437046100 → 100000008686313100 → 100000008603629100 → 100000004351795100 → 100000000437046100,22418.0,0
167,4,100000003242289100 → 100000008304139100 → 100000008603629100 → 100000004351795100 → 100000003242289100,22418.0,0
168,2,100000002293421100 → 100000004180097100 → 100000002293421100,22000.0,0
169,2,100000002156381100 → 100000002696152100 → 100000002156381100,21800.0,0
170,4,100000001660397100 → 100000006866783100 → 100000002306369100 → 100000008603629100 → 100000001660397100,20900.0,1
171,4,100000002306369100 → 100000008603629100 → 100000008686313100 → 100000006866783100 → 100000002306369100,20900.0,1
172,3,100000003242289100 → 100000008417359100 → 100000008512552100 → 100000003242289100,20760.0,0
173,2,100000000607941100 → 100000003406094100 → 100000000607941100,20000.0,0
174,2,100000001526235100 → 100000005505655100 → 100000001526235100,20000.0,0
175,2,100000002132479100 → 100000004159526100 → 100000002132479100,20000.0,0
176,2,100000002175422100 → 100000003557488100 → 100000002175422100,20000.0,0
177,2,100000003946524100 → 100000007898453100 → 100000003946524100,20000.0,0
178,2,100000004076740100 → 100000005519998100 → 100000004076740100,20000.0,0
179,2,100000008389800100 → 100000008430691100 → 100000008389800100,20000.0,0
180,3,100000004017410100 → 100000004336312100 → 100000005519998100 → 100000004017410100,20000.0,0
181,3,100000004076740100 → 100000004336312100 → 100000005519998100 → 100000004076740100,20000.0,0
182,3,100000008465789100 → 100000008547948100 → 100000008547844100 → 100000008465789100,20000.0,0
183,4,100000002723538100 → 100000003242289100 → 100000004140487100 → 100000008603629100 → 100000002723538100,20000.0,0
184,4,100000003242289100 → 100000004140487100 → 100000008603629100 → 100000004351795100 → 100000003242289100,20000.0,0
185,4,100000004017410100 → 100000005519998100 → 100000004076740100 → 100000004336312100 → 100000004017410100,20000.0,0
186,4,100000004569484100 → 100000005933757100 → 100000008104567100 → 100000005704413100 → 100000004569484100,20000.0,0
187,2,100000004070318100 → 100000004400305100 → 100000004070318100,19800.0,0
188,4,100000000437046100 → 100000004070318100 → 100000004400305100 → 100000008304139100 → 100000000437046100,19800.0,0
189,4,100000000437046100 → 100000004070318100 → 100000004400305100 → 100000008686313100 → 100000000437046100,19800.0,0
190,4,100000004070318100 → 100000004400305100 → 100000005910114100 → 100000006866783100 → 100000004070318100,19800.0,1
191,4,100000004070318100 → 100000004400305100 → 100000008304139100 → 100000006866783100 → 100000004070318100,19800.0,1
192,4,100000004070318100 → 100000004400305100 → 100000008587459100 → 100000006866783100 → 100000004070318100,19800.0,1
193,4,100000004070318100 → 100000004400305100 → 100000008686313100 → 100000006866783100 → 100000004070318100,19800.0,1
194,2,100000002957787100 → 100000005268319100 → 100000002957787100,19712.8,0
195,2,100000001660397100 → 100000006866783100 → 100000001660397100,19300.0,1
196,3,100000000785800100 → 100000008601794100 → 100000001872484100 → 100000000785800100,19000.0,1
197,2,100000003016635100 → 100000004330371100 → 100000003016635100,18981.0,1
198,2,100000008086440100 → 100000008477350100 → 100000008086440100,18900.0,0
199,4,100000000437046100 → 100000004070318100 → 100000004400305100 → 100000004390333100 → 100000000437046100,18807.0,0
200,4,100000004070318100 → 100000004400305100 → 100000004390333100 → 100000006866783100 → 100000004070318100,18807.0,1
201,4,100000001660397100 → 100000006866783100 → 100000004847758100 → 100000008603629100 → 100000001660397100,18775.0,1
202,4,100000004847758100 → 100000008603629100 → 100000008686313100 → 100000006866783100 → 100000004847758100,18775.0,1
203,4,100000008489922100 → 100000008710843100 → 100000008547844100 → 100000008547948100 → 100000008489922100,18200.0,0
204,2,100000001893287100 → 100000004698193100 → 100000001893287100,18000.0,0
205,2,100000003016635100 → 100000004188160100 → 100000003016635100,18000.0,1
206,2,100000004544958100 → 100000004677680100 → 100000004544958100,18000.0,0
207,2,100000000850297100 → 100000006707582100 → 100000000850297100,17520.0,0
208,2,100000003016635100 → 100000008169544100 → 100000003016635100,17300.0,1
209,4,100000005910114100 → 100000006866783100 → 100000008443341100 → 100000008477350100 → 100000005910114100,17000.0,1
210,2,100000004156082100 → 100000005287097100 → 100000004156082100,16450.0,0
211,4,100000000437046100 → 100000004070318100 → 100000008477350100 → 100000007639767100 → 100000000437046100,16305.0,0
212,4,100000000437046100 → 100000008686313100 → 100000008477350100 → 100000007639767100 → 100000000437046100,16305.0,0
213,4,100000007639767100 → 100000008603629100 → 100000008686313100 → 100000008477350100 → 100000007639767100,16305.0,0
214,4,100000004679953100 → 100000005782781100 → 100000004847758100 → 100000008603629100 → 100000004679953100,16000.0,0
215,2,100000000011452100 → 100000005140601100 → 100000000011452100,15000.0,0
216,2,100000000437046100 → 100000008293431100 → 100000000437046100,15000.0,0
217,2,100000000831684100 → 100000004692798100 → 100000000831684100,15000.0,0
218,2,100000002612809100 → 100000005507142100 → 100000002612809100,15000.0,0
219,2,100000002941114100 → 100000005168487100 → 100000002941114100,15000.0,0
220,3,100000003616818100 → 100000004005964100 → 100000004007116100 → 100000003616818100,15000.0,1
221,3,100000003616818100 → 100000004160650100 → 100000004007116100 → 100000003616818100,15000.0,1
222,3,100000004820260100 → 100000005175148100 → 100000005339662100 → 100000004820260100,15000.0,0
223,4,100000002723538100 → 100000003242289100 → 100000004140487100 → 100000004400305100 → 100000002723538100,15000.0,0
224,4,100000002731501100 → 100000004007116100 → 100000003616818100 → 100000004160650100 → 100000002731501100,15000.0,1
225,4,100000003616818100 → 100000004160650100 → 100000004005964100 → 100000004007116100 → 100000003616818100,15000.0,1
226,2,100000005037490100 → 100000008733194100 → 100000005037490100,14000.0,0
227,4,100000002645993100 → 100000008413748100 → 100000004070318100 → 100000004400305100 → 100000002645993100,13480.0,0
228,2,100000004475818100 → 100000005665181100 → 100000004475818100,13000.0,0
229,2,100000005264874100 → 100000005507142100 → 100000005264874100,13000.0,0
230,4,100000001660397100 → 100000008413748100 → 100000004070318100 → 100000006866783100 → 100000001660397100,13000.0,1
231,4,100000001660397100 → 100000008413748100 → 100000004070318100 → 100000008603629100 → 100000001660397100,13000.0,0
232,4,100000001660397100 → 100000008413748100 → 100000008304139100 → 100000006866783100 → 100000001660397100,13000.0,1
233,4,100000001660397100 → 100000008413748100 → 100000008304139100 → 100000008603629100 → 100000001660397100,13000.0,0
234,2,100000000667713100 → 100000008636603100 → 100000000667713100,12750.0,0
235,3,100000000667713100 → 100000008636603100 → 100000003016635100 → 100000000667713100,12750.0,1
236,2,100000000580561100 → 100000003888271100 → 100000000580561100,12177.0,1
237,4,100000001660397100 → 100000008477350100 → 100000003968044100 → 100000008603629100 → 100000001660397100,12000.0,0
238,4,100000001660397100 → 100000008477350100 → 100000005910114100 → 100000006866783100 → 100000001660397100,12000.0,1
239,4,100000001660397100 → 100000008477350100 → 100000005910114100 → 100000008603629100 → 100000001660397100,12000.0,0
240,4,100000001660397100 → 100000008477350100 → 100000007639767100 → 100000008603629100 → 100000001660397100,12000.0,0
241,4,100000001660397100 → 100000008477350100 → 100000008086440100 → 100000008603629100 → 100000001660397100,12000.0,0
242,2,100000001600934100 → 100000005140601100 → 100000001600934100,11000.0,0
243,2,100000001609499100 → 100000006866783100 → 100000001609499100,11000.0,1
244,4,100000001609499100 → 100000006866783100 → 100000002306369100 → 100000008603629100 → 100000001609499100,11000.0,1
245,4,100000001609499100 → 100000006866783100 → 100000004070318100 → 100000004400305100 → 100000001609499100,11000.0,1
246,4,100000001609499100 → 100000006866783100 → 100000004070318100 → 100000008603629100 → 100000001609499100,11000.0,1
247,4,100000001609499100 → 100000006866783100 → 100000004351795100 → 100000008603629100 → 100000001609499100,11000.0,1
248,4,100000001609499100 → 100000006866783100 → 100000004390333100 → 100000008603629100 → 100000001609499100,11000.0,1
249,4,100000001609499100 → 100000006866783100 → 100000004847758100 → 100000008603629100 → 100000001609499100,11000.0,1
250,4,100000001609499100 → 100000006866783100 → 100000007639767100 → 100000008603629100 → 100000001609499100,11000.0,1
251,4,100000001609499100 → 100000006866783100 → 100000008304139100 → 100000008603629100 → 100000001609499100,11000.0,1
252,4,100000001609499100 → 100000006866783100 → 100000008686313100 → 100000008603629100 → 100000001609499100,11000.0,1
253,4,100000003016635100 → 100000005287097100 → 100000004150593100 → 100000008595687100 → 100000003016635100,10400.0,1
254,2,100000003809101100 → 100000008254069100 → 100000003809101100,10200.0,0
255,2,100000000089154100 → 100000006866783100 → 100000000089154100,10000.0,1
256,2,100000001439416100 → 100000002741024100 → 100000001439416100,10000.0,0
257,2,100000002692750100 → 100000003636627100 → 100000002692750100,10000.0,0
258,2,100000002731501100 → 100000004007116100 → 100000002731501100,10000.0,1
259,2,100000002870463100 → 100000005142492100 → 100000002870463100,10000.0,0
260,2,100000003509750100 → 100000004697956100 → 100000003509750100,10000.0,0
261,2,100000003917461100 → 100000004386258100 → 100000003917461100,10000.0,0
262,2,100000004005964100 → 100000004007116100 → 100000004005964100,10000.0,1
263,2,100000005074393100 → 100000005882013100 → 100000005074393100,10000.0,0
264,2,100000006866783100 → 100000007639767100 → 100000006866783100,10000.0,1
265,2,100000008443341100 → 100000008474308100 → 100000008443341100,10000.0,0
266,3,100000002731501100 → 100000004007116100 → 100000004005964100 → 100000002731501100,10000.0,1
267,3,100000002731501100 → 100000004160650100 → 100000004005964100 → 100000002731501100,10000.0,0
268,3,100000002731501100 → 100000004160650100 → 100000004007116100 → 100000002731501100,10000.0,1
269,3,100000003360542100 → 100000003390036100 → 100000005873152100 → 100000003360542100,10000.0,0
270,3,100000003934614100 → 100000004336312100 → 100000004017410100 → 100000003934614100,10000.0,0
271,4,100000000089154100 → 100000000437046100 → 100000004070318100 → 100000006866783100 → 100000000089154100,10000.0,1
272,4,100000000089154100 → 100000000437046100 → 100000007639767100 → 100000006866783100 → 100000000089154100,10000.0,1
273,4,100000000089154100 → 100000000437046100 → 100000008686313100 → 100000006866783100 → 100000000089154100,10000.0,1
274,4,100000000089154100 → 100000008111003100 → 100000003796063100 → 100000006866783100 → 100000000089154100,10000.0,1
275,4,100000000437046100 → 100000007639767100 → 100000004400305100 → 100000004390333100 → 100000000437046100,10000.0,0
276,4,100000000437046100 → 100000007639767100 → 100000004400305100 → 100000008304139100 → 100000000437046100,10000.0,0
277,4,100000000437046100 → 100000007639767100 → 100000004400305100 → 100000008686313100 → 100000000437046100,10000.0,0
278,4,100000000437046100 → 100000007639767100 → 100000006866783100 → 100000004351795100 → 100000000437046100,10000.0,1
279,4,100000000437046100 → 100000007639767100 → 100000006866783100 → 100000004390333100 → 100000000437046100,10000.0,1
280,4,100000000437046100 → 100000007639767100 → 100000006866783100 → 100000008304139100 → 100000000437046100,10000.0,1
281,4,100000000437046100 → 100000007639767100 → 100000006866783100 → 100000008686313100 → 100000000437046100,10000.0,1
282,4,100000001609499100 → 100000006866783100 → 100000007639767100 → 100000004400305100 → 100000001609499100,10000.0,1
283,4,100000001660397100 → 100000008477350100 → 100000007639767100 → 100000006866783100 → 100000001660397100,10000.0,1
284,4,100000002306369100 → 100000008477350100 → 100000007639767100 → 100000006866783100 → 100000002306369100,10000.0,1
285,4,100000002306369100 → 100000008603629100 → 100000007639767100 → 100000006866783100 → 100000002306369100,10000.0,1
286,4,100000002723538100 → 100000008603629100 → 100000007639767100 → 100000004400305100 → 100000002723538100,10000.0,0
287,4,100000002731501100 → 100000004007116100 → 100000003616818100 → 100000004005964100 → 100000002731501100,10000.0,1
288,4,100000002731501100 → 100000004160650100 → 100000003616818100 → 100000004005964100 → 100000002731501100,10000.0,0
289,4,100000002731501100 → 100000004160650100 → 100000004005964100 → 100000004007116100 → 100000002731501100,10000.0,1
290,4,100000002731501100 → 100000004160650100 → 100000004007116100 → 100000004005964100 → 100000002731501100,10000.0,1
291,4,100000003115284100 → 100000003390036100 → 100000005873152100 → 100000003360542100 → 100000003115284100,10000.0,0
292,4,100000003213473100 → 100000006866783100 → 100000004070318100 → 100000004400305100 → 100000003213473100,10000.0,1
293,4,100000003213473100 → 100000006866783100 → 100000007639767100 → 100000004400305100 → 100000003213473100,10000.0,1
294,4,100000003616818100 → 100000004160650100 → 100000004007116100 → 100000004005964100 → 100000003616818100,10000.0,1
295,4,100000003796063100 → 100000008477350100 → 100000007593823100 → 100000008111003100 → 100000003796063100,10000.0,0
296,4,100000003934614100 → 100000004336312100 → 100000005519998100 → 100000004017410100 → 100000003934614100,10000.0,0
297,4,100000004070318100 → 100000006866783100 → 100000007639767100 → 100000004400305100 → 100000004070318100,10000.0,1
298,4,100000004070318100 → 100000008477350100 → 100000007639767100 → 100000004400305100 → 100000004070318100,10000.0,0
299,4,100000004070318100 → 100000008477350100 → 100000007639767100 → 100000006866783100 → 100000004070318100,10000.0,1
300,4,100000004070318100 → 100000008603629100 → 100000007639767100 → 100000004400305100 → 100000004070318100,10000.0,0
301,4,100000004070318100 → 100000008603629100 → 100000007639767100 → 100000006866783100 → 100000004070318100,10000.0,1
302,4,100000004351795100 → 100000008603629100 → 100000007639767100 → 100000006866783100 → 100000004351795100,10000.0,1
303,4,100000004390333100 → 100000006866783100 → 100000007639767100 → 100000004400305100 → 100000004390333100,10000.0,1
304,4,100000004390333100 → 100000008477350100 → 100000007639767100 → 100000004400305100 → 100000004390333100,10000.0,0
305,4,100000004390333100 → 100000008477350100 → 100000007639767100 → 100000006866783100 → 100000004390333100,10000.0,1
306,4,100000004390333100 → 100000008603629100 → 100000007639767100 → 100000004400305100 → 100000004390333100,10000.0,0
307,4,100000004390333100 → 100000008603629100 → 100000007639767100 → 100000006866783100 → 100000004390333100,10000.0,1
308,4,100000004400305100 → 100000004847758100 → 100000008603629100 → 100000007639767100 → 100000004400305100,10000.0,0
309,4,100000004400305100 → 100000005048668100 → 100000008603629100 → 100000007639767100 → 100000004400305100,10000.0,0
310,4,100000004400305100 → 100000005910114100 → 100000006866783100 → 100000007639767100 → 100000004400305100,10000.0,1
