gid,direction,rank,counterparty_gid,sum_kzt,n_tx,counterparty_role,counterparty_cluster,counterparty_seed
100000000287768100,in,1,100000000437046100,35168.0,1,coordinator,1,False
100000000288317100,in,1,100000008603629100,50000.0,1,coordinator,7,False
100000000288317100,in,2,100000008731444100,50000.0,1,distributor,1,False
100000000288317100,out,1,100000006416061100,30000.0,1,peripheral,1,False
100000000288317100,out,2,100000006866831100,16500.0,1,peripheral,1,False
100000000288317100,out,3,100000000018102100,7000.0,1,peripheral,1,False
100000000291906100,in,1,100000004670388100,380000.0,2,peripheral,51,False
100000000291906100,in,2,100000002214301100,8000.0,1,peripheral,1,False
100000000291906100,out,1,100000000291908100,295500.0,5,peripheral,51,False
100000000291906100,out,2,100000004670388100,160354.0,1,peripheral,51,False
100000000291908100,in,1,100000000291906100,295500.0,5,transit,51,False
100000000291908100,out,1,100000004691350100,13300.0,1,peripheral,51,False
100000000297649100,in,1,100000001899164100,40000.0,1,peripheral,13,False
100000000297649100,out,1,100000001899164100,70600.0,2,peripheral,13,False
100000000299820100,in,1,100000004975919100,10000.0,1,peripheral,7,False
100000000307908100,in,1,100000008193577100,5000.0,1,peripheral,44,False
100000000331309100,in,1,100000003880331100,320000.0,3,distributor,7,False
100000000331309100,in,2,100000008748914100,242000.0,1,distributor,4,False
100000000331309100,in,3,100000003796063100,233200.0,2,distributor,6,False
100000000331309100,out,1,100000001330685100,2071530.0,5,peripheral,6,False
100000000331309100,out,2,100000001875167100,1000000.0,2,terminal,6,False
100000000331309100,out,3,100000001222263100,745570.0,1,peripheral,6,False
100000000332284100,in,1,100000004475818100,23726.0,1,peripheral,6,False
100000000332284100,in,2,100000008304139100,18000.0,1,distributor,4,False
100000000332284100,in,3,100000004140487100,13800.0,2,distributor,4,False
100000000332284100,out,1,100000001611488100,273000.0,1,terminal,6,False
100000000332284100,out,2,100000002513028100,9500.0,1,peripheral,61,False
100000000332284100,out,3,100000008097580100,7000.0,1,terminal,7,False
100000000343175100,in,1,100000005287097100,58800.0,6,distributor,5,False
100000000343175100,in,2,100000008418835100,31500.0,1,peripheral,16,True
100000000343175100,in,3,100000005339662100,28100.0,1,peripheral,16,False
100000000343175100,out,1,100000003115284100,622000.0,3,consolidator,12,False
100000000343175100,out,2,100000003014659100,280000.0,1,terminal,12,False
100000000343175100,out,3,100000001463701100,248000.0,1,terminal,12,False
100000000369781100,in,1,100000001252290100,5000.0,1,peripheral,6,False
100000000375150100,in,1,100000000733451100,300000.0,1,peripheral,14,False
100000000404740100,in,1,100000002984403100,25000.0,1,peripheral,27,False
100000000408846100,in,1,100000008461532100,40500.0,1,distributor,28,False
100000000413678100,in,1,100000000331309100,156500.0,1,coordinator,6,False
100000000413678100,in,2,100000003880331100,150000.0,1,distributor,7,False
100000000413678100,out,1,100000003985389100,422698.0,16,peripheral,7,False
100000000413678100,out,2,100000002968096100,70000.0,1,peripheral,7,False
100000000413678100,out,3,100000007960337100,35500.0,1,peripheral,7,False
100000000424935100,in,1,100000003001661100,15000.0,1,peripheral,29,False
100000000425407100,in,1,100000002306369100,20000.0,1,peripheral,4,False
100000000437046100,in,1,100000004351795100,542000.0,9,coordinator,1,False
100000000437046100,in,2,100000008293431100,215000.0,2,peripheral,1,False
100000000437046100,in,3,100000004390333100,100000.0,2,distributor,1,False
100000000437046100,out,1,100000008686313100,1104983.0,6,peripheral,1,False
100000000437046100,out,2,100000007055802100,1015000.0,16,consolidator,1,False
100000000437046100,out,3,100000008730371100,500000.0,2,terminal,1,False
100000000440392100,in,1,100000003016635100,105705.0,4,distributor,5,True
100000000470237100,in,1,100000000838385100,32500.0,1,peripheral,29,False
100000000481716100,in,1,100000008104567100,8000.0,1,peripheral,8,False
100000000489417100,in,1,100000004070318100,28504.0,1,distributor,1,False
100000000489417100,in,2,100000007648946100,25000.0,1,peripheral,14,False
100000000489417100,in,3,100000007639767100,20000.0,1,distributor,1,False
100000000489417100,out,1,100000001236706100,80000.0,1,peripheral,14,False
100000000490383100,in,1,100000006579678100,51600.0,1,peripheral,5,False
100000000490383100,in,2,100000005287097100,6000.0,1,distributor,5,False
100000000490383100,in,3,100000002938501100,5000.0,1,peripheral,5,False
100000000490383100,out,1,100000000706545100,343500.0,1,peripheral,5,False
100000000490383100,out,2,100000004948177100,48000.0,1,terminal,5,False
100000000490383100,out,3,100000007544358100,22500.0,1,transit,5,False
100000000500040100,in,1,100000003213473100,20000.0,1,distributor,1,False
100000000507799100,in,1,100000003016635100,5132.0,1,distributor,5,True
100000000507799100,out,1,100000005911352100,8000.0,1,peripheral,39,False
100000000533217100,in,1,100000005584222100,53587.0,1,peripheral,1,False
100000000534581100,in,1,100000008603629100,46972.0,1,coordinator,7,False
100000000534581100,in,2,100000008346837100,8988.0,1,coordinator,14,False
100000000534581100,out,1,100000001220124100,40000.0,1,peripheral,7,False
100000000542087100,in,1,100000004906181100,8506.91,1,peripheral,37,False
100000000552584100,in,1,100000002224132100,2500000.0,3,peripheral,25,False
100000000552584100,out,1,100000004603109100,57500.0,1,peripheral,25,False
100000000555721100,in,1,100000006866783100,95000.0,2,distributor,1,True
100000000555721100,in,2,100000008477350100,18000.0,1,coordinator,1,False
100000000557536100,in,1,100000004906181100,153000.0,7,peripheral,37,False
100000000560751100,in,1,100000005053653100,25000.0,1,peripheral,14,False
100000000561160100,in,1,100000003528285100,240000.0,1,peripheral,4,False
100000000569479100,in,1,100000008731444100,320000.0,1,distributor,1,False
100000000572276100,in,1,100000002578405100,13075.0,1,distributor,2,False
100000000572276100,out,1,100000008745676100,34547.0,1,peripheral,2,False
100000000580561100,in,1,100000003888271100,18680.0,2,peripheral,45,False
100000000580561100,in,2,100000007939160100,9300.0,1,peripheral,45,False
100000000580561100,out,1,100000007939160100,795000.0,2,peripheral,45,False
100000000580561100,out,2,100000005183943100,680900.0,9,terminal,45,False
100000000580561100,out,3,100000003888271100,12177.0,2,peripheral,45,False
100000000581662100,in,1,100000002989353100,21160.0,1,peripheral,10,False
100000000581682100,in,1,100000003001661100,5000.0,1,peripheral,29,False
100000000583220100,in,1,100000008733194100,5000.0,1,distributor,14,False
100000000583220100,out,1,100000004586598100,761255.0,4,peripheral,68,False
100000000594783100,in,1,100000002224132100,2635000.0,10,peripheral,25,False
100000000594783100,out,1,100000004603109100,92500.0,1,peripheral,25,False
100000000594783100,out,2,100000002224132100,60000.0,1,peripheral,25,False
100000000596954100,in,1,100000003946524100,120000.0,1,transit,4,False
100000000596954100,out,1,100000004539443100,39800.0,1,terminal,4,False
100000000596954100,out,2,100000004921657100,8300.0,1,peripheral,4,False
100000000600707100,in,1,100000002612809100,89000.0,2,peripheral,38,False
100000000607731100,in,1,100000006232815100,20000.0,1,peripheral,30,True
100000000607731100,out,1,100000004192865100,66666.0,1,terminal,30,False
100000000607941100,in,1,100000005287097100,30000.0,2,distributor,5,False
100000000607941100,in,2,100000003406094100,20000.0,1,peripheral,5,False
100000000607941100,out,1,100000003406094100,70000.0,4,peripheral,5,False
100000000608031100,in,1,100000008193258100,30000.0,1,peripheral,17,False
100000000611474100,in,1,100000003104347100,32000.0,1,peripheral,24,False
100000000625169100,in,1,100000001697501100,10000.0,1,distributor,2,False
100000000627521100,in,1,100000002241986100,6500.0,1,peripheral,40,False
100000000629812100,in,1,100000002205022100,12000.0,1,peripheral,56,False
100000000629812100,in,2,100000001530983100,10000.0,1,distributor,5,False
100000000634341100,in,1,100000004726132100,24000.0,2,peripheral,1,False
100000000640800100,in,1,100000001857829100,80000.0,1,coordinator,7,False
100000000640800100,out,1,100000008695157100,425546.0,3,peripheral,7,False
100000000640800100,out,2,100000008512827100,43439.0,1,distributor,10,False
100000000640800100,out,3,100000008734279100,31650.0,1,peripheral,7,False
100000000646541100,in,1,100000008686313100,10300.0,2,peripheral,1,False
100000000646541100,in,2,100000003951827100,10000.0,1,peripheral,1,False
100000000646541100,in,3,100000006111439100,5000.0,1,transit,6,False
100000000655469100,in,1,100000001427082100,20000.0,2,peripheral,23,False
100000000656682100,in,1,100000004400305100,71000.0,1,distributor,1,False
100000000656682100,out,1,100000002599729100,65000.0,2,peripheral,1,False
100000000656682100,out,2,100000008524903100,15000.0,1,peripheral,1,False
100000000661131100,in,1,100000002578405100,15600.0,1,distributor,2,False
100000000661912100,in,1,100000003131016100,126000.0,4,peripheral,7,False
100000000661912100,in,2,100000008603629100,101224.0,2,coordinator,7,False
100000000661912100,in,3,100000008477350100,70633.0,1,coordinator,1,False
100000000661912100,out,1,100000003131016100,405700.0,7,peripheral,7,False
100000000661912100,out,2,100000003246024100,25000.0,1,peripheral,7,False
100000000667713100,in,1,100000003016635100,106745.0,9,distributor,5,True
100000000667713100,in,2,100000008636603100,12750.0,1,peripheral,5,False
100000000667713100,out,1,100000002481735100,22436.0,2,terminal,5,False
100000000667713100,out,2,100000004186824100,14350.0,1,peripheral,5,False
100000000667713100,out,3,100000008636603100,12750.0,1,peripheral,5,False
100000000673868100,in,1,100000008258083100,2030650.0,5,peripheral,31,False
100000000673868100,out,1,100000008258083100,149500.0,12,peripheral,31,False
100000000673868100,out,2,100000007442518100,115000.0,3,peripheral,31,False
100000000673868100,out,3,100000004673335100,80000.0,1,peripheral,31,False
100000000673915100,in,1,100000004906181100,20200.0,1,peripheral,37,False
100000000703894100,in,1,100000006232815100,120000.0,1,peripheral,30,True
100000000703894100,out,1,100000004463277100,35000.0,1,terminal,30,False
100000000703902100,in,1,100000002527114100,25499.0,1,distributor,2,True
100000000704700100,in,1,100000004064431100,10000.0,1,peripheral,26,False
100000000706545100,in,1,100000003016635100,721300.0,6,distributor,5,True
100000000706545100,in,2,100000000490383100,343500.0,1,distributor,5,False
100000000706545100,in,3,100000006901046100,5500.0,1,peripheral,5,False
100000000706545100,out,1,100000006901046100,75800.0,3,peripheral,5,False
100000000718427100,in,1,100000001697501100,6000.0,1,distributor,2,False
100000000723383100,in,1,100000004180097100,6800.0,1,peripheral,1,False
100000000723383100,out,1,100000003154105100,60000.0,1,peripheral,23,False
100000000723383100,out,2,100000002185328100,15000.0,1,peripheral,23,False
100000000724540100,in,1,100000005527892100,50000.0,1,coordinator,21,False
100000000724540100,out,1,100000005241556100,100000.0,1,terminal,21,False
100000000733373100,in,1,100000004188160100,10710.0,1,peripheral,5,False
100000000733451100,in,1,100000006424479100,70000.0,2,peripheral,14,False
100000000733451100,out,1,100000000375150100,300000.0,1,peripheral,14,False
100000000733940100,in,1,100000001317336100,752000.0,2,peripheral,32,False
100000000737152100,in,1,100000007138613100,35000.0,1,peripheral,1,False
100000000749118100,in,1,100000004400305100,10330.0,1,distributor,1,False
100000000749118100,out,1,100000000981693100,16500.0,1,peripheral,1,False
100000000764836100,in,1,100000008603629100,251716.0,1,coordinator,7,False
100000000764836100,out,1,100000001598625100,25000.0,1,peripheral,7,False
100000000764836100,out,2,100000002369454100,25000.0,1,peripheral,7,False
100000000765628100,in,1,100000008169544100,5000.0,1,peripheral,5,False
100000000769919100,in,1,100000002371751100,250000.0,1,peripheral,62,False
100000000782285100,in,1,100000002741024100,6151.0,1,peripheral,1,False
100000000783406100,in,1,100000002217161100,6066.0,1,peripheral,36,False
100000000785800100,in,1,100000001872484100,19000.0,1,peripheral,57,False
100000000785800100,out,1,100000008601794100,19000.0,1,peripheral,57,True
100000000790311100,in,1,100000004156082100,46300.0,1,coordinator,16,False
100000000791285100,in,1,100000008461532100,1120000.0,2,distributor,28,False
100000000791285100,out,1,100000008461532100,560000.0,1,distributor,28,False
100000000791285100,out,2,100000002404112100,60000.0,1,peripheral,28,False
100000000791285100,out,3,100000005621418100,30000.0,1,peripheral,28,False
100000000795033100,in,1,100000008665380100,18200.0,1,peripheral,1,False
100000000795129100,in,1,100000004156082100,332000.0,1,coordinator,16,False
100000000795374100,in,1,100000008603629100,50000.0,1,coordinator,7,False
100000000802149100,in,1,100000000437046100,104128.0,1,coordinator,1,False
100000000803368100,in,1,100000001073568100,139503.0,1,peripheral,15,False
100000000806727100,in,1,100000007908818100,45000.0,1,peripheral,4,False
100000000806727100,out,1,100000001346560100,5000.0,1,peripheral,4,False
100000000810551100,in,1,100000003684369100,100000.0,1,distributor,4,True
100000000810551100,out,1,100000002205022100,7100.0,1,peripheral,56,False
100000000817146100,in,1,100000008650785100,70020.0,1,peripheral,5,True
100000000821507100,in,1,100000007442518100,400000.0,1,peripheral,31,False
100000000831684100,in,1,100000004692798100,15000.0,2,peripheral,13,False
100000000831684100,out,1,100000004692798100,50000.0,3,peripheral,13,False
100000000838385100,in,1,100000008213966100,436900.0,8,peripheral,29,False
100000000838385100,out,1,100000008213966100,145000.0,5,peripheral,29,False
100000000838385100,out,2,100000000470237100,32500.0,1,peripheral,29,False
100000000850297100,in,1,100000006707582100,17520.0,1,distributor,12,False
100000000850297100,out,1,100000006707582100,17520.0,1,distributor,12,False
100000000860514100,in,1,100000001526235100,12000.0,1,distributor,27,False
100000000860514100,out,1,100000007811950100,50000.0,1,peripheral,27,False
100000000861294100,in,1,100000008748408100,150000.0,1,distributor,9,False
100000000870121100,in,1,100000008733194100,12000.0,1,distributor,14,False
100000000878006100,in,1,100000000331309100,47003.0,1,coordinator,6,False
100000000896111100,in,1,100000001965374100,287100.0,1,peripheral,25,False
100000000907277100,in,1,100000002527114100,17534.0,1,distributor,2,True
100000000910216100,in,1,100000004847758100,71000.0,3,distributor,4,False
100000000910216100,out,1,100000008489922100,52010.0,1,coordinator,3,False
100000000912487100,in,1,100000008165763100,10000.0,1,transit,4,False
100000000913911100,in,1,100000008748914100,426000.0,1,distributor,4,False
100000000913911100,in,2,100000002901457100,41000.0,1,peripheral,1,False
100000000913911100,out,1,100000004737764100,600000.0,1,terminal,4,False
100000000917179100,in,1,100000005958064100,94465.0,2,peripheral,15,False
100000000922570100,in,1,100000008680731100,47101.0,1,distributor,13,True
100000000922570100,out,1,100000003922499100,50000.0,1,terminal,13,False
100000000926078100,in,1,100000008739887100,250000.0,1,peripheral,7,False
100000000926766100,in,1,100000001526235100,18750.0,1,distributor,27,False
100000000926766100,out,1,100000001526235100,6000.0,1,distributor,27,False
100000000933075100,in,1,100000002193259100,40000.0,1,peripheral,13,False
100000000933075100,out,1,100000002193259100,40000.0,1,peripheral,13,False
100000000933075100,out,2,100000002653187100,15000.0,1,peripheral,13,False
100000000941942100,in,1,100000003684369100,130000.0,1,distributor,4,True
100000000942301100,in,1,100000008477350100,57580.0,2,coordinator,1,False
100000000943371100,in,1,100000005074393100,15500.0,1,peripheral,14,False
100000000945428100,in,1,100000006866783100,89629.0,1,distributor,1,True
100000000954884100,in,1,100000002217161100,34000.0,1,peripheral,36,False
100000000955444100,in,1,100000003888271100,6910.0,1,peripheral,45,False
100000000955529100,in,1,100000005578559100,27000.0,1,distributor,8,False
100000000955529100,out,1,100000008556318100,63500.0,1,terminal,4,False
100000000957746100,in,1,100000006225798100,5300.0,1,peripheral,17,False
100000000961900100,in,1,100000006866783100,27000.0,2,distributor,1,True
100000000961900100,in,2,100000002957787100,9000.0,1,coordinator,1,False
100000000967918100,in,1,100000001126374100,21200.0,3,consolidator,1,False
100000000968253100,in,1,100000002527114100,15000.0,1,distributor,2,True
100000000971908100,in,1,100000008748408100,89000.0,1,distributor,9,False
100000000976943100,in,1,100000008730846100,70000.0,1,consolidator,12,False
100000000976943100,out,1,100000004601193100,84000.0,3,peripheral,12,False
100000000978041100,in,1,100000002527114100,44445.0,1,distributor,2,True
100000000979567100,in,1,100000004739664100,10000.0,1,transit,2,False
100000000979923100,in,1,100000000343175100,97900.0,1,distributor,12,True
100000000981693100,in,1,100000000749118100,16500.0,1,peripheral,1,False
100000000993112100,in,1,100000008172352100,141000.0,1,peripheral,33,False
100000000998559100,in,1,100000003684369100,100000.0,1,distributor,4,True
100000001009583100,in,1,100000000331309100,393740.0,1,coordinator,6,False
100000001046057100,in,1,100000008603331100,83420.0,1,peripheral,3,False
100000001046626100,in,1,100000000331309100,150000.0,1,coordinator,6,False
100000001049200100,in,1,100000003854444100,70610.0,1,distributor,18,False
100000001049200100,in,2,100000003016635100,6014.0,1,distributor,5,True
100000001049200100,out,1,100000004156082100,21000.0,2,coordinator,16,False
100000001049200100,out,2,100000003016635100,5000.0,1,distributor,5,True
100000001049200100,out,3,100000005619339100,5000.0,1,transit,5,False
100000001052789100,in,1,100000003854444100,70975.0,1,distributor,18,False
100000001052945100,in,1,100000005933757100,56520.0,1,distributor,15,False
100000001052945100,out,1,100000001131403100,1570000.0,3,peripheral,58,False
100000001052945100,out,2,100000004616845100,20200.0,2,peripheral,58,False
100000001052945100,out,3,100000005146665100,5500.0,1,peripheral,58,False
100000001053894100,in,1,100000002241986100,2000000.0,7,peripheral,40,False
100000001056414100,in,1,100000005242320100,250000.0,1,distributor,10,False
100000001063678100,in,1,100000002267998100,35000.0,1,peripheral,24,False
100000001063678100,out,1,100000008027922100,70000.0,1,peripheral,24,False
100000001063678100,out,2,100000001275557100,20000.0,1,peripheral,24,False
100000001065234100,in,1,100000008625905100,360000.0,1,peripheral,59,False
100000001065481100,in,1,100000005037490100,16000.0,2,peripheral,14,False
100000001066017100,in,1,100000004400305100,97000.0,1,distributor,1,False
100000001066017100,in,2,100000008477350100,39123.0,2,coordinator,1,False
100000001066017100,out,1,100000003091142100,40000.0,1,peripheral,1,False
100000001066017100,out,2,100000004788983100,27000.0,1,peripheral,1,False
100000001066017100,out,3,100000002597074100,8000.0,1,peripheral,1,False
100000001072022100,in,1,100000003684369100,740000.0,2,distributor,4,True
100000001072022100,in,2,100000000331309100,624000.0,3,coordinator,6,False
100000001072022100,in,3,100000008748914100,320000.0,1,distributor,4,False
100000001073568100,in,1,100000005933757100,707465.0,4,distributor,15,False
100000001073568100,out,1,100000000803368100,139503.0,1,peripheral,15,False
100000001073568100,out,2,100000004500444100,80000.0,2,peripheral,15,False
100000001074553100,in,1,100000005498992100,15000.0,1,distributor,3,True
100000001074553100,in,2,100000008680731100,13971.0,1,distributor,13,True
100000001083990100,in,1,100000004662806100,49900.0,2,peripheral,13,False
100000001089055100,in,1,100000003178549100,13000.0,1,peripheral,17,False
100000001102676100,in,1,100000005612411100,50000.0,1,distributor,4,False
100000001102676100,out,1,100000003684369100,50000.0,1,distributor,4,True
100000001103905100,in,1,100000002527114100,18000.0,1,distributor,2,True
100000001110358100,in,1,100000008477350100,23000.0,1,coordinator,1,False
100000001110358100,in,2,100000003242289100,9000.0,1,coordinator,17,False
100000001111763100,in,1,100000002527114100,17144.0,1,distributor,2,True
100000001114385100,in,1,100000008304139100,29500.0,1,distributor,4,False
100000001126374100,in,1,100000004400305100,140000.0,3,distributor,1,False
100000001126374100,in,2,100000006866783100,20000.0,2,distributor,1,True
100000001126374100,in,3,100000008477350100,16000.0,1,coordinator,1,False
100000001126374100,out,1,100000000967918100,21200.0,3,terminal,1,False
100000001126374100,out,2,100000005730108100,8000.0,1,terminal,1,False
100000001130176100,in,1,100000003068941100,25000.0,2,peripheral,1,False
100000001130553100,in,1,100000006734214100,18000.0,2,peripheral,6,False
100000001131403100,in,1,100000001052945100,1570000.0,3,peripheral,58,False
100000001138283100,in,1,100000008603629100,81805.0,1,coordinator,7,False
100000001138283100,out,1,100000008603629100,40000.0,1,coordinator,7,False
100000001138283100,out,2,100000004177936100,10000.0,1,peripheral,7,False
100000001138376100,in,1,100000004156082100,15300.0,1,coordinator,16,False
100000001140785100,in,1,100000008547844100,115000.0,1,coordinator,3,False
100000001140785100,in,2,100000008465789100,100000.0,1,distributor,3,False
100000001141268100,in,1,100000008758168100,250000.0,1,peripheral,22,False
100000001141268100,in,2,100000008743913100,230000.0,1,distributor,22,False
100000001141268100,out,1,100000002540033100,10000.0,1,peripheral,22,False
100000001145749100,in,1,100000005539910100,10000.0,1,peripheral,4,False
100000001149815100,in,1,100000002578405100,12000.0,1,distributor,2,False
100000001155773100,in,1,100000002578405100,21500.0,1,distributor,2,False
100000001160401100,in,1,100000002957787100,47190.0,2,coordinator,1,False
100000001162560100,in,1,100000005498992100,331300.0,2,distributor,3,True
100000001162560100,out,1,100000008497298100,600000.0,1,terminal,3,False
100000001162560100,out,2,100000003034546100,486715.0,2,terminal,3,False
100000001162560100,out,3,100000002718366100,419200.0,1,consolidator,3,False
100000001164648100,in,1,100000008460102100,7260.0,1,distributor,19,False
100000001164648100,in,2,100000003016635100,6400.0,1,distributor,5,True
100000001166289100,in,1,100000002733905100,482839.0,1,peripheral,2,False
100000001166289100,in,2,100000001697501100,238200.0,9,distributor,2,False
100000001166289100,out,1,100000002733905100,25000.0,1,peripheral,2,False
100000001169666100,in,1,100000008545727100,220000.0,2,peripheral,8,False
100000001169666100,out,1,100000004655046100,24000.0,1,peripheral,8,False
100000001184915100,in,1,100000004156082100,201000.0,2,coordinator,16,False
100000001194266100,in,1,100000003684369100,50000.0,1,distributor,4,True
100000001202637100,in,1,100000001650895100,10000.0,1,peripheral,8,False
100000001202787100,in,1,100000002645993100,8850.0,1,peripheral,1,False
100000001202787100,in,2,100000008379273100,6000.0,1,transit,8,False
100000001220124100,in,1,100000000534581100,40000.0,1,peripheral,7,False
100000001222245100,in,1,100000001222263100,420000.0,5,peripheral,6,False
100000001222263100,in,1,100000000331309100,745570.0,1,coordinator,6,False
100000001222263100,out,1,100000001222245100,420000.0,5,peripheral,6,False
100000001223977100,in,1,100000005031696100,5000.0,1,peripheral,52,False
100000001223977100,out,1,100000008461217100,18000.0,1,peripheral,52,False
100000001227106100,in,1,100000000331309100,164765.0,1,coordinator,6,False
100000001229743100,in,1,100000002957787100,7000.0,1,coordinator,1,False
100000001229743100,out,1,100000003481025100,9000.0,1,peripheral,1,False
100000001232297100,in,1,100000005074393100,5000.0,1,peripheral,14,False
100000001232297100,out,1,100000005074393100,30000.0,1,peripheral,14,False
100000001232297100,out,2,100000005882013100,15000.0,1,peripheral,14,False
100000001236706100,in,1,100000000489417100,80000.0,1,transit,14,False
100000001236706100,in,2,100000000331309100,35800.0,1,coordinator,6,False
100000001236706100,in,3,100000008346837100,26900.0,1,coordinator,14,False
100000001236706100,out,1,100000003370425100,20000.0,1,peripheral,14,False
100000001236706100,out,2,100000007653094100,16000.0,1,peripheral,14,False
100000001241318100,in,1,100000002606567100,53000.0,1,peripheral,1,False
100000001246806100,in,1,100000008724461100,130000.0,1,peripheral,3,False
100000001248999100,in,1,100000003242289100,23425.0,1,coordinator,17,False
100000001249054100,in,1,100000005704413100,17375.0,1,distributor,8,False
100000001250022100,in,1,100000008748408100,50000.0,1,distributor,9,False
100000001251686100,in,1,100000008165763100,18000.0,1,transit,4,False
100000001252290100,in,1,100000000331309100,141005.0,1,coordinator,6,False
100000001252290100,out,1,100000000369781100,5000.0,1,peripheral,6,False
100000001253557100,in,1,100000008466579100,80000.0,1,distributor,3,False
100000001253557100,in,2,100000003589877100,50000.0,1,peripheral,3,False
100000001253557100,in,3,100000008680731100,30000.0,1,distributor,13,True
100000001256409100,in,1,100000002508637100,8000.0,1,peripheral,21,False
100000001262647100,in,1,100000008188026100,23650.0,1,peripheral,16,False
100000001270349100,in,1,100000006240939100,200000.0,1,peripheral,9,False
100000001270470100,in,1,100000005367284100,28300.0,2,peripheral,1,False
100000001273783100,in,1,100000006707582100,23200.0,1,distributor,12,False
100000001275557100,in,1,100000001063678100,20000.0,1,peripheral,24,False
100000001275752100,in,1,100000008710791100,151500.0,1,distributor,3,False
100000001276409100,in,1,100000005704413100,94760.0,1,distributor,8,False
100000001279272100,in,1,100000000437046100,250000.0,1,coordinator,1,False
100000001279272100,out,1,100000000331309100,130000.0,1,coordinator,6,False
100000001279272100,out,2,100000001297206100,6758.0,1,peripheral,1,False
100000001279875100,in,1,100000002748180100,49235.0,1,distributor,10,False
100000001280798100,in,1,100000005578559100,23785.0,1,distributor,8,False
100000001282143100,in,1,100000005242320100,600000.0,2,distributor,10,False
100000001282143100,in,2,100000008742053100,480000.0,1,distributor,10,False
100000001282143100,in,3,100000008710791100,440000.0,1,distributor,3,False
100000001285440100,in,1,100000008758168100,178000.0,1,peripheral,22,False
100000001285440100,in,2,100000008710791100,65000.0,1,distributor,3,False
100000001286703100,in,1,100000002241986100,20500.0,1,peripheral,40,False
100000001287955100,in,1,100000006707582100,17520.0,1,distributor,12,False
100000001287955100,out,1,100000005242320100,185700.0,1,distributor,10,False
100000001287955100,out,2,100000004015047100,89300.0,2,consolidator,9,False
100000001287955100,out,3,100000007333038100,17500.0,1,peripheral,10,False
100000001290243100,in,1,100000000667713100,10000.0,1,peripheral,5,False
100000001297206100,in,1,100000001279272100,6758.0,1,peripheral,1,False
100000001298099100,in,1,100000005578559100,19000.0,1,distributor,8,False
100000001299323100,in,1,100000008489922100,109000.0,1,coordinator,3,False
100000001299443100,in,1,100000008460102100,8000.0,1,distributor,19,False
100000001299828100,in,1,100000004071444100,100000.0,1,peripheral,1,False
100000001303311100,in,1,100000008758168100,600000.0,1,peripheral,22,False
100000001303311100,in,2,100000008759857100,298000.0,1,peripheral,22,False
100000001303311100,in,3,100000008710791100,250000.0,1,distributor,3,False
100000001307612100,in,1,100000002527114100,38483.0,1,distributor,2,True
100000001308856100,in,1,100000001697501100,27000.0,1,distributor,2,False
100000001311175100,in,1,100000002989353100,300000.0,1,peripheral,10,False
100000001317336100,in,1,100000002175422100,131196.0,1,peripheral,32,False
