rank,src,dst,sum_kzt,n_tx,src_role,dst_role,src_cluster,dst_cluster,src_seed,dst_seed,same_cluster
35,100000002032323100,100000002671326100,1050000.0,2,peripheral,peripheral,3,3,False,False,True
36,100000006579678100,100000008144528100,1024400.0,9,peripheral,consolidator,5,5,False,False,True
37,100000000437046100,100000007055802100,1015000.0,16,coordinator,consolidator,1,1,False,False,True
38,100000000331309100,100000001875167100,1000000.0,2,coordinator,terminal,6,6,False,False,True
39,100000001317336100,100000005042822100,1000000.0,1,peripheral,peripheral,32,32,False,False,True
40,100000001937767100,100000002605308100,1000000.0,3,peripheral,terminal,15,15,False,False,True
41,100000002241986100,100000002594214100,1000000.0,1,peripheral,peripheral,40,40,False,False,True
42,100000008547948100,100000002718366100,959000.0,3,coordinator,consolidator,3,3,False,False,True
43,100000004183610100,100000003718715100,915000.0,3,peripheral,peripheral,14,14,False,False,True
44,100000008710791100,100000002718366100,890000.0,2,distributor,consolidator,3,3,False,False,True
45,100000008601794100,100000001872484100,871400.0,13,peripheral,peripheral,57,57,True,False,True
46,100000003016635100,100000002173161100,869500.0,3,distributor,terminal,5,5,True,False,True
47,100000002267998100,100000003701161100,850000.0,8,peripheral,peripheral,24,24,False,False,True
48,100000003016635100,100000001567366100,824070.0,4,distributor,terminal,5,5,True,False,True
49,100000001965374100,100000004399686100,806000.0,2,peripheral,terminal,25,25,False,False,True
50,100000005242320100,100000002753146100,803540.0,3,distributor,terminal,10,10,False,False,True
51,100000005242320100,100000002722108100,800000.0,2,distributor,terminal,10,10,False,False,True
52,100000005242320100,100000002748761100,796800.0,3,distributor,terminal,10,10,False,False,True
53,100000000580561100,100000007939160100,795000.0,2,peripheral,peripheral,45,45,True,False,True
54,100000007629096100,100000002741024100,765205.0,5,consolidator,peripheral,1,1,False,False,True
55,100000000583220100,100000004586598100,761255.0,4,peripheral,peripheral,68,68,False,False,True
56,100000005634552100,100000002603769100,759000.0,1,peripheral,terminal,1,1,False,False,True
57,100000001317336100,100000000733940100,752000.0,2,peripheral,peripheral,32,32,False,False,True
58,100000001887715100,100000002622822100,750000.0,1,peripheral,peripheral,22,22,False,False,True
59,100000000331309100,100000001222263100,745570.0,1,coordinator,peripheral,6,6,False,False,True
60,100000007747786100,100000002894076100,741782.0,3,distributor,consolidator,11,11,True,False,True
61,100000003684369100,100000001072022100,740000.0,2,distributor,terminal,4,4,True,False,True
62,100000003854444100,100000001690558100,740000.0,1,distributor,terminal,18,18,False,False,True
63,100000003016635100,100000000706545100,721300.0,6,distributor,peripheral,5,5,True,False,True
64,100000005933757100,100000001073568100,707465.0,4,distributor,peripheral,15,15,False,False,True
65,100000004041163100,100000005523088100,700000.0,2,peripheral,peripheral,20,20,True,True,True
66,100000004135268100,100000004979498100,700000.0,2,transit,peripheral,53,53,False,False,True
67,100000007982728100,100000001411870100,700000.0,3,distributor,terminal,9,9,True,False,True
68,100000008759857100,100000001887715100,696000.0,2,peripheral,peripheral,22,22,False,False,True
69,100000004221668100,100000005171642100,690600.0,4,peripheral,transit,9,9,False,False,True
70,100000005171642100,100000004221668100,683600.0,4,transit,peripheral,9,9,False,False,True
71,100000000580561100,100000005183943100,680900.0,9,peripheral,terminal,45,45,True,False,True
72,100000003684369100,100000001527186100,678000.0,2,distributor,terminal,4,4,True,False,True
73,100000002175422100,100000003557488100,664992.0,3,peripheral,peripheral,32,32,False,False,True
74,100000008512827100,100000002559089100,650000.0,1,distributor,terminal,10,10,False,False,True
75,100000002748532100,100000001714173100,638905.0,6,peripheral,terminal,22,22,False,False,True
76,100000005242320100,100000001584286100,638700.0,2,distributor,terminal,10,10,False,False,True
77,100000000331309100,100000002628576100,634585.0,2,coordinator,peripheral,6,6,False,False,True
78,100000000331309100,100000001072022100,624000.0,3,coordinator,terminal,6,4,False,False,False
79,100000000343175100,100000003115284100,622000.0,3,distributor,consolidator,12,12,True,False,True
80,100000007055802100,100000004299488100,605000.0,7,consolidator,consolidator,1,1,False,False,True
81,100000000331309100,100000003115284100,600000.0,2,coordinator,consolidator,6,12,False,False,False
82,100000000331309100,100000006889963100,600000.0,2,coordinator,consolidator,6,6,False,False,True
83,100000000913911100,100000004737764100,600000.0,1,peripheral,terminal,4,4,False,False,True
84,100000001162560100,100000008497298100,600000.0,1,distributor,terminal,3,3,False,False,True
85,100000003854444100,100000002799941100,600000.0,1,distributor,terminal,18,18,False,False,True
86,100000005242320100,100000001282143100,600000.0,2,distributor,consolidator,10,10,False,False,True
87,100000008758168100,100000001303311100,600000.0,1,peripheral,consolidator,22,22,False,False,True
88,100000006977207100,100000002936322100,599966.0,1,distributor,terminal,21,21,False,False,True
89,100000003880331100,100000008603629100,598000.0,6,distributor,coordinator,7,7,False,False,True
90,100000001782980100,100000003164661100,596200.0,3,peripheral,terminal,30,30,False,False,True
91,100000008587459100,100000004962193100,591000.0,3,peripheral,consolidator,1,1,False,False,True
92,100000008430691100,100000007330432100,584900.0,1,peripheral,peripheral,71,71,False,False,True
93,100000007392365100,100000007865484100,584600.0,2,peripheral,peripheral,42,42,False,False,True
94,100000006977207100,100000002459832100,580606.0,1,distributor,terminal,21,21,False,False,True
95,100000008710843100,100000008775471100,580000.0,2,distributor,terminal,22,22,False,False,True
96,100000006518161100,100000005660203100,572899.0,12,transit,peripheral,5,5,False,False,True
97,100000000791285100,100000008461532100,560000.0,1,peripheral,distributor,28,28,False,False,True
98,100000004160650100,100000002731501100,550370.0,5,distributor,peripheral,26,26,False,False,True
99,100000008512552100,100000003964910100,549000.0,1,peripheral,terminal,17,17,False,False,True
100,100000002217161100,100000001445848100,546000.0,13,peripheral,peripheral,36,36,False,False,True
101,100000004351795100,100000000437046100,542000.0,9,coordinator,coordinator,1,1,False,False,True
102,100000004160650100,100000004007116100,535744.0,19,distributor,peripheral,26,26,False,True,True
103,100000002175422100,100000002975437100,530000.0,2,peripheral,peripheral,32,32,False,False,True
104,100000008490127100,100000005616568100,530000.0,1,peripheral,peripheral,6,6,False,False,True
105,100000003242289100,100000008221543100,522000.0,1,coordinator,terminal,17,17,False,False,True
106,100000003016635100,100000006518161100,521200.0,8,distributor,transit,5,5,True,False,True
107,100000006977207100,100000002531406100,520000.0,1,distributor,transit,21,21,False,False,True
108,100000004156082100,100000003221384100,511200.0,1,coordinator,terminal,16,16,False,False,True
109,100000008324800100,100000007390016100,511000.0,13,transit,peripheral,72,72,False,False,True
110,100000003321895100,100000003692843100,510000.0,2,peripheral,peripheral,63,63,False,False,True
111,100000005664922100,100000002224132100,510000.0,1,peripheral,peripheral,25,25,False,False,True
112,100000000331309100,100000001611488100,506300.0,2,coordinator,terminal,6,6,False,False,True
113,100000000331309100,100000003171587100,500000.0,1,coordinator,peripheral,6,6,False,False,True
114,100000000437046100,100000008730371100,500000.0,2,coordinator,terminal,1,1,False,False,True
115,100000001937767100,100000001904863100,500000.0,1,peripheral,terminal,15,15,False,False,True
116,100000002152857100,100000002459093100,500000.0,2,peripheral,peripheral,9,9,False,False,True
117,100000002205022100,100000003163886100,500000.0,1,peripheral,terminal,56,56,False,False,True
118,100000002531406100,100000001669260100,500000.0,1,transit,peripheral,21,21,False,False,True
119,100000002963189100,100000001957974100,500000.0,1,peripheral,peripheral,15,15,False,False,True
120,100000005074393100,100000006424479100,500000.0,2,peripheral,peripheral,14,14,False,False,True
121,100000005242320100,100000002109656100,500000.0,1,distributor,terminal,10,10,False,False,True
122,100000005242320100,100000002644285100,500000.0,1,distributor,terminal,10,10,False,False,True
123,100000005242320100,100000002989353100,500000.0,2,distributor,peripheral,10,10,False,False,True
124,100000007639767100,100000007629096100,500000.0,1,distributor,consolidator,1,1,False,False,True
125,100000008743913100,100000007229557100,500000.0,1,distributor,terminal,22,22,False,False,True
126,100000000331309100,100000008038077100,499850.0,2,coordinator,terminal,6,6,False,False,True
127,100000005242320100,100000008388049100,496400.0,1,distributor,terminal,10,10,False,False,True
128,100000000331309100,100000003116106100,494050.0,2,coordinator,terminal,6,6,False,False,True
129,100000004398811100,100000002255058100,491500.0,2,peripheral,terminal,4,4,False,False,True
130,100000005933757100,100000002963189100,490000.0,3,distributor,peripheral,15,15,False,False,True
131,100000001162560100,100000003034546100,486715.0,2,distributor,terminal,3,3,False,False,True
132,100000003684369100,100000002565277100,483319.0,1,distributor,terminal,4,4,True,False,True
133,100000002733905100,100000001166289100,482839.0,1,peripheral,peripheral,2,2,False,False,True
134,100000005242320100,100000002670960100,480310.0,1,distributor,terminal,10,10,False,False,True
135,100000008742053100,100000001282143100,480000.0,1,distributor,consolidator,10,10,False,False,True
136,100000008547948100,100000002815005100,476500.0,1,coordinator,terminal,3,3,False,False,True
137,100000001872484100,100000008601794100,475400.0,7,peripheral,peripheral,57,57,False,True,True
138,100000005242320100,100000008200810100,475000.0,1,distributor,terminal,10,10,False,False,True
139,100000000331309100,100000007138613100,470000.0,1,coordinator,peripheral,6,1,False,False,False
140,100000008512552100,100000003242289100,468791.0,6,peripheral,coordinator,17,17,False,False,True
141,100000001732159100,100000003404627100,465000.0,2,peripheral,consolidator,41,41,True,False,True
142,100000006977207100,100000003031761100,460408.0,1,distributor,terminal,21,21,False,False,True
143,100000001530983100,100000007777377100,456290.0,7,distributor,peripheral,5,5,False,False,True
144,100000001857829100,100000004689658100,456100.0,1,coordinator,peripheral,7,7,False,False,True
145,100000006169033100,100000006232642100,456000.0,4,peripheral,peripheral,43,43,False,False,True
146,100000000331309100,100000008532050100,455156.0,1,coordinator,terminal,6,6,False,False,True
147,100000008723830100,100000005614315100,455000.0,1,transit,terminal,5,5,False,False,True
148,100000003016635100,100000008723830100,454000.0,1,distributor,transit,5,5,True,False,True
149,100000008304139100,100000003684369100,454000.0,10,distributor,distributor,4,4,False,True,True
150,100000000331309100,100000003035737100,453600.0,2,coordinator,peripheral,6,6,False,False,True
151,100000003016635100,100000004394765100,451888.0,8,distributor,peripheral,5,5,True,False,True
152,100000003242289100,100000003964910100,451000.0,1,coordinator,terminal,17,17,False,False,True
153,100000008461532100,100000006704530100,450500.0,1,distributor,transit,28,28,False,False,True
154,100000000331309100,100000007055802100,450000.0,3,coordinator,consolidator,6,1,False,False,False
155,100000001530983100,100000007617808100,450000.0,1,distributor,terminal,5,5,False,False,True
156,100000004400305100,100000007138613100,450000.0,1,distributor,peripheral,1,1,False,False,True
157,100000008413748100,100000002713074100,450000.0,1,distributor,peripheral,17,17,False,False,True
158,100000002628576100,100000007841978100,449000.0,1,peripheral,peripheral,6,6,False,False,True
159,100000004717647100,100000002922000100,448000.0,1,peripheral,peripheral,46,46,False,False,True
160,100000008258458100,100000008619159100,446400.0,2,peripheral,peripheral,65,65,False,False,True
161,100000008710791100,100000001875239100,445000.0,1,distributor,terminal,3,3,False,False,True
162,100000008461532100,100000003122817100,444680.0,1,distributor,terminal,28,28,False,False,True
163,100000006889963100,100000006755850100,443475.8,3,consolidator,terminal,6,6,False,False,True
164,100000008758168100,100000008555233100,440600.0,1,peripheral,terminal,22,22,False,False,True
165,100000008710791100,100000001282143100,440000.0,1,distributor,consolidator,3,10,False,False,False
166,100000008742053100,100000002956769100,440000.0,1,distributor,terminal,10,10,False,False,True
167,100000003016635100,100000004186824100,437350.0,6,distributor,peripheral,5,5,True,False,True
168,100000008213966100,100000000838385100,436900.0,8,peripheral,peripheral,29,29,False,False,True
169,100000000331309100,100000008490127100,431755.0,2,coordinator,peripheral,6,6,False,False,True
170,100000002713074100,100000002686226100,430000.0,2,peripheral,peripheral,17,17,False,False,True
171,100000000331309100,100000003105929100,429567.0,2,coordinator,peripheral,6,6,False,False,True
172,100000008628231100,100000004666651100,429250.0,1,peripheral,terminal,67,67,False,False,True
173,100000008748914100,100000000913911100,426000.0,1,distributor,peripheral,4,4,False,False,True
174,100000008748914100,100000004398811100,426000.0,1,distributor,peripheral,4,4,False,False,True
175,100000000640800100,100000008695157100,425546.0,3,peripheral,peripheral,7,7,False,False,True
176,100000000413678100,100000003985389100,422698.0,16,peripheral,peripheral,7,7,False,False,True
177,100000001222263100,100000001222245100,420000.0,5,peripheral,peripheral,6,6,False,False,True
178,100000002152857100,100000001985793100,420000.0,1,peripheral,terminal,9,9,False,False,True
179,100000008742053100,100000002443664100,420000.0,1,distributor,terminal,10,10,False,False,True
180,100000001162560100,100000002718366100,419200.0,1,distributor,consolidator,3,3,False,False,True
181,100000008137435100,100000003104347100,418000.0,1,peripheral,peripheral,24,24,False,False,True
182,100000008547948100,100000003031633100,414000.0,2,coordinator,terminal,3,3,False,False,True
183,100000008748914100,100000006977207100,414000.0,1,distributor,distributor,4,21,False,False,False
184,100000004398811100,100000002956779100,411000.0,1,peripheral,terminal,4,4,False,False,True
185,100000008603629100,100000001857829100,408000.0,2,coordinator,coordinator,7,7,False,False,True
186,100000007392365100,100000008551752100,406000.0,2,peripheral,peripheral,42,42,False,False,True
187,100000000661912100,100000003131016100,405700.0,7,consolidator,peripheral,7,7,False,False,True
188,100000003880331100,100000003684369100,402000.0,4,distributor,distributor,7,4,False,True,False
189,100000000437046100,100000003795588100,400000.0,2,coordinator,terminal,1,1,False,False,True
190,100000003242289100,100000006225798100,400000.0,1,coordinator,peripheral,17,17,False,False,True
191,100000003684369100,100000002188829100,400000.0,1,distributor,terminal,4,4,True,False,True
192,100000003880331100,100000006689603100,400000.0,2,distributor,peripheral,7,7,False,False,True
193,100000007442518100,100000000821507100,400000.0,1,peripheral,terminal,31,31,False,False,True
194,100000000331309100,100000001009583100,393740.0,1,coordinator,terminal,6,6,False,False,True
195,100000008743913100,100000001680944100,393000.0,1,distributor,terminal,22,22,False,False,True
196,100000005287097100,100000003016635100,392500.0,25,distributor,distributor,5,5,False,True,True
197,100000008760098100,100000001887715100,390000.0,1,peripheral,peripheral,22,22,False,False,True
198,100000003171587100,100000003025903100,386300.0,6,peripheral,peripheral,6,6,False,False,True
199,100000002217161100,100000007647294100,385000.0,1,peripheral,terminal,36,36,False,False,True
200,100000008710791100,100000002849158100,385000.0,1,distributor,peripheral,3,3,False,False,True
