rank,gid,depth,in_deg,in_kzt,p_hidden_outgoing,cluster_id,priority_score,attention,next_request
1,100000003037476100,4,3,555000.0,0.732,3,0.309225,плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000003037476100 за следующий шаг; оценка скрытого выхода 73%.
2,100000004652395100,4,3,101528.0,0.732,1,0.2999,3 плательщиков в один день; плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000004652395100 за следующий шаг; оценка скрытого выхода 73%.
3,100000003230328100,4,3,26572.0,0.732,7,0.268933,плательщиков больше 99% узлов колена 4; продлить обход: скрытый выход ~73%,Запросить исходящие переводы от gid 100000003230328100 за следующий шаг; оценка скрытого выхода 73%.
4,100000006638021100,4,2,388500.0,0.57,49,0.296929,продлить обход: скрытый выход ~57%,Запросить исходящие переводы от gid 100000006638021100 за следующий шаг; оценка скрытого выхода 57%.
15,100000001131403100,4,1,1570000.0,0.287,58,0.226493,нет,Запросить исходящие переводы от gid 100000001131403100 за следующий шаг; оценка скрытого выхода 29%.
16,100000002126791100,4,1,1313000.0,0.287,3,0.262319,нет,Запросить исходящие переводы от gid 100000002126791100 за следующий шаг; оценка скрытого выхода 29%.
17,100000003220685100,4,1,1306000.0,0.287,6,0.279364,нет,Запросить исходящие переводы от gid 100000003220685100 за следующий шаг; оценка скрытого выхода 29%.
18,100000002884708100,4,1,1171644.0,0.287,3,0.225799,нет,Запросить исходящие переводы от gid 100000002884708100 за следующий шаг; оценка скрытого выхода 29%.
19,100000004035925100,4,1,1111588.0,0.287,65,0.225583,нет,Запросить исходящие переводы от gid 100000004035925100 за следующий шаг; оценка скрытого выхода 29%.
20,100000005767403100,4,1,1100000.0,0.287,35,0.225496,нет,Запросить исходящие переводы от gid 100000005767403100 за следующий шаг; оценка скрытого выхода 29%.
21,100000002671326100,4,1,1050000.0,0.287,3,0.225236,нет,Запросить исходящие переводы от gid 100000002671326100 за следующий шаг; оценка скрытого выхода 29%.
22,100000002594214100,4,1,1000000.0,0.287,40,0.278388,нет,Запросить исходящие переводы от gid 100000002594214100 за следующий шаг; оценка скрытого выхода 29%.
23,100000005042822100,4,1,1000000.0,0.287,32,0.225084,нет,Запросить исходящие переводы от gid 100000005042822100 за следующий шаг; оценка скрытого выхода 29%.
24,100000003718715100,4,1,915000.0,0.287,14,0.224889,нет,Запросить исходящие переводы от gid 100000003718715100 за следующий шаг; оценка скрытого выхода 29%.
25,100000004586598100,4,1,761255.0,0.287,68,0.223934,нет,Запросить исходящие переводы от gid 100000004586598100 за следующий шаг; оценка скрытого выхода 29%.
26,100000000733940100,4,1,752000.0,0.287,32,0.223891,нет,Запросить исходящие переводы от gid 100000000733940100 за следующий шаг; оценка скрытого выхода 29%.
27,100000002622822100,4,1,750000.0,0.287,22,0.223848,нет,Запросить исходящие переводы от gid 100000002622822100 за следующий шаг; оценка скрытого выхода 29%.
28,100000007330432100,4,1,584900.0,0.287,71,0.222286,нет,Запросить исходящие переводы от gid 100000007330432100 за следующий шаг; оценка скрытого выхода 29%.
29,100000007865484100,4,1,584600.0,0.287,42,0.258458,нет,Запросить исходящие переводы от gid 100000007865484100 за следующий шаг; оценка скрытого выхода 29%.
30,100000005616568100,4,1,530000.0,0.287,6,0.274701,нет,Запросить исходящие переводы от gid 100000005616568100 за следующий шаг; оценка скрытого выхода 29%.
31,100000003692843100,4,1,510000.0,0.287,63,0.221007,нет,Запросить исходящие переводы от gid 100000003692843100 за следующий шаг; оценка скрытого выхода 29%.
32,100000001669260100,4,1,500000.0,0.287,21,0.220638,нет,Запросить исходящие переводы от gid 100000001669260100 за следующий шаг; оценка скрытого выхода 29%.
33,100000001957974100,4,1,500000.0,0.287,15,0.220638,нет,Запросить исходящие переводы от gid 100000001957974100 за следующий шаг; оценка скрытого выхода 29%.
34,100000006232642100,4,1,456000.0,0.287,43,0.219337,нет,Запросить исходящие переводы от gid 100000006232642100 за следующий шаг; оценка скрытого выхода 29%.
35,100000007841978100,4,1,449000.0,0.287,6,0.272294,нет,Запросить исходящие переводы от gid 100000007841978100 за следующий шаг; оценка скрытого выхода 29%.
36,100000002922000100,4,1,448000.0,0.287,46,0.218947,нет,Запросить исходящие переводы от gid 100000002922000100 за следующий шаг; оценка скрытого выхода 29%.
37,100000008619159100,4,1,446400.0,0.287,65,0.218903,нет,Запросить исходящие переводы от gid 100000008619159100 за следующий шаг; оценка скрытого выхода 29%.
38,100000002686226100,4,1,430000.0,0.287,17,0.218513,нет,Запросить исходящие переводы от gid 100000002686226100 за следующий шаг; оценка скрытого выхода 29%.
39,100000008695157100,4,1,425546.0,0.287,7,0.218339,нет,Запросить исходящие переводы от gid 100000008695157100 за следующий шаг; оценка скрытого выхода 29%.
40,100000003985389100,4,1,422698.0,0.287,7,0.2716,нет,Запросить исходящие переводы от gid 100000003985389100 за следующий шаг; оценка скрытого выхода 29%.
41,100000001222245100,4,1,420000.0,0.287,6,0.271513,нет,Запросить исходящие переводы от gid 100000001222245100 за следующий шаг; оценка скрытого выхода 29%.
42,100000008551752100,4,1,406000.0,0.287,42,0.254165,нет,Запросить исходящие переводы от gid 100000008551752100 за следующий шаг; оценка скрытого выхода 29%.
43,100000006689603100,4,1,400000.0,0.287,7,0.217711,нет,Запросить исходящие переводы от gid 100000006689603100 за следующий шаг; оценка скрытого выхода 29%.
44,100000003025903100,4,1,386300.0,0.287,6,0.270429,нет,Запросить исходящие переводы от gid 100000003025903100 за следующий шаг; оценка скрытого выхода 29%.
45,100000001471706100,4,1,377000.0,0.287,20,0.216735,нет,Запросить исходящие переводы от gid 100000001471706100 за следующий шаг; оценка скрытого выхода 29%.
46,100000003989033100,4,1,373400.0,0.287,10,0.216648,нет,Запросить исходящие переводы от gid 100000003989033100 за следующий шаг; оценка скрытого выхода 29%.
47,100000001065234100,4,1,360000.0,0.287,59,0.216258,нет,Запросить исходящие переводы от gid 100000001065234100 за следующий шаг; оценка скрытого выхода 29%.
48,100000003470579100,4,1,357000.0,0.287,28,0.216171,нет,Запросить исходящие переводы от gid 100000003470579100 за следующий шаг; оценка скрытого выхода 29%.
49,100000004722630100,4,1,340000.0,0.287,51,0.215434,нет,Запросить исходящие переводы от gid 100000004722630100 за следующий шаг; оценка скрытого выхода 29%.
50,100000008675322100,4,1,340000.0,0.287,37,0.268738,нет,Запросить исходящие переводы от gid 100000008675322100 за следующий шаг; оценка скрытого выхода 29%.
51,100000003664994100,4,1,338271.0,0.287,43,0.215347,нет,Запросить исходящие переводы от gid 100000003664994100 за следующий шаг; оценка скрытого выхода 29%.
52,100000003447411100,4,1,302000.0,0.287,7,0.214349,нет,Запросить исходящие переводы от gid 100000003447411100 за следующий шаг; оценка скрытого выхода 29%.
53,100000000375150100,4,1,300000.0,0.287,14,0.213959,нет,Запросить исходящие переводы от gid 100000000375150100 за следующий шаг; оценка скрытого выхода 29%.
54,100000001311175100,4,1,300000.0,0.287,10,0.213959,нет,Запросить исходящие переводы от gid 100000001311175100 за следующий шаг; оценка скрытого выхода 29%.
55,100000003128638100,4,1,300000.0,0.287,3,0.213959,нет,Запросить исходящие переводы от gid 100000003128638100 за следующий шаг; оценка скрытого выхода 29%.
56,100000004006327100,4,1,300000.0,0.287,3,0.213959,нет,Запросить исходящие переводы от gid 100000004006327100 за следующий шаг; оценка скрытого выхода 29%.
57,100000008740295100,4,1,300000.0,0.287,3,0.250174,нет,Запросить исходящие переводы от gid 100000008740295100 за следующий шаг; оценка скрытого выхода 29%.
58,100000002596039100,4,1,280000.0,0.287,7,0.212831,нет,Запросить исходящие переводы от gid 100000002596039100 за следующий шаг; оценка скрытого выхода 29%.
59,100000008722541100,4,1,280000.0,0.287,6,0.266135,нет,Запросить исходящие переводы от gid 100000008722541100 за следующий шаг; оценка скрытого выхода 29%.
60,100000002860934100,4,1,279500.0,0.287,29,0.212701,нет,Запросить исходящие переводы от gid 100000002860934100 за следующий шаг; оценка скрытого выхода 29%.
61,100000002194320100,4,1,275000.0,0.287,59,0.212506,нет,Запросить исходящие переводы от gid 100000002194320100 за следующий шаг; оценка скрытого выхода 29%.
62,100000001378288100,4,1,268000.0,0.287,7,0.212181,нет,Запросить исходящие переводы от gid 100000001378288100 за следующий шаг; оценка скрытого выхода 29%.
63,100000003448713100,4,1,266750.0,0.287,7,0.212051,нет,Запросить исходящие переводы от gid 100000003448713100 за следующий шаг; оценка скрытого выхода 29%.
64,100000003631015100,4,1,266000.0,0.287,42,0.248179,нет,Запросить исходящие переводы от gid 100000003631015100 за следующий шаг; оценка скрытого выхода 29%.
65,100000008469048100,4,1,265200.0,0.287,1,0.265225,нет,Запросить исходящие переводы от gid 100000008469048100 за следующий шаг; оценка скрытого выхода 29%.
66,100000003199390100,4,1,260000.0,0.287,6,0.265008,нет,Запросить исходящие переводы от gid 100000003199390100 за следующий шаг; оценка скрытого выхода 29%.
67,100000000926078100,4,1,250000.0,0.287,7,0.24742,нет,Запросить исходящие переводы от gid 100000000926078100 за следующий шаг; оценка скрытого выхода 29%.
68,100000004976946100,4,1,246000.0,0.287,42,0.247117,нет,Запросить исходящие переводы от gid 100000004976946100 за следующий шаг; оценка скрытого выхода 29%.
69,100000004610802100,4,1,241000.0,0.287,61,0.210641,10 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000004610802100 за следующий шаг; оценка скрытого выхода 29%.
70,100000000561160100,4,1,240000.0,0.287,4,0.246748,нет,Запросить исходящие переводы от gid 100000000561160100 за следующий шаг; оценка скрытого выхода 29%.
71,100000008699083100,4,1,238500.0,0.287,10,0.210359,нет,Запросить исходящие переводы от gid 100000008699083100 за следующий шаг; оценка скрытого выхода 29%.
72,100000005711521100,4,1,238000.0,0.287,14,0.246531,нет,Запросить исходящие переводы от gid 100000005711521100 за следующий шаг; оценка скрытого выхода 29%.
73,100000008376785100,4,1,234250.0,0.287,6,0.263229,нет,Запросить исходящие переводы от gid 100000008376785100 за следующий шаг; оценка скрытого выхода 29%.
74,100000002529877100,4,1,232000.0,0.287,10,0.209752,нет,Запросить исходящие переводы от gid 100000002529877100 за следующий шаг; оценка скрытого выхода 29%.
75,100000005745873100,4,1,223000.0,0.287,42,0.245404,нет,Запросить исходящие переводы от gid 100000005745873100 за следующий шаг; оценка скрытого выхода 29%.
76,100000008333492100,4,1,216400.0,0.287,49,0.208668,нет,Запросить исходящие переводы от gid 100000008333492100 за следующий шаг; оценка скрытого выхода 29%.
77,100000002214383100,4,1,213000.0,0.287,2,0.208407,нет,Запросить исходящие переводы от gid 100000002214383100 за следующий шаг; оценка скрытого выхода 29%.
78,100000003782913100,4,1,200000.0,0.287,15,0.207388,нет,Запросить исходящие переводы от gid 100000003782913100 за следующий шаг; оценка скрытого выхода 29%.
79,100000004798515100,4,1,200000.0,0.287,13,0.207388,нет,Запросить исходящие переводы от gid 100000004798515100 за следующий шаг; оценка скрытого выхода 29%.
80,100000008190411100,4,1,198450.0,0.287,3,0.206803,7 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000008190411100 за следующий шаг; оценка скрытого выхода 29%.
81,100000005888829100,4,1,197000.0,0.287,3,0.242845,нет,Запросить исходящие переводы от gid 100000005888829100 за следующий шаг; оценка скрытого выхода 29%.
82,100000007071852100,4,1,195000.0,0.287,7,0.242758,нет,Запросить исходящие переводы от gid 100000007071852100 за следующий шаг; оценка скрытого выхода 29%.
83,100000008168850100,4,1,187910.0,0.287,6,0.259066,нет,Запросить исходящие переводы от gid 100000008168850100 за следующий шаг; оценка скрытого выхода 29%.
84,100000001724740100,4,1,185000.0,0.287,3,0.205523,нет,Запросить исходящие переводы от gid 100000001724740100 за следующий шаг; оценка скрытого выхода 29%.
85,100000006308406100,4,1,183000.0,0.287,23,0.205371,нет,Запросить исходящие переводы от gid 100000006308406100 за следующий шаг; оценка скрытого выхода 29%.
86,100000004235471100,4,1,180000.0,0.287,6,0.258177,нет,Запросить исходящие переводы от gid 100000004235471100 за следующий шаг; оценка скрытого выхода 29%.
87,100000004403641100,4,1,171500.0,0.287,10,0.20433,нет,Запросить исходящие переводы от gid 100000004403641100 за следующий шаг; оценка скрытого выхода 29%.
88,100000008136608100,4,1,170000.0,0.287,8,0.204179,нет,Запросить исходящие переводы от gid 100000008136608100 за следующий шаг; оценка скрытого выхода 29%.
89,100000008336318100,4,1,170000.0,0.287,3,0.204179,нет,Запросить исходящие переводы от gid 100000008336318100 за следующий шаг; оценка скрытого выхода 29%.
90,100000008172721100,4,1,168335.0,0.287,7,0.203983,нет,Запросить исходящие переводы от gid 100000008172721100 за следующий шаг; оценка скрытого выхода 29%.
91,100000002659103100,4,1,165000.0,0.287,46,0.203485,нет,Запросить исходящие переводы от gid 100000002659103100 за следующий шаг; оценка скрытого выхода 29%.
92,100000005272139100,4,1,165000.0,0.287,5,0.203485,нет,Запросить исходящие переводы от gid 100000005272139100 за следующий шаг; оценка скрытого выхода 29%.
93,100000008221765100,4,1,156354.0,0.287,6,0.25603,нет,Запросить исходящие переводы от gid 100000008221765100 за следующий шаг; оценка скрытого выхода 29%.
94,100000007511780100,4,1,155000.0,0.287,1,0.202574,нет,Запросить исходящие переводы от gid 100000007511780100 за следующий шаг; оценка скрытого выхода 29%.
95,100000000557536100,4,1,153000.0,0.287,37,0.255618,4 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000000557536100 за следующий шаг; оценка скрытого выхода 29%.
96,100000001537524100,4,1,150000.0,0.287,10,0.201728,нет,Запросить исходящие переводы от gid 100000001537524100 за следующий шаг; оценка скрытого выхода 29%.
97,100000003180305100,4,1,144000.0,0.287,1,0.254382,нет,Запросить исходящие переводы от gid 100000003180305100 за следующий шаг; оценка скрытого выхода 29%.
98,100000005360814100,4,1,144000.0,0.287,7,0.201077,нет,Запросить исходящие переводы от gid 100000005360814100 за следующий шаг; оценка скрытого выхода 29%.
99,100000003819173100,4,1,143777.0,0.287,7,0.200991,нет,Запросить исходящие переводы от gid 100000003819173100 за следующий шаг; оценка скрытого выхода 29%.
100,100000002659265100,4,1,141000.0,0.287,3,0.200665,нет,Запросить исходящие переводы от gid 100000002659265100 за следующий шаг; оценка скрытого выхода 29%.
101,100000008183752100,4,1,140000.0,0.287,22,0.200362,нет,Запросить исходящие переводы от gid 100000008183752100 за следующий шаг; оценка скрытого выхода 29%.
102,100000000803368100,4,1,139503.0,0.287,15,0.200167,нет,Запросить исходящие переводы от gid 100000000803368100 за следующий шаг; оценка скрытого выхода 29%.
103,100000004800648100,4,1,131000.0,0.287,13,0.199191,нет,Запросить исходящие переводы от gid 100000004800648100 за следующий шаг; оценка скрытого выхода 29%.
104,100000001246806100,4,1,130000.0,0.287,3,0.199039,нет,Запросить исходящие переводы от gid 100000001246806100 за следующий шаг; оценка скрытого выхода 29%.
105,100000004200745100,4,1,130000.0,0.287,13,0.235255,нет,Запросить исходящие переводы от gid 100000004200745100 за следующий шаг; оценка скрытого выхода 29%.
106,100000006756956100,4,1,121200.0,0.287,1,0.251519,6 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000006756956100 за следующий шаг; оценка скрытого выхода 29%.
107,100000003696422100,4,1,118000.0,0.287,32,0.197608,нет,Запросить исходящие переводы от gid 100000003696422100 за следующий шаг; оценка скрытого выхода 29%.
108,100000008730238100,4,1,113000.0,0.287,3,0.197217,нет,Запросить исходящие переводы от gid 100000008730238100 за следующий шаг; оценка скрытого выхода 29%.
109,100000001822650100,4,1,112000.0,0.287,3,0.233151,нет,Запросить исходящие переводы от gid 100000001822650100 за следующий шаг; оценка скрытого выхода 29%.
110,100000002794374100,4,1,111000.0,0.287,49,0.196849,нет,Запросить исходящие переводы от gid 100000002794374100 за следующий шаг; оценка скрытого выхода 29%.
111,100000002242455100,4,1,110000.0,0.287,6,0.249936,нет,Запросить исходящие переводы от gid 100000002242455100 за следующий шаг; оценка скрытого выхода 29%.
112,100000002734815100,4,1,110000.0,0.287,3,0.196632,нет,Запросить исходящие переводы от gid 100000002734815100 за следующий шаг; оценка скрытого выхода 29%.
113,100000003186579100,4,1,110000.0,0.287,7,0.196632,нет,Запросить исходящие переводы от gid 100000003186579100 за следующий шаг; оценка скрытого выхода 29%.
114,100000003230329100,4,1,110000.0,0.287,3,0.232847,нет,Запросить исходящие переводы от gid 100000003230329100 за следующий шаг; оценка скрытого выхода 29%.
115,100000001299323100,4,1,109000.0,0.287,3,0.232587,нет,Запросить исходящие переводы от gid 100000001299323100 за следующий шаг; оценка скрытого выхода 29%.
116,100000003252446100,4,1,108600.0,0.287,3,0.196307,нет,Запросить исходящие переводы от gid 100000003252446100 за следующий шаг; оценка скрытого выхода 29%.
117,100000008337304100,4,1,105465.0,0.287,7,0.195873,нет,Запросить исходящие переводы от gid 100000008337304100 за следующий шаг; оценка скрытого выхода 29%.
118,100000003074515100,4,1,105000.0,0.287,3,0.232002,нет,Запросить исходящие переводы от gid 100000003074515100 за следующий шаг; оценка скрытого выхода 29%.
119,100000004891562100,4,1,103400.0,0.287,19,0.195526,нет,Запросить исходящие переводы от gid 100000004891562100 за следующий шаг; оценка скрытого выхода 29%.
120,100000003180820100,4,1,101000.0,0.287,3,0.231481,нет,Запросить исходящие переводы от gid 100000003180820100 за следующий шаг; оценка скрытого выхода 29%.
121,100000001299828100,4,1,100000.0,0.287,1,0.194398,нет,Запросить исходящие переводы от gid 100000001299828100 за следующий шаг; оценка скрытого выхода 29%.
122,100000001533161100,4,1,100000.0,0.287,46,0.194398,нет,Запросить исходящие переводы от gid 100000001533161100 за следующий шаг; оценка скрытого выхода 29%.
123,100000003134550100,4,1,100000.0,0.287,3,0.194398,нет,Запросить исходящие переводы от gid 100000003134550100 за следующий шаг; оценка скрытого выхода 29%.
124,100000004418967100,4,1,100000.0,0.287,3,0.194398,нет,Запросить исходящие переводы от gid 100000004418967100 за следующий шаг; оценка скрытого выхода 29%.
125,100000004840086100,4,1,100000.0,0.287,1,0.194398,нет,Запросить исходящие переводы от gid 100000004840086100 за следующий шаг; оценка скрытого выхода 29%.
126,100000007745062100,4,1,100000.0,0.287,13,0.230614,нет,Запросить исходящие переводы от gid 100000007745062100 за следующий шаг; оценка скрытого выхода 29%.
127,100000008343415100,4,1,100000.0,0.287,21,0.230614,нет,Запросить исходящие переводы от gid 100000008343415100 за следующий шаг; оценка скрытого выхода 29%.
128,100000008560263100,4,1,100000.0,0.287,6,0.247702,нет,Запросить исходящие переводы от gid 100000008560263100 за следующий шаг; оценка скрытого выхода 29%.
129,100000005049404100,4,1,98000.0,0.287,6,0.246835,нет,Запросить исходящие переводы от gid 100000005049404100 за следующий шаг; оценка скрытого выхода 29%.
130,100000002214207100,4,1,97000.0,0.287,38,0.193292,нет,Запросить исходящие переводы от gid 100000002214207100 за следующий шаг; оценка скрытого выхода 29%.
131,100000002695812100,4,1,95000.0,0.287,8,0.229226,нет,Запросить исходящие переводы от gid 100000002695812100 за следующий шаг; оценка скрытого выхода 29%.
132,100000008050986100,4,1,95000.0,0.287,6,0.246314,нет,Запросить исходящие переводы от gid 100000008050986100 за следующий шаг; оценка скрытого выхода 29%.
133,100000001276409100,4,1,94760.0,0.287,8,0.229096,нет,Запросить исходящие переводы от gid 100000001276409100 за следующий шаг; оценка скрытого выхода 29%.
134,100000005567828100,4,1,94000.0,0.287,8,0.22877,нет,Запросить исходящие переводы от gid 100000005567828100 за следующий шаг; оценка скрытого выхода 29%.
135,100000002208836100,4,1,90000.0,0.287,6,0.244861,нет,Запросить исходящие переводы от gid 100000002208836100 за следующий шаг; оценка скрытого выхода 29%.
136,100000002487222100,4,1,90000.0,0.287,6,0.244861,нет,Запросить исходящие переводы от gid 100000002487222100 за следующий шаг; оценка скрытого выхода 29%.
137,100000000600707100,4,1,89000.0,0.287,38,0.19121,нет,Запросить исходящие переводы от gid 100000000600707100 за следующий шаг; оценка скрытого выхода 29%.
138,100000003125997100,4,1,87750.0,0.287,3,0.191015,нет,Запросить исходящие переводы от gid 100000003125997100 за следующий шаг; оценка скрытого выхода 29%.
139,100000002791494100,4,1,85860.0,0.287,8,0.226884,нет,Запросить исходящие переводы от gid 100000002791494100 за следующий шаг; оценка скрытого выхода 29%.
140,100000008735802100,4,1,85000.0,0.287,1,0.226667,нет,Запросить исходящие переводы от gid 100000008735802100 за следующий шаг; оценка скрытого выхода 29%.
141,100000004601193100,4,1,84000.0,0.287,12,0.190191,нет,Запросить исходящие переводы от gid 100000004601193100 за следующий шаг; оценка скрытого выхода 29%.
142,100000002516862100,4,1,81710.0,0.287,61,0.189671,нет,Запросить исходящие переводы от gid 100000002516862100 за следующий шаг; оценка скрытого выхода 29%.
143,100000004673335100,4,1,80000.0,0.287,31,0.18928,нет,Запросить исходящие переводы от gid 100000004673335100 за следующий шаг; оценка скрытого выхода 29%.
144,100000003345947100,4,1,79500.0,0.287,7,0.18915,нет,Запросить исходящие переводы от gid 100000003345947100 за следующий шаг; оценка скрытого выхода 29%.
145,100000002119762100,4,1,77000.0,0.287,6,0.242194,3 входов у порога 5–10 тыс.,Запросить исходящие переводы от gid 100000002119762100 за следующий шаг; оценка скрытого выхода 29%.
146,100000008778010100,4,1,76950.0,0.287,2,0.188803,нет,Запросить исходящие переводы от gid 100000008778010100 за следующий шаг; оценка скрытого выхода 29%.
147,100000005878334100,4,1,76400.0,0.287,21,0.224889,нет,Запросить исходящие переводы от gid 100000005878334100 за следующий шаг; оценка скрытого выхода 29%.
148,100000002729875100,4,1,76000.0,0.287,8,0.22478,нет,Запросить исходящие переводы от gid 100000002729875100 за следующий шаг; оценка скрытого выхода 29%.
149,100000008703533100,4,1,75000.0,0.287,3,0.188066,нет,Запросить исходящие переводы от gid 100000008703533100 за следующий шаг; оценка скрытого выхода 29%.
150,100000004500781100,4,1,74000.0,0.287,15,0.187936,нет,Запросить исходящие переводы от gid 100000004500781100 за следующий шаг; оценка скрытого выхода 29%.
151,100000002968096100,4,1,70000.0,0.287,7,0.240004,нет,Запросить исходящие переводы от gid 100000002968096100 за следующий шаг; оценка скрытого выхода 29%.
152,100000004030553100,4,1,70000.0,0.287,21,0.1867,нет,Запросить исходящие переводы от gid 100000004030553100 за следующий шаг; оценка скрытого выхода 29%.
153,100000006257675100,4,1,70000.0,0.287,23,0.1867,нет,Запросить исходящие переводы от gid 100000006257675100 за следующий шаг; оценка скрытого выхода 29%.
154,100000008027922100,4,1,70000.0,0.287,24,0.1867,нет,Запросить исходящие переводы от gid 100000008027922100 за следующий шаг; оценка скрытого выхода 29%.
155,100000008349740100,4,1,70000.0,0.287,37,0.240004,нет,Запросить исходящие переводы от gid 100000008349740100 за следующий шаг; оценка скрытого выхода 29%.
156,100000003133045100,4,1,68000.0,0.287,3,0.186071,нет,Запросить исходящие переводы от gid 100000003133045100 за следующий шаг; оценка скрытого выхода 29%.
157,100000004747154100,4,1,67000.0,0.287,3,0.186006,нет,Запросить исходящие переводы от gid 100000004747154100 за следующий шаг; оценка скрытого выхода 29%.
158,100000002599729100,4,1,65000.0,0.287,1,0.221657,нет,Запросить исходящие переводы от gid 100000002599729100 за следующий шаг; оценка скрытого выхода 29%.
159,100000004066370100,4,1,65000.0,0.287,38,0.185442,нет,Запросить исходящие переводы от gid 100000004066370100 за следующий шаг; оценка скрытого выхода 29%.
160,100000005979037100,4,1,60300.0,0.287,7,0.184249,нет,Запросить исходящие переводы от gid 100000005979037100 за следующий шаг; оценка скрытого выхода 29%.
161,100000001733216100,4,1,60000.0,0.287,1,0.220183,нет,Запросить исходящие переводы от gid 100000001733216100 за следующий шаг; оценка скрытого выхода 29%.
162,100000001816678100,4,1,60000.0,0.287,4,0.237271,нет,Запросить исходящие переводы от gid 100000001816678100 за следующий шаг; оценка скрытого выхода 29%.
163,100000002242066100,4,1,60000.0,0.287,36,0.183967,нет,Запросить исходящие переводы от gid 100000002242066100 за следующий шаг; оценка скрытого выхода 29%.
164,100000002404112100,4,1,60000.0,0.287,28,0.183967,нет,Запросить исходящие переводы от gid 100000002404112100 за следующий шаг; оценка скрытого выхода 29%.
165,100000002505277100,4,1,60000.0,0.287,1,0.220183,нет,Запросить исходящие переводы от gid 100000002505277100 за следующий шаг; оценка скрытого выхода 29%.
166,100000004326224100,4,1,60000.0,0.287,6,0.237271,нет,Запросить исходящие переводы от gid 100000004326224100 за следующий шаг; оценка скрытого выхода 29%.
167,100000004777215100,4,1,60000.0,0.287,23,0.220183,нет,Запросить исходящие переводы от gid 100000004777215100 за следующий шаг; оценка скрытого выхода 29%.
168,100000007042175100,4,1,60000.0,0.287,1,0.220183,нет,Запросить исходящие переводы от gid 100000007042175100 за следующий шаг; оценка скрытого выхода 29%.
169,100000002835874100,4,1,58700.0,0.287,3,0.219814,нет,Запросить исходящие переводы от gid 100000002835874100 за следующий шаг; оценка скрытого выхода 29%.
170,100000008757301100,4,1,58398.0,0.287,1,0.183555,нет,Запросить исходящие переводы от gid 100000008757301100 за следующий шаг; оценка скрытого выхода 29%.
171,100000003247600100,4,1,58000.0,0.287,4,0.183468,нет,Запросить исходящие переводы от gid 100000003247600100 за следующий шаг; оценка скрытого выхода 29%.
