gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,seed_reach,bridge,rapid_48h,boundary
100000000561160100,peripheral,0.55,4,0.246748,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,240000.0,0.0,1,0,2,0.0,0.0,True
100000000569479100,terminal,0.62,1,0.37438,"Наблюдаемый конечный узел: вход от 1 клиентов (320,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,320000.0,0.0,1,0,1,0.0,0.0,False
100000000572276100,peripheral,0.6,2,0.271208,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,13075.0,34547.0,1,1,1,0.0,0.0,False
100000000580561100,peripheral,0.6,45,0.358679,"Недостаточно признаков роли: 2 плательщиков, 3 получателей, колено 0.",0,True,2,3,27980.0,1488077.0,3,13,1,0.0,1.0,False
100000000581662100,peripheral,0.55,10,0.157575,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,21160.0,0.0,1,0,1,0.0,0.0,True
100000000581682100,peripheral,0.55,29,0.133222,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,5000.0,0.0,1,0,1,0.0,0.0,True
100000000583220100,peripheral,0.6,68,0.410899,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,5000.0,761255.0,1,4,2,9.27574948055803e-06,1.0,False
100000000594783100,peripheral,0.6,25,0.475054,"Недостаточно признаков роли: 1 плательщиков, 2 получателей, колено 3.",3,False,1,2,2635000.0,152500.0,10,2,2,0.0,0.3,False
100000000596954100,peripheral,0.6,4,0.573535,"Недостаточно признаков роли: 1 плательщиков, 2 получателей, колено 2.",2,False,1,2,120000.0,48100.0,1,2,4,1.855149896111606e-05,1.0,False
100000000600707100,peripheral,0.55,38,0.19121,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,89000.0,0.0,2,0,1,0.0,0.0,True
100000000607731100,peripheral,0.6,30,0.286121,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 1.",1,False,1,1,20000.0,66666.0,1,1,1,0.0,0.0,False
100000000607941100,peripheral,0.6,5,0.575222,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 2.",2,False,2,1,50000.0,70000.0,3,4,3,2.782724844167409e-05,0.6666666666666666,False
100000000608031100,peripheral,0.55,17,0.166987,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,30000.0,0.0,1,0,1,0.0,0.0,True
100000000611474100,terminal,0.62,24,0.29456,"Наблюдаемый конечный узел: вход от 1 клиентов (32,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,32000.0,0.0,1,0,1,0.0,0.0,False
100000000625169100,terminal,0.62,2,0.246464,"Наблюдаемый конечный узел: вход от 1 клиентов (10,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,10000.0,0.0,1,0,1,0.0,0.0,False
100000000627521100,peripheral,0.55,40,0.189757,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,6500.0,0.0,1,0,3,0.0,0.0,True
100000000629812100,terminal,0.66,56,0.473068,"Наблюдаемый конечный узел: вход от 2 клиентов (22,000 KZT), исходящих нет; колено 2<4.",2,False,2,0,22000.0,0.0,2,0,6,0.0,0.0,False
100000000634341100,peripheral,0.55,1,0.160416,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,24000.0,0.0,2,0,1,0.0,0.0,True
100000000640800100,peripheral,0.6,7,0.480877,"Недостаточно признаков роли: 1 плательщиков, 4 получателей, колено 3.",3,False,1,4,80000.0,518135.0,1,6,1,0.00011188872810923123,1.0,False
100000000646541100,terminal,0.7,1,0.466035,"Наблюдаемый конечный узел: вход от 3 клиентов (25,300 KZT), исходящих нет; колено 2<4.",2,False,3,0,25300.0,0.0,4,0,3,0.0,0.0,False
100000000655469100,peripheral,0.55,23,0.191731,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,20000.0,0.0,2,0,2,0.0,0.0,True
100000000656682100,transit,0.6549,1,0.604178,"Признаки транзита: отдал 113% видимого входа; 1→2 связей, быстрый выход 0%.",3,False,1,2,71000.0,80000.0,1,3,2,1.855149896111606e-05,0.0,False
100000000661131100,terminal,0.62,2,0.26053,"Наблюдаемый конечный узел: вход от 1 клиентов (15,600 KZT), исходящих нет; колено 3<4.",3,False,1,0,15600.0,0.0,1,0,1,0.0,0.0,False
100000000661912100,consolidator,0.6575,7,0.87446,"Признаки консолидации: 5 плательщиков, 2 получателей, входящий поток 393,036 KZT.",1,False,5,2,393036.0,430700.0,9,8,2,0.00028754823389729893,0.8888888888888888,False
100000000667713100,peripheral,0.6,5,0.615012,"Недостаточно признаков роли: 2 плательщиков, 6 получателей, колено 1.",1,False,2,6,119495.0,79236.0,10,7,3,4.174087266251113e-05,0.3,False
100000000673868100,peripheral,0.6,31,0.539021,"Недостаточно признаков роли: 1 плательщиков, 5 получателей, колено 3.",3,False,1,5,2030650.0,383000.0,5,19,1,6.956812110418521e-05,1.0,False
100000000673915100,peripheral,0.55,37,0.210121,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,20200.0,0.0,1,0,3,0.0,0.0,True
100000000703894100,peripheral,0.6,30,0.351613,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 1.",1,False,1,1,120000.0,35000.0,1,1,1,0.0,0.0,False
100000000703902100,terminal,0.62,2,0.284049,"Наблюдаемый конечный узел: вход от 1 клиентов (25,499 KZT), исходящих нет; колено 1<4.",1,False,1,0,25499.0,0.0,1,0,1,0.0,0.0,False
100000000704700100,peripheral,0.55,26,0.141354,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,10000.0,0.0,1,0,1,0.0,0.0,True
100000000706545100,peripheral,0.6,5,0.593928,"Недостаточно признаков роли: 3 плательщиков, 1 получателей, колено 1.",1,False,3,1,1070300.0,75800.0,8,3,2,9.27574948055803e-06,0.0,False
100000000718427100,terminal,0.62,2,0.236898,"Наблюдаемый конечный узел: вход от 1 клиентов (6,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,6000.0,0.0,1,0,1,0.0,0.0,False
100000000723383100,peripheral,0.6,23,0.354473,"Недостаточно признаков роли: 1 плательщиков, 2 получателей, колено 2.",2,False,1,2,6800.0,75000.0,1,2,1,0.00011130899376669636,0.0,False
100000000724540100,peripheral,0.6,21,0.486866,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 2.",2,False,1,1,50000.0,100000.0,1,1,4,9.27574948055803e-06,0.0,False
100000000733373100,terminal,0.62,5,0.342656,"Наблюдаемый конечный узел: вход от 1 клиентов (10,710 KZT), исходящих нет; колено 2<4.",2,False,1,0,10710.0,0.0,1,0,3,0.0,0.0,False
100000000733451100,peripheral,0.6,14,0.455672,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,70000.0,300000.0,2,1,2,9.27574948055803e-06,0.0,False
100000000733940100,peripheral,0.55,32,0.223891,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,752000.0,0.0,2,0,1,0.0,0.0,True
100000000737152100,peripheral,0.55,1,0.223848,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,35000.0,0.0,1,0,3,0.0,0.0,True
100000000749118100,peripheral,0.6,1,0.388579,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,10330.0,16500.0,1,1,2,9.27574948055803e-06,0.0,False
100000000764836100,peripheral,0.6,7,0.495999,"Недостаточно признаков роли: 1 плательщиков, 2 получателей, колено 3.",3,False,1,2,251716.0,50000.0,1,2,1,1.855149896111606e-05,1.0,False
100000000765628100,terminal,0.62,5,0.232285,"Наблюдаемый конечный узел: вход от 1 клиентов (5,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,5000.0,0.0,1,0,1,0.0,0.0,False
100000000769919100,terminal,0.62,62,0.368255,"Наблюдаемый конечный узел: вход от 1 клиентов (250,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,250000.0,0.0,1,0,1,0.0,0.0,False
100000000782285100,terminal,0.62,1,0.237616,"Наблюдаемый конечный узел: вход от 1 клиентов (6,151 KZT), исходящих нет; колено 3<4.",3,False,1,0,6151.0,0.0,1,0,1,0.0,0.0,False
100000000783406100,terminal,0.62,36,0.237427,"Наблюдаемый конечный узел: вход от 1 клиентов (6,066 KZT), исходящих нет; колено 3<4.",3,False,1,0,6066.0,0.0,1,0,1,0.0,0.0,False
100000000785800100,transit,0.85,57,0.406624,"Признаки транзита: отдал 100% видимого входа; 1→1 связей, быстрый выход 100%.",2,False,1,1,19000.0,19000.0,1,1,1,0.0,1.0,False
100000000790311100,terminal,0.62,16,0.400508,"Наблюдаемый конечный узел: вход от 1 клиентов (46,300 KZT), исходящих нет; колено 2<4.",2,False,1,0,46300.0,0.0,1,0,3,0.0,0.0,False
100000000791285100,peripheral,0.6,28,0.523032,"Недостаточно признаков роли: 1 плательщиков, 3 получателей, колено 3.",3,False,1,3,1120000.0,650000.0,2,3,1,1.855149896111606e-05,1.0,False
100000000795033100,terminal,0.62,1,0.330632,"Наблюдаемый конечный узел: вход от 1 клиентов (18,200 KZT), исходящих нет; колено 2<4.",2,False,1,0,18200.0,0.0,1,0,2,0.0,0.0,False
100000000795129100,terminal,0.62,16,0.46819,"Наблюдаемый конечный узел: вход от 1 клиентов (332,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,332000.0,0.0,1,0,3,0.0,0.0,False
100000000795374100,terminal,0.62,7,0.312785,"Наблюдаемый конечный узел: вход от 1 клиентов (50,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,50000.0,0.0,1,0,1,0.0,0.0,False
100000000802149100,terminal,0.62,1,0.341068,"Наблюдаемый конечный узел: вход от 1 клиентов (104,128 KZT), исходящих нет; колено 3<4.",3,False,1,0,104128.0,0.0,1,0,1,0.0,0.0,False
100000000803368100,peripheral,0.55,15,0.200167,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,139503.0,0.0,1,0,1,0.0,0.0,True
100000000806727100,peripheral,0.6,4,0.425578,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 2.",2,False,1,1,45000.0,5000.0,1,1,8,0.0,0.0,False
100000000810551100,peripheral,0.6,4,0.522531,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 1.",1,False,1,1,100000.0,7100.0,1,1,4,2.782724844167409e-05,0.0,False
100000000817146100,terminal,0.62,5,0.437336,"Наблюдаемый конечный узел: вход от 1 клиентов (70,020 KZT), исходящих нет; колено 1<4.",1,False,1,0,70020.0,0.0,1,0,4,0.0,0.0,False
100000000821507100,terminal,0.62,31,0.472538,"Наблюдаемый конечный узел: вход от 1 клиентов (400,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,400000.0,0.0,1,0,3,0.0,0.0,False
100000000831684100,peripheral,0.6,13,0.312177,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 2.",2,False,1,1,15000.0,50000.0,2,3,1,0.0,1.0,False
100000000838385100,peripheral,0.6,29,0.505007,"Недостаточно признаков роли: 1 плательщиков, 2 получателей, колено 3.",3,False,1,2,436900.0,177500.0,8,6,1,1.3913624220837045e-05,1.0,False
100000000850297100,transit,0.85,12,0.402989,"Признаки транзита: отдал 100% видимого входа; 1→1 связей, быстрый выход 100%.",2,False,1,1,17520.0,17520.0,1,1,1,0.0,1.0,False
100000000860514100,peripheral,0.6,27,0.334664,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,12000.0,50000.0,1,1,1,9.27574948055803e-06,0.0,False
100000000861294100,terminal,0.62,9,0.351731,"Наблюдаемый конечный узел: вход от 1 клиентов (150,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,150000.0,0.0,1,0,1,0.0,0.0,False
100000000870121100,terminal,0.62,14,0.314676,"Наблюдаемый конечный узел: вход от 1 клиентов (12,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,12000.0,0.0,1,0,2,0.0,0.0,False
100000000878006100,terminal,0.62,6,0.401566,"Наблюдаемый конечный узел: вход от 1 клиентов (47,003 KZT), исходящих нет; колено 3<4.",3,False,1,0,47003.0,0.0,1,0,3,0.0,0.0,False
100000000896111100,terminal,0.62,25,0.372074,"Наблюдаемый конечный узел: вход от 1 клиентов (287,100 KZT), исходящих нет; колено 3<4.",3,False,1,0,287100.0,0.0,1,0,1,0.0,0.0,False
100000000907277100,terminal,0.62,2,0.265181,"Наблюдаемый конечный узел: вход от 1 клиентов (17,534 KZT), исходящих нет; колено 1<4.",1,False,1,0,17534.0,0.0,1,0,1,0.0,0.0,False
100000000910216100,peripheral,0.6,4,0.478525,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 2.",2,False,1,1,71000.0,52010.0,3,1,2,0.00022541937049433135,0.0,False
100000000912487100,terminal,0.62,4,0.339404,"Наблюдаемый конечный узел: вход от 1 клиентов (10,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,10000.0,0.0,1,0,3,0.0,0.0,False
100000000913911100,peripheral,0.6,4,0.57321,"Недостаточно признаков роли: 2 плательщиков, 1 получателей, колено 2.",2,False,2,1,467000.0,600000.0,2,1,2,9.27574948055803e-06,0.0,False
100000000917179100,terminal,0.62,15,0.33585,"Наблюдаемый конечный узел: вход от 1 клиентов (94,465 KZT), исходящих нет; колено 2<4.",2,False,1,0,94465.0,0.0,2,0,1,0.0,0.0,False
100000000922570100,transit,0.7038,13,0.404637,"Признаки транзита: отдал 106% видимого входа; 1→1 связей, быстрый выход 0%.",1,False,1,1,47101.0,50000.0,1,1,1,0.0,0.0,False
100000000926078100,peripheral,0.55,7,0.24742,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,250000.0,0.0,1,0,2,0.0,0.0,True
100000000926766100,peripheral,0.6,27,0.320718,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,18750.0,6000.0,1,1,1,0.0,1.0,False
100000000933075100,peripheral,0.6,13,0.483888,"Недостаточно признаков роли: 1 плательщиков, 2 получателей, колено 3.",3,False,1,2,40000.0,55000.0,1,2,2,9.27574948055803e-06,1.0,False
100000000941942100,terminal,0.62,4,0.458283,"Наблюдаемый конечный узел: вход от 1 клиентов (130,000 KZT), исходящих нет; колено 1<4.",1,False,1,0,130000.0,0.0,1,0,4,0.0,0.0,False
100000000942301100,terminal,0.62,1,0.382963,"Наблюдаемый конечный узел: вход от 1 клиентов (57,580 KZT), исходящих нет; колено 3<4.",3,False,1,0,57580.0,0.0,2,0,2,0.0,0.0,False
100000000943371100,terminal,0.62,14,0.378955,"Наблюдаемый конечный узел: вход от 1 клиентов (15,500 KZT), исходящих нет; колено 2<4.",2,False,1,0,15500.0,0.0,1,0,5,0.0,0.0,False
100000000945428100,terminal,0.62,1,0.333582,"Наблюдаемый конечный узел: вход от 1 клиентов (89,629 KZT), исходящих нет; колено 1<4.",1,False,1,0,89629.0,0.0,1,0,1,0.0,0.0,False
100000000954884100,terminal,0.62,36,0.296073,"Наблюдаемый конечный узел: вход от 1 клиентов (34,000 KZT), исходящих нет; колено 3<4.",3,False,1,0,34000.0,0.0,1,0,1,0.0,0.0,False
100000000955444100,terminal,0.62,45,0.238524,"Наблюдаемый конечный узел: вход от 1 клиентов (6,910 KZT), исходящих нет; колено 2<4.",2,False,1,0,6910.0,0.0,1,0,1,0.0,0.0,False
100000000955529100,peripheral,0.6,4,0.359887,"Недостаточно признаков роли: 1 плательщиков, 1 получателей, колено 3.",3,False,1,1,27000.0,63500.0,1,1,1,4.637874740279015e-06,0.0,False
100000000957746100,peripheral,0.55,17,0.188153,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,5300.0,0.0,1,0,3,0.0,0.0,True
100000000961900100,terminal,0.66,1,0.374456,"Наблюдаемый конечный узел: вход от 2 клиентов (36,000 KZT), исходящих нет; колено 1<4.",1,False,2,0,36000.0,0.0,3,0,1,0.0,0.0,False
100000000967918100,terminal,0.62,1,0.338005,"Наблюдаемый конечный узел: вход от 1 клиентов (21,200 KZT), исходящих нет; колено 2<4.",2,False,1,0,21200.0,0.0,3,0,2,0.0,0.0,False
100000000968253100,terminal,0.62,2,0.258186,"Наблюдаемый конечный узел: вход от 1 клиентов (15,000 KZT), исходящих нет; колено 1<4.",1,False,1,0,15000.0,0.0,1,0,1,0.0,0.0,False
100000000971908100,terminal,0.62,9,0.333392,"Наблюдаемый конечный узел: вход от 1 клиентов (89,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,89000.0,0.0,1,0,1,0.0,0.0,False
100000000976943100,transit,0.7,12,0.55411,"Признаки транзита: отдал 120% видимого входа; 1→1 связей, быстрый выход 100%.",3,False,1,1,70000.0,84000.0,1,3,1,9.27574948055803e-06,1.0,False
100000000978041100,terminal,0.62,2,0.305299,"Наблюдаемый конечный узел: вход от 1 клиентов (44,445 KZT), исходящих нет; колено 1<4.",1,False,1,0,44445.0,0.0,1,0,1,0.0,0.0,False
100000000979567100,terminal,0.62,2,0.246464,"Наблюдаемый конечный узел: вход от 1 клиентов (10,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,10000.0,0.0,1,0,1,0.0,0.0,False
100000000979923100,terminal,0.62,12,0.456393,"Наблюдаемый конечный узел: вход от 1 клиентов (97,900 KZT), исходящих нет; колено 1<4.",1,False,1,0,97900.0,0.0,1,0,5,0.0,0.0,False
100000000981693100,peripheral,0.55,1,0.186721,"Граница обхода: колено 4, вход от 1 клиентов; исходящие за пределом выгрузки неизвестны.",4,False,1,0,16500.0,0.0,1,0,2,0.0,0.0,True
100000000993112100,terminal,0.62,33,0.349878,"Наблюдаемый конечный узел: вход от 1 клиентов (141,000 KZT), исходящих нет; колено 2<4.",2,False,1,0,141000.0,0.0,1,0,1,0.0,0.0,False
100000000998559100,terminal,0.62,4,0.450192,"Наблюдаемый конечный узел: вход от 1 клиентов (100,000 KZT), исходящих нет; колено 1<4.",1,False,1,0,100000.0,0.0,1,0,4,0.0,0.0,False
