cluster_id,role,n_nodes,share_cluster,in_kzt,out_kzt,avg_priority_score,top_gids
7,distributor,3,0.0283,222315.0,4624807.0,0.75552,100000002723538100;100000005048668100;100000003880331100
7,coordinator,2,0.0189,2705835.0,7377149.0,0.963142,100000008603629100;100000001857829100
7,transit,2,0.0189,122000.0,124500.0,0.547343,100000007170072100;100000006641671100
7,consolidator,1,0.0094,393036.0,430700.0,0.87446,100000000661912100
8,peripheral,36,0.5902,3109008.0,2524000.0,0.271375,100000005473151100;100000008104567100;100000004569484100;100000008545727100;100000001169666100
8,terminal,22,0.3607,1288471.0,0.0,0.324952,100000001927599100;100000004750321100;100000001484381100;100000008335401100;100000008714412100
8,distributor,2,0.0328,228834.67,2256756.67,0.839479,100000005704413100;100000005578559100
8,transit,1,0.0164,36000.0,38000.0,0.687081,100000008379273100
9,terminal,30,0.4918,3760616.0,0.0,0.339931,100000002836736100;100000001411870100;100000001960517100;100000002824176100;100000001641789100
9,peripheral,23,0.377,3676761.8,5279781.0,0.40159,100000006788200100;100000002692750100;100000001616816100;100000004221668100;100000002870463100
9,transit,4,0.0656,844090.0,832000.0,0.512883,100000005171642100;100000003509750100;100000006664478100;100000004697956100
9,consolidator,2,0.0328,1428442.0,69195.0,0.798599,100000004015047100;100000003111305100
9,distributor,2,0.0328,360000.0,3304344.0,0.414848,100000008748408100;100000007982728100
10,terminal,32,0.5333,11085334.0,0.0,0.43775,100000002443664100;100000001584286100;100000002956769100;100000003031003100;100000002670860100
10,peripheral,22,0.3667,3142949.0,1773049.0,0.285471,100000004368189100;100000002989353100;100000004424023100;100000001287955100;100000003054328100
10,distributor,4,0.0667,493549.0,14349538.0,0.689164,100000008512827100;100000005242320100;100000008742053100;100000002748180100
10,consolidator,2,0.0333,2101500.0,50000.0,0.791443,100000005514161100;100000001282143100
11,terminal,34,0.6071,5097832.02,0.0,0.343785,100000005778283100;100000003158727100;100000003831324100;100000001929088100;100000002681544100
11,peripheral,18,0.3214,5079305.0,6674122.02,0.394127,100000005782781100;100000002921047100;100000001677929100;100000000274067100;100000002762076100
11,transit,2,0.0357,133500.0,136200.0,0.477826,100000001601320100;100000000031787100
11,consolidator,1,0.0179,1122782.0,0.0,0.718383,100000002894076100
11,distributor,1,0.0179,0.0,4238009.4,0.242938,100000007747786100
12,terminal,30,0.5556,4022067.0,0.0,0.434779,100000001463701100;100000002957306100;100000002618492100;100000001924185100;100000002605548100
12,peripheral,16,0.2963,1505220.0,984710.0,0.4236,100000003809101100;100000003390036100;100000004677680100;100000002941114100;100000003360542100
12,consolidator,3,0.0556,2593542.0,906370.0,0.904419,100000003115284100;100000008730846100;100000007998965100
12,transit,3,0.0556,97520.0,111520.0,0.472084,100000000976943100;100000005873152100;100000000850297100
12,distributor,2,0.037,218232.0,4961177.0,0.741374,100000000343175100;100000006707582100
13,terminal,25,0.4717,1240387.0,0.0,0.332116,100000002679516100;100000002973903100;100000005904580100;100000002593038100;100000001083990100
13,peripheral,24,0.4528,1815568.0,1446030.0,0.367645,100000001899164100;100000004386258100;100000002193259100;100000004662806100;100000007242833100
13,transit,3,0.0566,213201.4,221700.0,0.588451,100000003265158100;100000004386331100;100000000922570100
13,distributor,1,0.0189,0.0,1464354.0,0.242825,100000008680731100
14,peripheral,35,0.6731,3539631.0,2994100.0,0.350738,100000005074393100;100000001236706100;100000006424479100;100000005053653100;100000005882013100
14,terminal,13,0.25,835828.0,0.0,0.401939,100000004004621100;100000008571443100;100000003050771100;100000008356606100;100000008205937100
14,transit,2,0.0385,103504.0,113800.0,0.647344,100000000489417100;100000006020215100
14,coordinator,1,0.0192,254359.0,1258643.0,0.961321,100000008346837100
14,distributor,1,0.0192,251424.0,159695.0,0.933786,100000008733194100
15,terminal,26,0.5909,4560918.84,0.0,0.328243,100000002605308100;100000001904863100;100000004905207100;100000002633108100;100000004456564100
15,peripheral,17,0.3864,4652751.0,7740489.84,0.353185,100000004159526100;100000001937767100;100000004500444100;100000002963189100;100000001073568100
15,distributor,1,0.0227,1246000.0,3002628.0,0.916515,100000005933757100
16,terminal,24,0.5854,2157606.0,0.0,0.379266,100000002956898100;100000003221384100;100000000795129100;100000001184915100;100000004993576100
16,peripheral,13,0.3171,2330991.17,2627188.28,0.437257,100000005339662100;100000000076451100;100000008188026100;100000004816564100;100000001987030100
16,transit,3,0.0732,277200.0,257850.0,0.592975,100000004820260100;100000002575080100;100000007131370100
16,coordinator,1,0.0244,377366.11,2319556.0,0.953815,100000004156082100
17,peripheral,21,0.5122,2978121.27,2058341.27,0.329288,100000008512552100;100000006225798100;100000003178549100;100000002713074100;100000005530114100
17,terminal,18,0.439,2515828.92,0.0,0.332294,100000002570206100;100000003964910100;100000008221543100;100000003060517100;100000008436257100
17,coordinator,1,0.0244,550791.0,2377741.0,0.933085,100000003242289100
17,distributor,1,0.0244,26480.0,1377320.22,0.75843,100000008413748100
18,peripheral,13,0.4333,3844649.0,905962.0,0.342527,100000006274203100;100000001049200100;100000008647905100;100000004451012100;100000003873332100
18,terminal,12,0.4,2384943.0,0.0,0.342149,100000001690558100;100000002799941100;100000008676812100;100000001688676100;100000002906470100
18,consolidator,2,0.0667,467175.0,3386312.0,0.871614,100000007594394100;100000008546855100
18,transit,2,0.0667,42790.0,45362.0,0.411605,100000005661829100;100000008582730100
18,distributor,1,0.0333,210000.0,2322909.0,0.676913,100000003854444100
19,peripheral,27,0.931,438810.0,0.0,0.14637,100000004891562100;100000002706810100;100000008715513100;100000002670463100;100000001991973100
19,distributor,1,0.0345,17500.0,476570.0,0.579226,100000008460102100
19,terminal,1,0.0345,13660.0,0.0,0.423648,100000001164648100
20,peripheral,22,0.8462,1820820.0,2076246.0,0.342104,100000004744306100;100000008254069100;100000003823811100;100000005386383100;100000004041163100
20,terminal,2,0.0769,96264.0,0.0,0.355513,100000001386612100;100000008406609100
20,consolidator,1,0.0385,393066.0,50000.0,0.751553,100000005382566100
20,coordinator,1,0.0385,182980.0,264699.0,0.88929,100000004403675100
21,peripheral,11,0.44,1842312.0,385400.0,0.307548,100000008343874100;100000000724540100;100000008514970100;100000002508637100;100000003216073100
21,terminal,11,0.44,3202636.0,0.0,0.403275,100000002459832100;100000002936322100;100000008624978100;100000004134060100;100000003031761100
21,coordinator,1,0.04,220001.0,552419.0,0.909201,100000005527892100
21,distributor,1,0.04,414000.0,4157018.0,0.542716,100000006977207100
21,transit,1,0.04,520000.0,500000.0,0.490467,100000002531406100
22,terminal,12,0.48,4014505.0,0.0,0.442425,100000007229557100;100000003097324100;100000008536546100;100000008468762100;100000001714173100
22,peripheral,10,0.4,3169485.0,4464285.0,0.412685,100000002748532100;100000001141268100;100000001887715100;100000008758168100;100000008759857100
22,distributor,2,0.08,183244.0,3836100.0,0.840558,100000008743913100;100000008710843100
22,consolidator,1,0.04,1324000.0,0.0,0.687422,100000001303311100
23,peripheral,20,1.0,634700.0,617900.0,0.234996,100000002448088100;100000003154105100;100000001427082100;100000002185328100;100000000723383100
24,peripheral,9,0.5,2943009.0,3474200.0,0.46927,100000003701161100;100000003718221100;100000002267998100;100000008137435100;100000001063678100
24,terminal,9,0.5,781800.0,0.0,0.3389,100000005974542100;100000001822623100;100000003824464100;100000008238989100;100000008474391100
25,peripheral,12,0.7059,20380740.0,21586840.0,0.416552,100000002224132100;100000004603109100;100000004892144100;100000001965374100;100000000594783100
25,terminal,5,0.2941,1223100.0,0.0,0.323342,100000004399686100;100000000896111100;100000005474472100;100000008383405100;100000008042075100
26,peripheral,9,0.5294,1983974.0,1488060.0,0.386431,100000002731501100;100000004005964100;100000003616818100;100000004007116100;100000001330595100
26,terminal,6,0.3529,750813.0,0.0,0.325717,100000003031890100;100000002886166100;100000003603979100;100000002257794100;100000003338583100
26,consolidator,1,0.0588,168000.0,0.0,0.529993,100000004144536100
26,distributor,1,0.0588,75100.0,1489827.0,0.619362,100000004160650100
27,peripheral,12,0.8,737020.0,417700.0,0.283682,100000005505655100;100000002472632100;100000001788284100;100000002984403100;100000000860514100
27,terminal,2,0.1333,44500.0,0.0,0.275541,100000002708624100;100000004445291100
27,distributor,1,0.0667,82000.0,432750.0,0.727602,100000001526235100
28,peripheral,8,0.5333,1667420.0,667920.0,0.239718,100000000791285100;100000003069463100;100000003470579100;100000002404112100;100000008331280100
28,terminal,5,0.3333,948090.0,0.0,0.332485,100000003122817100;100000002691583100;100000001819396100;100000000408846100;100000008751349100
28,distributor,1,0.0667,565300.0,2530090.0,0.877291,100000008461532100
28,transit,1,0.0667,450500.0,428000.0,0.606893,100000006704530100
29,peripheral,12,0.8571,1616604.0,1605604.0,0.325241,100000008213966100;100000007382543100;100000000838385100;100000003001661100;100000008655779100
29,terminal,2,0.1429,20000.0,0.0,0.246464,100000006965162100;100000008708025100
30,peripheral,7,0.5385,643550.0,1392916.0,0.346132,100000001380054100;100000005077484100;100000000703894100;100000006232815100;100000001782980100
30,terminal,6,0.4615,749366.0,0.0,0.300106,100000003164661100;100000004192865100;100000004463277100;100000003617552100;100000005669845100
31,terminal,8,0.6154,1350000.0,0.0,0.428006,100000000821507100;100000002911170100;100000006567935100;100000001961048100;100000008376089100
31,peripheral,5,0.3846,5793650.0,6848649.0,0.451551,100000007442518100;100000008258083100;100000000673868100;100000004673335100;100000003173783100
32,peripheral,7,0.6364,3264688.0,3519688.0,0.369776,100000002175422100;100000003557488100;100000001317336100;100000002975437100;100000005042822100
32,terminal,3,0.2727,405015.0,0.0,0.350987,100000002710570100;100000002212494100;100000003594472100
32,consolidator,1,0.0909,183702.8,265015.0,0.804744,100000003004487100
33,peripheral,5,0.5,173225.0,334930.0,0.376997,100000008172352100;100000007322059100;100000004552204100;100000001597505100;100000003646145100
33,terminal,5,0.5,239050.0,0.0,0.28786,100000000993112100;100000002691858100;100000002628146100;100000002558173100;100000002299948100
34,peripheral,6,0.6,249400.0,345300.0,0.394227,100000002156381100;100000004209339100;100000005602999100;100000002696152100;100000002723439100
34,terminal,2,0.2,106000.0,0.0,0.375117,100000003321423100;100000007737775100
34,transit,2,0.2,273500.0,258600.0,0.697006,100000003635170100;100000008501413100
35,peripheral,6,0.6,1443900.0,1474415.0,0.356045,100000004076740100;100000004017410100;100000003934614100;100000004467157100;100000005767403100
35,terminal,2,0.2,57000.0,0.0,0.288415,100000003219438100;100000005932987100
35,transit,2,0.2,272415.0,260650.0,0.687839,100000005519998100;100000004336312100
36,terminal,5,0.5556,441132.0,0.0,0.279163,100000007647294100;100000000954884100;100000003006633100;100000000783406100;100000002184107100
36,peripheral,4,0.4444,1018750.0,1406982.0,0.392031,100000002217161100;100000001445848100;100000008254576100;100000002242066100
37,peripheral,8,1.0,2573417.91,2473417.91,0.280332,100000004906181100;100000008175078100;100000008675322100;100000000557536100;100000008349740100
38,peripheral,8,1.0,412000.0,389000.0,0.262432,100000005507142100;100000002612809100;100000005264874100;100000001825934100;100000002214207100
39,peripheral,5,0.7143,131132.0,143000.0,0.316173,100000005911352100;100000000507799100;100000004508696100;100000002217806100;100000004549591100
39,terminal,2,0.2857,17000.0,0.0,0.242739,100000003962994100;100000005127767100
40,peripheral,7,1.0,3357000.0,3077000.0,0.278469,100000002241986100;100000001053894100;100000002594214100;100000004047887100;100000001286703100
41,peripheral,5,0.7143,3811704.0,4455461.0,0.53223,100000008637537100;100000001732159100;100000002681449100;100000008314203100;100000008232832100
41,consolidator,1,0.1429,877700.0,0.0,0.7126,100000003404627100
41,terminal,1,0.1429,8395.0,0.0,0.352676,100000005940652100
42,peripheral,7,1.0,1775213.0,1765600.0,0.269339,100000007392365100;100000007865484100;100000008551752100;100000003631015100;100000004976946100
43,peripheral,4,0.5714,1206271.0,1293308.0,0.369644,100000008011159100;100000006169033100;100000006232642100;100000003664994100
43,terminal,3,0.4286,79037.0,0.0,0.276146,100000005754335100;100000003888527100;100000006573438100
44,peripheral,5,0.8333,1610030.0,1615030.0,0.465517,100000008736940100;100000008751429100;100000008193577100;100000005456919100;100000008659445100
44,terminal,1,0.1667,5000.0,0.0,0.232285,100000000307908100
45,peripheral,3,0.5,835157.0,1527967.0,0.353762,100000007939160100;100000000580561100;100000003888271100
45,terminal,3,0.5,692810.0,0.0,0.286582,100000005183943100;100000000955444100;100000007930878100
46,peripheral,6,1.0,2552000.0,2540000.0,0.31811,100000004479404100;100000004717647100;100000002922000100;100000002659103100;100000001533161100
47,terminal,5,0.8333,275885.0,0.0,0.29419,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100
47,peripheral,1,0.1667,0.0,275885.0,0.177843,100000005485830100
48,peripheral,4,0.6667,2514500.0,2284500.0,0.26203,100000004722765100;100000005075949100;100000006527156100;100000004272302100
48,consolidator,1,0.1667,237068.0,250000.0,0.854615,100000003747133100
48,terminal,1,0.1667,20000.0,0.0,0.271155,100000002578653100
49,peripheral,6,1.0,775900.0,720900.0,0.318183,100000008761219100;100000007472293100;100000006638021100;100000008333492100;100000002794374100
50,peripheral,3,0.5,74800.0,323800.0,0.29397,100000005546031100;100000005547096100;100000008575624100
50,transit,2,0.3333,58500.0,59500.0,0.425092,100000004094958100;100000005363908100
50,terminal,1,0.1667,250000.0,0.0,0.444104,100000004331458100
51,peripheral,4,0.8,809154.0,733300.0,0.319206,100000004670388100;100000000291908100;100000004722630100;100000004691350100
51,transit,1,0.2,388000.0,455854.0,0.731549,100000000291906100
52,peripheral,5,1.0,177000.0,172000.0,0.329871,100000005031696100;100000004659919100;100000001223977100;100000002700161100;100000008461217100
53,peripheral,2,0.4,1050000.0,1634000.0,0.414804,100000008571433100;100000004979498100
53,transit,2,0.4,1389200.0,1175200.0,0.576909,100000004135268100;100000002738256100
53,terminal,1,0.2,370000.0,0.0,0.37767,100000007507343100
54,terminal,3,0.6,108007.0,0.0,0.330153,100000006562026100;100000007347733100;100000008129393100
54,peripheral,2,0.4,0.0,108007.0,0.167273,100000006249740100;100000006831291100
55,terminal,2,0.5,80000.0,0.0,0.295959,100000003192220100;100000006787636100
55,transit,2,0.5,418818.0,460000.0,0.64916,100000006069103100;100000000201868100
56,terminal,3,0.75,528000.0,0.0,0.406986,100000000629812100;100000003163886100;100000001380107100
56,peripheral,1,0.25,7100.0,518000.0,0.485465,100000002205022100
57,peripheral,2,0.5,1365800.0,1385980.0,0.410135,100000001872484100;100000008601794100
57,terminal,1,0.25,20180.0,0.0,0.27331,100000002459163100
57,transit,1,0.25,19000.0,19000.0,0.406624,100000000785800100
58,peripheral,4,1.0,1652220.0,1595700.0,0.235545,100000001052945100;100000001131403100;100000004616845100;100000005146665100
59,peripheral,3,0.75,832800.0,635000.0,0.327205,100000008625905100;100000001065234100;100000002194320100
59,consolidator,1,0.25,64000.0,197800.0,0.805166,100000003159641100
60,peripheral,3,0.75,49050.0,79050.0,0.325088,100000003148220100;100000006888238100;100000004971871100
60,terminal,1,0.25,30000.0,0.0,0.291157,100000001852140100
61,peripheral,4,1.0,342209.0,332709.0,0.224181,100000002513028100;100000004610802100;100000002516862100;100000004780083100
62,peripheral,2,0.6667,200000.0,450000.0,0.278047,100000002371751100;100000007018630100
62,terminal,1,0.3333,250000.0,0.0,0.368255,100000000769919100
63,peripheral,3,1.0,577830.0,553830.0,0.258591,100000003321895100;100000003692843100;100000002371892100
64,peripheral,2,0.6667,199000.0,191167.62,0.279069,100000002796853100;100000008522127100
64,transit,1,0.3333,191167.62,212420.0,0.596729,100000002781227100
65,peripheral,3,1.0,1576988.0,1557988.0,0.302496,100000008258458100;100000004035925100;100000008619159100
66,terminal,2,0.6667,450816.0,0.0,0.364285,100000005034574100;100000007283257100
66,peripheral,1,0.3333,0.0,450816.0,0.169889,100000004388983100
67,terminal,2,0.6667,627870.0,0.0,0.481992,100000004666651100;100000005664632100
67,peripheral,1,0.3333,50000.0,627870.0,0.544776,100000008628231100
68,peripheral,2,1.0,766255.0,761255.0,0.317416,100000000583220100;100000004586598100
69,peripheral,1,0.5,0.0,30000.0,0.160169,100000003200071100
69,terminal,1,0.5,30000.0,0.0,0.291157,100000003980083100
70,peripheral,1,0.5,0.0,81465.0,0.160169,100000005392290100
70,terminal,1,0.5,81465.0,0.0,0.330632,100000003865939100
71,peripheral,2,1.0,604900.0,604900.0,0.311601,100000008430691100;100000007330432100
72,peripheral,1,0.5,511000.0,346500.0,0.483407,100000007390016100
72,transit,1,0.5,526500.0,511000.0,0.814073,100000008324800100
73,peripheral,1,1.0,0.0,0.0,0.120332,100000000456947100
74,peripheral,1,1.0,0.0,0.0,0.120332,100000003265658100
75,peripheral,1,1.0,0.0,0.0,0.120332,100000003349739100
76,peripheral,1,1.0,0.0,0.0,0.120332,100000003770083100
77,peripheral,1,1.0,0.0,0.0,0.120332,100000004021459100
78,peripheral,1,1.0,0.0,0.0,0.120332,100000004174835100
79,peripheral,1,1.0,0.0,0.0,0.120332,100000005017150100
80,peripheral,1,1.0,0.0,0.0,0.120332,100000005087431100
81,peripheral,1,1.0,0.0,0.0,0.120332,100000005235389100
82,peripheral,1,1.0,0.0,0.0,0.120332,100000005480435100
83,peripheral,1,1.0,0.0,0.0,0.120332,100000005495722100
84,peripheral,1,1.0,0.0,0.0,0.120332,100000005550592100
85,peripheral,1,1.0,0.0,0.0,0.120332,100000005560900100
86,peripheral,1,1.0,0.0,0.0,0.120332,100000005568407100
87,peripheral,1,1.0,0.0,0.0,0.120332,100000008117324100
88,peripheral,1,1.0,0.0,0.0,0.120332,100000008205000100
89,peripheral,1,1.0,0.0,0.0,0.120332,100000008513251100
90,peripheral,1,1.0,0.0,0.0,0.120332,100000008669037100
91,peripheral,1,1.0,0.0,0.0,0.120332,100000008701222100
