cluster_id,depth,n_nodes,share_cluster,n_seed,boundary_nodes,avg_priority_score,top_gids
35,2,5,0.5,0,0,0.447726,100000005519998100;100000004336312100;100000003219438100;100000004467157100;100000005932987100
35,3,2,0.2,0,0,0.453952,100000004017410100;100000003934614100
35,4,2,0.2,0,2,0.190505,100000005767403100;100000004856746100
36,2,1,0.1111,0,0,0.639461,100000002217161100
36,3,7,0.7778,0,0,0.305788,100000001445848100;100000007647294100;100000008254576100;100000000954884100;100000003006633100
36,4,1,0.1111,0,1,0.183967,100000002242066100
37,3,1,0.125,0,0,0.572259,100000004906181100
37,4,7,0.875,0,7,0.238628,100000008175078100;100000008675322100;100000000557536100;100000008349740100;100000004911971100
38,2,1,0.125,0,0,0.42034,100000005507142100
38,3,3,0.375,0,0,0.322606,100000002612809100;100000005264874100;100000001825934100
38,4,4,0.5,0,4,0.177824,100000002214207100;100000000600707100;100000004066370100;100000002130400100
39,1,1,0.1429,0,0,0.392949,100000000507799100
39,2,1,0.1429,0,0,0.440458,100000005911352100
39,3,3,0.4286,0,0,0.290763,100000004508696100;100000003962994100;100000005127767100
39,4,2,0.2857,0,2,0.180324,100000002217806100;100000004549591100
40,3,1,0.1429,0,0,0.561524,100000002241986100
40,4,6,0.8571,0,6,0.231293,100000001053894100;100000002594214100;100000004047887100;100000001286703100;100000004070530100
41,0,3,0.4286,3,0,0.561486,100000008637537100;100000001732159100;100000008314203100
41,1,4,0.5714,0,0,0.510492,100000003404627100;100000002681449100;100000008232832100;100000005940652100
42,3,1,0.1429,0,0,0.422601,100000007392365100
42,4,6,0.8571,0,6,0.243795,100000007865484100;100000008551752100;100000003631015100;100000004976946100;100000005745873100
43,2,1,0.1429,0,0,0.631492,100000008011159100
43,3,4,0.5714,0,0,0.31021,100000006169033100;100000005754335100;100000003888527100;100000006573438100
43,4,2,0.2857,0,2,0.217342,100000006232642100;100000003664994100
44,0,1,0.1667,1,0,0.402997,100000008659445100
44,1,4,0.6667,0,0,0.481147,100000008736940100;100000008751429100;100000008193577100;100000005456919100
44,2,1,0.1667,0,0,0.232285,100000000307908100
45,0,1,0.1667,1,0,0.358679,100000000580561100
45,1,3,0.5,0,0,0.363848,100000007939160100;100000005183943100;100000003888271100
45,2,2,0.3333,0,0,0.235405,100000000955444100;100000007930878100
46,2,1,0.1667,0,0,0.5999,100000004479404100
46,3,1,0.1667,0,0,0.515033,100000004717647100
46,4,4,0.6667,0,4,0.198432,100000002922000100;100000002659103100;100000001533161100;100000004584730100
47,0,1,0.1667,1,0,0.177843,100000005485830100
47,1,5,0.8333,0,0,0.29419,100000005895525100;100000002462183100;100000005056870100;100000007175718100;100000005807278100
48,2,1,0.1667,0,0,0.854615,100000003747133100
48,3,2,0.3333,0,0,0.386517,100000004722765100;100000002578653100
48,4,3,0.5,0,3,0.182081,100000005075949100;100000006527156100;100000004272302100
49,3,2,0.3333,0,0,0.518606,100000008761219100;100000007472293100
49,4,4,0.6667,0,4,0.217971,100000006638021100;100000008333492100;100000002794374100;100000008770483100
50,0,1,0.1667,1,0,0.174377,100000008575624100
50,1,3,0.5,0,0,0.428983,100000004094958100;100000005546031100;100000005363908100
50,2,2,0.3333,0,0,0.357435,100000004331458100;100000005547096100
51,2,1,0.2,0,0,0.731549,100000000291906100
51,3,2,0.4,0,0,0.457719,100000004670388100;100000000291908100
51,4,2,0.4,0,2,0.180693,100000004722630100;100000004691350100
52,2,1,0.2,0,0,0.479618,100000005031696100
52,3,2,0.4,0,0,0.422175,100000004659919100;100000001223977100
52,4,2,0.4,0,2,0.162693,100000002700161100;100000008461217100
53,0,1,0.2,1,0,0.420578,100000008571433100
53,1,2,0.4,0,0,0.515419,100000004135268100;100000007507343100
53,2,2,0.4,0,0,0.454841,100000002738256100;100000004979498100
54,0,2,0.4,2,0,0.167273,100000006249740100;100000006831291100
54,1,3,0.6,0,0,0.330153,100000006562026100;100000007347733100;100000008129393100
55,1,1,0.25,0,0,0.789976,100000006069103100
55,2,3,0.75,0,0,0.366754,100000000201868100;100000003192220100;100000006787636100
56,2,2,0.5,0,0,0.479266,100000002205022100;100000000629812100
56,3,2,0.5,0,0,0.373946,100000003163886100;100000001380107100
57,0,1,0.25,1,0,0.39675,100000008601794100
57,1,1,0.25,0,0,0.42352,100000001872484100
57,2,2,0.5,0,0,0.339967,100000000785800100;100000002459163100
58,3,1,0.25,0,0,0.423677,100000001052945100
58,4,3,0.75,0,3,0.172835,100000001131403100;100000004616845100;100000005146665100
59,2,1,0.25,0,0,0.805166,100000003159641100
59,3,1,0.25,0,0,0.55285,100000008625905100
59,4,2,0.5,0,2,0.214382,100000001065234100;100000002194320100
60,0,1,0.25,1,0,0.263441,100000004971871100
60,1,1,0.25,0,0,0.369987,100000003148220100
60,2,1,0.25,0,0,0.341837,100000006888238100
60,3,1,0.25,0,0,0.291157,100000001852140100
61,3,1,0.25,0,0,0.356617,100000002513028100
61,4,3,0.75,0,3,0.180035,100000004610802100;100000002516862100;100000004780083100
62,0,1,0.3333,1,0,0.160169,100000007018630100
62,1,1,0.3333,0,0,0.395925,100000002371751100
62,2,1,0.3333,0,0,0.368255,100000000769919100
63,3,1,0.3333,0,0,0.379929,100000003321895100
63,4,2,0.6667,0,2,0.197922,100000003692843100;100000002371892100
64,0,1,0.3333,1,0,0.160169,100000008522127100
64,1,1,0.3333,0,0,0.596729,100000002781227100
64,2,1,0.3333,0,0,0.39797,100000002796853100
65,3,1,0.3333,0,0,0.463003,100000008258458100
65,4,2,0.6667,0,2,0.222243,100000004035925100;100000008619159100
66,0,1,0.3333,1,0,0.169889,100000004388983100
66,1,2,0.6667,0,0,0.364285,100000005034574100;100000007283257100
67,1,1,0.3333,0,0,0.544776,100000008628231100
67,2,2,0.6667,0,0,0.481992,100000004666651100;100000005664632100
68,3,1,0.5,0,0,0.410899,100000000583220100
68,4,1,0.5,0,1,0.223934,100000004586598100
69,0,1,0.5,1,0,0.160169,100000003200071100
69,1,1,0.5,0,0,0.291157,100000003980083100
70,0,1,0.5,1,0,0.160169,100000005392290100
70,1,1,0.5,0,0,0.330632,100000003865939100
71,3,1,0.5,0,0,0.400915,100000008430691100
71,4,1,0.5,0,1,0.222286,100000007330432100
72,2,1,0.5,0,0,0.814073,100000008324800100
72,3,1,0.5,0,0,0.483407,100000007390016100
73,0,1,1.0,1,0,0.120332,100000000456947100
74,0,1,1.0,1,0,0.120332,100000003265658100
75,0,1,1.0,1,0,0.120332,100000003349739100
76,0,1,1.0,1,0,0.120332,100000003770083100
77,0,1,1.0,1,0,0.120332,100000004021459100
78,0,1,1.0,1,0,0.120332,100000004174835100
79,0,1,1.0,1,0,0.120332,100000005017150100
80,0,1,1.0,1,0,0.120332,100000005087431100
81,0,1,1.0,1,0,0.120332,100000005235389100
82,0,1,1.0,1,0,0.120332,100000005480435100
83,0,1,1.0,1,0,0.120332,100000005495722100
84,0,1,1.0,1,0,0.120332,100000005550592100
85,0,1,1.0,1,0,0.120332,100000005560900100
86,0,1,1.0,1,0,0.120332,100000005568407100
87,0,1,1.0,1,0,0.120332,100000008117324100
88,0,1,1.0,1,0,0.120332,100000008205000100
89,0,1,1.0,1,0,0.120332,100000008513251100
90,0,1,1.0,1,0,0.120332,100000008669037100
91,0,1,1.0,1,0,0.120332,100000008701222100
