route_id,kind,hops,path,relay_days,forwarded_kzt,first_date,last_date,n_seed
75,chain,3,100000004351795100 → 100000000437046100 → 100000006165886100 → 100000003834495100,1,75000.0,2026-07-29,2026-07-30,0
76,chain,3,100000001857829100 → 100000003880331100 → 100000008603629100 → 100000002723538100,1,70647.0,2026-07-21,2026-07-22,0
77,chain,3,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000005079754100,1,70000.0,2026-07-23,2026-07-25,1
78,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000005079754100,1,70000.0,2026-07-21,2026-07-25,1
79,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000005079754100,1,70000.0,2026-07-22,2026-07-25,1
80,chain,3,100000008748914100 → 100000000331309100 → 100000004077081100 → 100000003684369100,1,70000.0,2026-07-23,2026-07-23,1
81,chain,3,100000000331309100 → 100000007055802100 → 100000004299488100 → 100000004674799100,1,60000.0,2026-07-12,2026-07-15,0
82,chain,3,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000002398779100,1,54150.0,2026-07-05,2026-07-07,0
83,chain,3,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000001554432100,1,53920.0,2026-07-23,2026-07-24,1
84,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000001554432100,1,53920.0,2026-07-21,2026-07-24,1
85,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000001554432100,1,53920.0,2026-07-22,2026-07-24,1
86,chain,3,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000003037660100,1,53000.0,2026-07-23,2026-07-23,1
87,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000003037660100,1,53000.0,2026-07-21,2026-07-23,1
88,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000003037660100,1,53000.0,2026-07-22,2026-07-23,1
89,chain,3,100000008346837100 → 100000005910114100 → 100000001857829100 → 100000003899325100,1,50120.0,2026-07-10,2026-07-10,0
90,chain,3,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000001194266100,1,50000.0,2026-07-23,2026-07-24,1
91,chain,3,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000006446271100,1,50000.0,2026-07-23,2026-07-25,1
92,chain,3,100000000331309100 → 100000004077081100 → 100000003684369100 → 100000008628231100,1,50000.0,2026-07-23,2026-07-23,1
93,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000001194266100,1,50000.0,2026-07-21,2026-07-24,1
94,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000006446271100,1,50000.0,2026-07-21,2026-07-25,1
95,chain,3,100000001857829100 → 100000003880331100 → 100000003684369100 → 100000008628231100,1,50000.0,2026-07-21,2026-07-23,1
96,chain,3,100000001857829100 → 100000003880331100 → 100000008731444100 → 100000000288317100,1,50000.0,2026-07-21,2026-07-23,0
97,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000001194266100,1,50000.0,2026-07-22,2026-07-24,1
98,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000006446271100,1,50000.0,2026-07-22,2026-07-25,1
99,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000008628231100,1,50000.0,2026-07-22,2026-07-23,1
100,chain,3,100000003880331100 → 100000008603629100 → 100000002723538100 → 100000003071930100,1,50000.0,2026-07-21,2026-07-22,0
101,chain,3,100000004358004100 → 100000005612411100 → 100000001102676100 → 100000003684369100,1,50000.0,2026-07-25,2026-07-26,2
102,chain,3,100000004400305100 → 100000005910114100 → 100000008603629100 → 100000000795374100,1,50000.0,2026-07-12,2026-07-12,0
103,chain,3,100000008346837100 → 100000005910114100 → 100000008603629100 → 100000000795374100,1,50000.0,2026-07-10,2026-07-12,0
104,chain,3,100000004351795100 → 100000000437046100 → 100000005610717100 → 100000008469048100,1,48900.0,2026-07-22,2026-07-23,0
105,chain,3,100000004400305100 → 100000005910114100 → 100000007629096100 → 100000002741024100,1,48385.0,2026-07-12,2026-07-14,0
106,chain,3,100000004351795100 → 100000008512552100 → 100000003242289100 → 100000002301828100,1,46977.0,2026-07-19,2026-07-19,0
107,chain,3,100000003242289100 → 100000008304139100 → 100000008603629100 → 100000000534581100,1,46972.0,2026-07-22,2026-07-25,0
108,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000003877908100,1,40000.0,2026-07-22,2026-07-26,1
109,chain,3,100000004390333100 → 100000006866783100 → 100000005584222100 → 100000001382002100,1,40000.0,2026-07-16,2026-07-16,1
110,chain,3,100000005612411100 → 100000001102676100 → 100000003684369100 → 100000003877908100,1,40000.0,2026-07-26,2026-07-26,1
111,chain,3,100000003242289100 → 100000008304139100 → 100000003684369100 → 100000007274584100,1,38000.0,2026-07-22,2026-07-26,1
112,chain,3,100000005612411100 → 100000001102676100 → 100000003684369100 → 100000007274584100,1,38000.0,2026-07-26,2026-07-26,1
113,chain,3,100000004351795100 → 100000008512552100 → 100000003242289100 → 100000003109805100,1,36929.0,2026-07-19,2026-07-21,0
114,chain,3,100000002306369100 → 100000008111003100 → 100000003796063100 → 100000008172352100,1,35500.0,2026-07-18,2026-07-18,0
115,chain,3,100000000437046100 → 100000007055802100 → 100000004299488100 → 100000004674799100,1,30000.0,2026-07-13,2026-07-15,0
116,chain,3,100000007639767100 → 100000004400305100 → 100000002645993100 → 100000002398779100,1,28450.0,2026-07-05,2026-07-07,0
117,chain,3,100000008466579100 → 100000008489922100 → 100000008547948100 → 100000002529880100,1,27000.0,2026-07-16,2026-07-17,0
118,chain,3,100000005041905100 → 100000002578405100 → 100000008493007100 → 100000005685783100,1,26150.0,2026-07-28,2026-07-29,0
119,chain,3,100000003016635100 → 100000005339662100 → 100000000343175100 → 100000002941114100,1,25000.0,2026-07-16,2026-07-19,2
120,chain,3,100000003016635100 → 100000005339662100 → 100000000343175100 → 100000004105288100,1,25000.0,2026-07-16,2026-07-19,2
121,chain,3,100000003242289100 → 100000008304139100 → 100000008603629100 → 100000005830339100,1,25000.0,2026-07-22,2026-07-25,0
122,chain,3,100000006866783100 → 100000004070318100 → 100000008346837100 → 100000003724440100,1,25000.0,2026-07-09,2026-07-11,1
123,chain,3,100000004351795100 → 100000008512552100 → 100000003242289100 → 100000004140487100,1,24510.0,2026-07-19,2026-07-19,0
124,chain,3,100000008111003100 → 100000003796063100 → 100000008172352100 → 100000007322059100,1,24000.0,2026-07-18,2026-07-18,0
125,chain,3,100000000089154100 → 100000006866783100 → 100000004299488100 → 100000007055802100,1,20000.0,2026-07-12,2026-07-13,1
126,chain,3,100000002267998100 → 100000003701161100 → 100000003718221100 → 100000005974542100,1,20000.0,2026-07-06,2026-07-10,0
127,chain,3,100000003796063100 → 100000006866783100 → 100000004299488100 → 100000007055802100,1,20000.0,2026-07-12,2026-07-13,1
128,chain,3,100000005048668100 → 100000008603629100 → 100000004847758100 → 100000004071080100,1,20000.0,2026-07-16,2026-07-18,0
129,chain,3,100000008086440100 → 100000008603629100 → 100000004847758100 → 100000004071080100,1,20000.0,2026-07-16,2026-07-18,0
130,chain,3,100000008636603100 → 100000003016635100 → 100000006069103100 → 100000006787636100,1,20000.0,2026-07-05,2026-07-07,1
131,chain,3,100000008686313100 → 100000006866783100 → 100000004299488100 → 100000007055802100,1,20000.0,2026-07-11,2026-07-13,1
132,chain,3,100000004400305100 → 100000004070318100 → 100000006866783100 → 100000001660397100,1,19300.0,2026-07-10,2026-07-12,1
133,chain,3,100000003796063100 → 100000006866783100 → 100000008443341100 → 100000008477350100,1,17000.0,2026-07-14,2026-07-16,1
134,chain,3,100000004351795100 → 100000003242289100 → 100000004140487100 → 100000003249054100,1,17000.0,2026-07-17,2026-07-21,0
135,chain,3,100000005910114100 → 100000006866783100 → 100000008443341100 → 100000008477350100,1,17000.0,2026-07-14,2026-07-16,1
136,chain,3,100000008304139100 → 100000006866783100 → 100000008443341100 → 100000008477350100,1,17000.0,2026-07-15,2026-07-16,1
137,chain,3,100000008512552100 → 100000003242289100 → 100000004140487100 → 100000003249054100,1,17000.0,2026-07-19,2026-07-21,0
138,chain,3,100000006866783100 → 100000008443341100 → 100000008477350100 → 100000007639767100,1,16305.0,2026-07-16,2026-07-16,1
139,chain,3,100000003796063100 → 100000008172352100 → 100000007322059100 → 100000004552204100,1,15500.0,2026-07-18,2026-07-18,0
140,chain,3,100000004358004100 → 100000008172352100 → 100000007322059100 → 100000004552204100,1,15500.0,2026-07-18,2026-07-18,1
141,chain,3,100000008603629100 → 100000004847758100 → 100000003684369100 → 100000005093521100,1,15200.0,2026-07-17,2026-07-20,1
142,chain,3,100000002723538100 → 100000008603629100 → 100000007197866100 → 100000004379306100,1,15000.0,2026-07-10,2026-07-12,0
143,chain,3,100000003968044100 → 100000008603629100 → 100000007197866100 → 100000004379306100,1,15000.0,2026-07-12,2026-07-12,0
144,chain,3,100000004400305100 → 100000004070318100 → 100000006866783100 → 100000003235780100,1,15000.0,2026-07-10,2026-07-12,1
145,chain,3,100000005287097100 → 100000003016635100 → 100000000667713100 → 100000002481735100,1,15000.0,2026-07-04,2026-07-07,1
146,chain,3,100000005339662100 → 100000000343175100 → 100000002941114100 → 100000005168487100,1,15000.0,2026-07-17,2026-07-20,1
147,chain,3,100000005910114100 → 100000006866783100 → 100000004737477100 → 100000003831201100,1,15000.0,2026-07-04,2026-07-06,1
148,chain,3,100000005910114100 → 100000006866783100 → 100000004847758100 → 100000002398779100,1,15000.0,2026-07-04,2026-07-07,1
149,chain,3,100000005910114100 → 100000006866783100 → 100000008304139100 → 100000005942793100,1,15000.0,2026-07-04,2026-07-07,1
150,chain,3,100000005910114100 → 100000008603629100 → 100000007197866100 → 100000004379306100,1,15000.0,2026-07-10,2026-07-12,0
151,chain,3,100000008304139100 → 100000006866783100 → 100000004737477100 → 100000003831201100,1,15000.0,2026-07-04,2026-07-06,1
152,chain,3,100000008304139100 → 100000006866783100 → 100000004847758100 → 100000002398779100,1,15000.0,2026-07-04,2026-07-07,1
153,chain,3,100000008636603100 → 100000003016635100 → 100000000667713100 → 100000002481735100,1,15000.0,2026-07-05,2026-07-07,1
154,chain,3,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000008413748100,1,13480.0,2026-07-05,2026-07-07,0
155,chain,3,100000005910114100 → 100000006866783100 → 100000008304139100 → 100000005782781100,1,13000.0,2026-07-04,2026-07-07,1
156,chain,3,100000004400305100 → 100000004070318100 → 100000006866783100 → 100000008686313100,1,11954.0,2026-07-10,2026-07-12,1
157,chain,3,100000001857829100 → 100000008603629100 → 100000006641671100 → 100000008097580100,1,11000.0,2026-07-25,2026-07-27,0
158,chain,3,100000003016635100 → 100000005287097100 → 100000004150593100 → 100000003896956100,1,10000.0,2026-07-11,2026-07-11,1
159,chain,3,100000003360542100 → 100000003115284100 → 100000003390036100 → 100000005873152100,1,10000.0,2026-07-05,2026-07-05,0
160,chain,3,100000005665181100 → 100000004475818100 → 100000008172352100 → 100000002628146100,1,10000.0,2026-07-30,2026-07-30,0
161,chain,3,100000005873152100 → 100000003360542100 → 100000003115284100 → 100000003390036100,1,10000.0,2026-07-03,2026-07-05,0
162,chain,3,100000007639767100 → 100000004400305100 → 100000005186131100 → 100000006171671100,1,10000.0,2026-07-05,2026-07-07,0
163,chain,3,100000008632060100 → 100000004400305100 → 100000005186131100 → 100000006171671100,1,10000.0,2026-07-05,2026-07-07,0
164,chain,3,100000001660397100 → 100000006866783100 → 100000008686313100 → 100000002826669100,1,9900.0,2026-07-08,2026-07-11,1
165,chain,3,100000008304139100 → 100000006866783100 → 100000008686313100 → 100000002826669100,1,9900.0,2026-07-08,2026-07-11,1
166,chain,3,100000002957787100 → 100000002645993100 → 100000008413748100 → 100000008612257100,1,9500.0,2026-07-07,2026-07-08,0
167,chain,3,100000004400305100 → 100000002645993100 → 100000008413748100 → 100000008612257100,1,9500.0,2026-07-07,2026-07-08,0
168,chain,3,100000004400305100 → 100000004070318100 → 100000008346837100 → 100000000534581100,1,8988.0,2026-07-10,2026-07-10,0
169,chain,3,100000006866783100 → 100000004070318100 → 100000008346837100 → 100000000534581100,1,8988.0,2026-07-09,2026-07-10,1
170,chain,3,100000007639767100 → 100000004400305100 → 100000002645993100 → 100000001202787100,1,8850.0,2026-07-05,2026-07-09,0
171,chain,3,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000001202787100,1,8850.0,2026-07-05,2026-07-09,0
172,chain,3,100000001732159100 → 100000008314203100 → 100000008637537100 → 100000005940652100,1,8395.0,2026-07-14,2026-07-16,3
173,chain,3,100000003016635100 → 100000005287097100 → 100000004150593100 → 100000003899899100,1,8200.0,2026-07-11,2026-07-11,1
174,chain,3,100000008086440100 → 100000008477350100 → 100000001126374100 → 100000005730108100,1,8000.0,2026-07-11,2026-07-14,0
175,chain,3,100000008304139100 → 100000006866783100 → 100000000089154100 → 100000003741418100,1,8000.0,2026-07-14,2026-07-16,1
176,chain,3,100000008632060100 → 100000006866783100 → 100000000089154100 → 100000003741418100,1,8000.0,2026-07-14,2026-07-16,1
177,chain,3,100000004140487100 → 100000004400305100 → 100000005048668100 → 100000003249054100,1,7000.0,2026-07-23,2026-07-23,0
178,chain,3,100000000667713100 → 100000008636603100 → 100000003016635100 → 100000001049200100,1,6014.0,2026-07-02,2026-07-06,1
179,chain,3,100000000667713100 → 100000008636603100 → 100000003016635100 → 100000007281639100,1,6000.0,2026-07-02,2026-07-06,1
180,chain,3,100000005910114100 → 100000006866783100 → 100000004071080100 → 100000004071070100,1,6000.0,2026-07-04,2026-07-07,1
181,chain,3,100000007639767100 → 100000004400305100 → 100000004071080100 → 100000004071070100,1,6000.0,2026-07-05,2026-07-07,0
182,chain,3,100000008632060100 → 100000004400305100 → 100000004071080100 → 100000004071070100,1,6000.0,2026-07-05,2026-07-07,0
183,chain,3,100000004140487100 → 100000004400305100 → 100000005048668100 → 100000000332284100,1,5900.0,2026-07-23,2026-07-24,0
184,chain,3,100000007639767100 → 100000004400305100 → 100000002645993100 → 100000000332284100,1,5500.0,2026-07-05,2026-07-07,0
185,chain,3,100000008632060100 → 100000004400305100 → 100000002645993100 → 100000000332284100,1,5500.0,2026-07-05,2026-07-07,0
186,chain,3,100000004070318100 → 100000002957787100 → 100000004770073100 → 100000005293969100,1,5466.97,2026-07-01,2026-07-02,0
187,chain,3,100000004746397100 → 100000002957787100 → 100000004770073100 → 100000005293969100,1,5466.97,2026-07-02,2026-07-02,0
188,chain,3,100000005268319100 → 100000002957787100 → 100000004770073100 → 100000005293969100,1,5466.97,2026-07-02,2026-07-02,0
189,chain,3,100000000667713100 → 100000008636603100 → 100000003016635100 → 100000002592567100,1,5297.0,2026-07-02,2026-07-05,1
190,chain,3,100000003635170100 → 100000005602999100 → 100000008501413100 → 100000005910895100,1,5100.0,2026-07-26,2026-07-30,0
191,chain,3,100000002957787100 → 100000002645993100 → 100000002398779100 → 100000008576243100,1,5000.0,2026-07-07,2026-07-09,0
192,chain,3,100000004188160100 → 100000008346837100 → 100000007593823100 → 100000003249054100,1,5000.0,2026-07-21,2026-07-21,0
193,chain,3,100000004400305100 → 100000002645993100 → 100000002398779100 → 100000008576243100,1,5000.0,2026-07-07,2026-07-09,0
194,chain,3,100000008121806100 → 100000008346837100 → 100000007593823100 → 100000003249054100,1,5000.0,2026-07-19,2026-07-21,0
195,chain,3,100000008379273100 → 100000008346837100 → 100000007593823100 → 100000003249054100,1,5000.0,2026-07-20,2026-07-21,0
